,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
0,Filets de poulet - Carrefour,2227548028800,D,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",['Carrefour'],['France'],[],[],7.1 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,168,+28%,703 kj(168 kcal),+29%,"7,1",+147%,"1,9",+155%,"0,8",+67%,"0,7",+188%,25,+10%,"1,4",+87%,"0,56",+87%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1,Noix de cajou grillées à l'huile et salées,2600159035496,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque salés', 'Noix de cajou', 'Noix de cajou salées']",,,['France'],[],[],47.8 g,en quantité élevée,8.5 g,en quantité élevée,5 g,en quantité modérée,1 g,en quantité modérée,?,,625,+2%,2615 kj(625 kcal),+2%,"47,8",-1%,"8,5",-7%,"30,2",+27%,5,-21%,"16,8",-12%,1,+12%,"0,4",+12%,10,+23%,C,+23%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
2,Riz gluant 2kg,9120027410161,,,,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,0,,0,,"80,8",,38,,"6,87",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
3,Pate de campagne au porto,3465130001049,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,['France'],[],[],29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,?,,333,+7%,1393 kj(333 kcal),+7%,29,+7%,11,+9%,"3,5",+45%,"0,9",-2%,15,+6%,"1,5",-10%,"0,6",-10%,20,+5%,E,+5%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
4,Craquelin au riz,3760036358359,,,,"['EMB 74267A', 'Sévrier (Haute-Savoie, France)']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Filet de rouget,0290414025397,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chocolat au lait noix de coco - Chevaliers d'Argouges,3421371519798,,"[""Chevaliers d'Argouges""]",,,,['France'],[],[],,,,,,,,,?,,576,,2410 kj(576 kcal),,39,,24,,49,,49,,"6,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
7,Verveine - 20g,3517760003341,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Verbénacées', 'Verveine']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,20 g,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,
8,Inspiration du monde,3288310846045,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,
9,Fromage,2488660024990,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,['France'],[],[],20 g,en quantité modérée,17 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,263,-20%,1100 kj(263 kcal),-20%,20,-25%,17,-4%,"0,9",-26%,0,-100%,20,-2%,"1,7",+31%,"0,68",+31%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
10,"Salade Thon, Oeuf bio Riz de Camargue Poivronnade -",3700365097796,,,,,,['France'],[],[],,,,,,,,,?,,192,,803 kj(192 kcal),,"11,7",,"2,5",,"15,8",,"2,1",,"5,3",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
11,Taboule oriental a l'huile d'olive vierge extra -,3342283114096,,,"[""Taboule oriental a l'huile d'olive vierge extra""]",,,['France'],"[""TABOULE ORIENTAL A L'HUILE D'OLIVE VIERGE EXTRA Taboulé oriental à l'huile d'olive vierge extra 3,1% Ingrédients semoule de bié dur réhydratée 62% "", 'eau', 'semoule de BLE dur', 'poivrons', 'tomates', 'oignons', 'raisins secs', ""huile d'olive vierge extra"", 'huile de colza', 'jus de citron à base de concentré', 'menthe', 'épices', ""vinaigre d'alcool"", 'sel', 'conservateur : sorbate de potassium']",[],6.7 g,en quantité modérée,0.8 g,en faible quantité,4.6 g,en faible quantité,1.1 g,en quantité modérée,?,,173,,724 kj(173 kcal),,"6,7",,"0,8",,22,,"4,6",,"4,8",,"1,1",,"0,44",,5,,C,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Gluten'],3,,,,,,,
12,Comté Affiné,2480255024996,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
