,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,allergens,nova_score,quantity,packaging,traceability_code,generic_name,ingredients_origins,manufacturing,link,brand_owner,palm_ingredients
0,Cerises maraschino - Delhaize,5400111030111,['Delhaize'],['Delhaize'],['France'],[],[],?,170,711 kj(170 kcal),"0,5",0,42,"37,7","0,5","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Terrine de Canard aux oranges,3760164970089,,,['France'],[],[],?,173,724 kj(173 kcal),11,"2,4","7,7","0,9",14,"1,4","0,56",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",11 g,en quantité modérée,2.4 g,en quantité modérée,0.9 g,en faible quantité,1.4 g,en quantité modérée,,-43%,-43%,-58%,-75%,+348%,+45%,-1%,-8%,-8%,5,-72%,C,-72%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,
2,Sauce poivre,3700952001526,,,['France'],[],[],?,615,2573 kj(615 kcal),"65,9","5,2",3,"0,2","2,6","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
3,Pieces chocolate candy - Reese's,0034000996612,"[""Reese's""]",,['France'],"['sugar', 'partially defatted peanuts', 'hydrogenated vegetable oil ', 'palm kernel oil: soybean oil', 'corn syrup solids dextrose: contains 2% or less of: corn syrup', ""palm kernel oil: salt: confectioner's glaze: modified cornstarch"", 'lecithin ', 'sq artificial color iyellow 6 lake', 'yellow 5 lake', 'red 40 lake', 'blue 1 lakej: vanillin', 'artificial flavor: carnauba wax', 'milk', 'od']","['Huile de palme', 'Non végétalien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E102 - Tartrazine', 'E129 - Rouge allura AC', 'E903 - Cire de carnauba']",['Lait'],4,,,,,,,,,
4,Cueillette en sologne,3760184163089,,,['France'],[],[],?,384,1607 kj(384 kcal),0,0,91,91,5,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ROMANIN - I.G.P. ALPILLES.,3531840150077,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andouillettes de jargeau,0211997042441,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Boissonz El-Bouhaira,6194024400152,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pale ale,3770010526070,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Salsa tartufata,3760241940127,,,['France'],[],"['Végétalien', 'Végétarien']",?,225,941 kj(225 kcal),23,"2,3","3,2","0,9",1,"0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en Italie']",,,,,,,,,,,,
