,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,packaging,ingredients_origins,manufacturing,link,markets,allergens,brand_owner,additives,nova_score,generic_name,producer_info,origin_detail
0,sirop de merisier,18724800091,['en:gluten-free'],['France'],[],[],?,333,1393 kj(333 kcal),0,0,50,40,0,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saucisson de cheval,2265141025451,,['France'],[],[],?,265,1109 kj(265 kcal),20,"7,5",8,"1,3",13,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,En-cas d'apero - Valette,3598960035776,"['Fabriqué en France', 'Triman']",['France'],[],[],?,288,1205 kj(288 kcal),25,"8,3","3,3","0,5","12,3","1,7","0,68",['Valette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Filet de poulet,2487391033196,,['France'],[],[],?,108,452 kj(108 kcal),"1,8","0,5","0,5","0,5",23,"0,13","0,052",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.8 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.13 g,en faible quantité,,-18%,-17%,-38%,-33%,+4%,+106%,+1%,-83%,-83%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
4,10341072190001800,10341072190001800,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Monin Carrot,3052911315640,,['France'],[],[],?,315,1318 kj(315 kcal),"0,1",0,76,"64,4","0,6","0,1","0,04",['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Graines de courges premium bio,2205930012408,['Bio'],['France'],[],[],?,557,2330 kj(557 kcal),"43,9","8,7","13,9",1,"24,5","0,04","0,016",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",43.9 g,en quantité élevée,8.7 g,en quantité élevée,1 g,en faible quantité,0.04 g,en faible quantité,,-2%,-2%,-1%,+15%,+71%,-15%,-18%,-92%,-92%,14,+32%,D,+32%,,,,,,,,,,,,,,,,,,,,,
7,Brochette de dinde,2651736086134,['Halal'],['France'],[],[],?,120,502 kj(120 kcal),"4,8","1,7","0,5","0,5",19,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Viande kebab boeuf,9120054460801,,['France'],[],[],?,302,1264 kj(302 kcal),24,9,"8,5","0,3","12,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chicken nuggets,7894904218929,,['France'],[],[],?,255,1067 kj(255 kcal),12,"3,4",16,"0,7",13,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
