,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
0,Pâtes carbonara,['France'],[],[],?,190,795 kj(190 kcal),12,"7,1",14,"1,4","6,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Real casein 100% micellar - Prozis - 33g,['France'],[],[],?,363,1519 kj(363 kcal),"2,1","1,3",11,"3,9",75,"1,3","0,52",5600499561225,Real casein 100% micellar,33 g,['Plastique'],['Prozis'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre', 'Casein', 'Caseine']",2.1 g,en faible quantité,1.3 g,en faible quantité,3.9 g,en faible quantité,1.3 g,en quantité modérée,,-2%,-2%,-52%,-25%,+56%,+26%,+6%,+74%,+74%,5,+13%,C,+13%,,,,,,,,,,,,,,,,,,
2,Palette de porc cuite,['France'],[],[],?,190,795 kj(190 kcal),14,"5,7","0,9","0,6",15,"2,2","0,88",2211322044087,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,
3,Salchichas frankfurt de pavo y pollo sin gluten,['France'],[],[],?,219,916 kj(219 kcal),15,5,10,1,11,"2,5",1,8433329058100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fruits,['France'],[],[],?,50,209 kj(50 kcal),0,0,"9,8",9,"0,6",0,0,0206915023169,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité modérée,0 g,en faible quantité,,-73%,-72%,-100%,-100%,-73%,-68%,-62%,-100%,-100%,-4,-586%,A,-586%,,,,,,,,,,,,,,,,,,
5,Prosciutto Crudo - Italiamo,['France'],[],[],?,213,891 kj(213 kcal),"12,1","5,2","0,5",0,"25,5",6,"2,4",2827501011568,,,,['Italiamo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Huile d'olive vierge truffe noire,['France'],[],[],?,877,3669 kj(877 kcal),96,17,0,0,"3,4",0,0,8025386007674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bioj'm Pomme Pur jus,['France'],[],[],?,43,180 kj(43 kcal),0,0,"10,9","10,9",0,0,0,3395070109034,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],"['EMB 47175', 'Monflanquin (Lot-et-Garonne, France)']",,,,,,,,,,,,,,,,
8,Rooibos et orange bio - GRAALTEA - 20g,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,3760041810897,,20 g,,['GRAALTEA'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,,,,,,,,,,,,,,,
9,The noir Ceylan et caramel bio - GRAALTEA - 20g,['France'],"['Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 70%', ' HTVE Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 17%', ' Caramel bio 8% ', 'Origine France', ' Arôme naturel 5,8% ', 'Origine France', ' \rThé noir Ceylan conforme aux standards du commerce équitable Fairtrade/Max Havelaar ', '87% du poids total']",[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,3760041810910,,20 g,,['GRAALTEA'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Max Havelaar']",,4,,,,,,,,,,,,,,,
10,Figue Intense Noir - Lindt & Sprüngli,['France'],[],[],?,521,2180 kj(521 kcal),30,18,53,50,"5,8","0,1","0,04",01727722,,,,['Lindt & Sprüngli'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thé noir Ceylan et fruits rouges bio - GRAALTEA - 20g,['France'],"['Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 44%', ' Fruit de framboise bio ', 'Rubus ideaus', ' 25,6% ', 'origine Pologne', ' HTVE Sommité fleurie Myrtillier bio ', 'Vaccinium myrtillus L', ' 13,6% ', 'Origine France', ' HTVE Feuille de Thé noir Ceylan bio ', 'Camellia sinensis L', ' 12%', ' Arôme naturel de fruits rouges avec autres arômes naturels 4,8% ', 'Origine France', ' \rThé noir Ceylan conforme aux standards du commerce équitable Fairtrade/Max Havelaar ', '56% du poids total']",[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,3760041810927,,20 g,,['GRAALTEA'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,4,,,,,,,,,,,,,,,
12,Andouillette de Canard,['France'],[],[],?,?,,?,,?,,?,,,2202063019557,,,,,['Andouillettes de canard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chorizo Sarta Piquant - 200g,['France'],[],[],?,483,2021 kj(483 kcal),43,17,3,0,21,"3,6","1,44",8437012899513,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LES FRETILLANTES - ANIS 50g - 10g,['France'],[],[],?,415,1736 kj(415 kcal),25,10,"39,5","3,5","7,1","1,6","0,64",3770009162081,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
15,LES FRETILLANTES - CITRONS 90G - 10g,['France'],[],[],?,415,1736 kj(415 kcal),19,"10,9",56,"20,4","6,3",0,0,3770009162104,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
16,LES FRETILLANTES - THYM 50g - 10g,['France'],[],[],?,412,1724 kj(412 kcal),25,10,"39,5","3,5","7,1","1,6","0,64",3770009162142,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
17,Gelée d'argousier -,['France'],[],[],?,?,,?,,?,,?,,,3760150043032,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Snacks sucrés', 'Petit-déjeuners', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Pâtes de fruits', ""Gelées d'argousiers""]",,,,,,,,,,,,,,,,,,,,,,,,,,C,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,
18,"Poulet blanc fermier, Label Rouge",['France'],[],[],?,117,490 kj(117 kcal),"2,5","0,8","0,5","0,5",23,"0,1","0,04",2209341009026,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,,,,,,,,,,,
19,FRETILLANTES - FLEUR D'ORANGÉ 50g - 10g,['France'],[],[],?,477,1996 kj(477 kcal),30,"13,8",47,15,"4,9","0,2","0,08",3770009162050,,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
20,Souffles curry pavot,['France'],[],[],?,431,1803 kj(431 kcal),14,"1,9",64,"1,6","9,5","1,7","0,68",3701239902024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Backetteria Vleceno Testo - 500g,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,24053563,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gomasio,['France'],[],[],?,?,,?,,?,,?,,,3183280025905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cannon Crunch,['France'],[],['Sans huile de palme'],?,?,,?,,?,,?,,,8000003055825,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,
24,Rillettes de pigeons - Chabert,['France'],[],[],?,325,1360 kj(325 kcal),28,"9,5",0,0,18,"1,8","0,72",3512060011904,,,,['Chabert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Matsu sushi makis y nigiris - Pescanova,['France'],[],[],?,731,3059 kj(731 kcal),"4,4",1,"26,2","2,1","7,2","0,69","0,276",8410063066660,,,,['Pescanova'],"['Plats préparés', 'Sushis et makis', 'Sushis', 'Assortiments de sushi']",4.4 g,en quantité modérée,1 g,en faible quantité,2.1 g,en faible quantité,0.69 g,en quantité modérée,,+357%,+357%,+10%,+17%,+6%,-67%,+35%,-63%,-63%,12,+29%,D,+29%,,,,C,83.8%,1.2%,4.6%,6.7%,2.2%,1.6%,62,,,,,,,
26,Chocolate con leche relleno de galleta oreo - Milka,['France'],[],[],?,557,2330 kj(557 kcal),35,19,55,49,"5,3","0,49","0,196",7622210042323,,,,['Milka'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Terrine foie gras à l'ancienne - Saveur d'Auge - 180g,['France'],[],[],?,371,1552 kj(371 kcal),31,13,"2,9","0,5",20,"1,2","0,48",3454740002171,,180 g,,"[""Saveur d'Auge""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Égrène au boeuf surgelé - Socopa - 1kg,['France'],[],[],?,?,,?,,?,,?,,,3039050166395,,1 kg,,['Socopa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Caillettes aux herbes,['France'],[],[],?,322,1347 kj(322 kcal),28,11,"3,4","0,6",14,0,0,3512060031902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Petites escalopes de poulet recette thaï,['France'],[],[],?,113,473 kj(113 kcal),"1,7","0,9","1,3","1,3",23,"0,96","0,384",2211249026111,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
31,Caillettes aux herbes,['France'],[],[],?,322,1347 kj(322 kcal),28,11,"3,4","0,6",14,0,0,3512060090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cuisse De Canard,['France'],[],[],?,156,653 kj(156 kcal),"8,2","2,3",0,0,21,"1,4","0,56",2448355051625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Floppy confiserie drageifiee,['France'],[],[],?,372,1556 kj(372 kcal),"0,5","0,1",91,80,"1,7","0,05","0,02",2608119012204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Brioche au kilo - Auchan,['France'],[],[],?,?,,?,,?,,?,,,0206137008661,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,
