,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
0,Coca cola - 5x 250ml,0204906017715,5 x 250 ml,['France'],[],[],?,42,176 kj(42 kcal),0,0,10,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,La gourmandise d'Aillant,3760206770073,,['France'],[],[],?,411,1720 kj(411 kcal),"18,4","9,07","52,6","24,7","7,8","0,759","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dattes fourrées - Sun,3068230016564,,['France'],[],[],?,?,,?,,?,,?,,,['Sun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Shape body shake - Women's Best,9010128014972,,['France'],[],[],?,380,1590 kj(380 kcal),"9,3","3,4","26,5",9,"39,2","0,7","0,28","[""Women's Best""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L'extraordinaire canard du Sud Ouest,0222624065795,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tisane Eveil Sensuel - 100g,3700525907699,100 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Galette des rois frangipane amande et orange confite - Monoprix Gourmet,3350033678347,,['France'],"[""Beurre 29% - farine de blé - poudre d'amande 9% - sucre glace "", 'sucre', 'amidon de blé', "" - lait entier - œufs-écorce d'orange confite 3% "", ""sirop d'amidon de mais"", ""écorce d'orange 0,8%"", 'sel de mer', "" - sucre - amidon de mais - jaunes d'oeufs zeste d'orange 1,6% - liqueur d'orange Grand Marnier 0,7% "", 'cognac', 'eau', 'sucre', 'alcool', ""arôme naturel d'oranges amères"", 'colorant: caramel ordinaire', ' - sel', "" Traces de soja et d'autres fruits à coque"", ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques', "" Contient de l'alcool""]",['Non végétalien'],?,465,1946 kj(465 kcal),32,18,36,16,"7,2",1,"0,4",['Monoprix Gourmet'],D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['Monoprix'],['E150a - Caramel E150a'],"['Gluten', 'Lait']",4,32 g,en quantité élevée,18 g,en quantité élevée,16 g,en quantité élevée,1 g,en quantité modérée,,+10%,+11%,+21%,+22%,-7%,+24%,+13%,+43%,+43%,22,+15%,E,+15%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,
7,Tomurcuk - 125g,8690719011071,125 g,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Miel d acacia,3502190012001,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
9,Soupe asiatique - Légendes Gourmandes,3760155981438,,['France'],[],[],?,340,1423 kj(340 kcal),"1,44","1,05",69,"5,6",11,"0,08","0,032",['Légendes Gourmandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Terrine de magret de canard fumé,3277160936525,,['France'],[],[],?,300,1255 kj(300 kcal),26,10,"2,9",2,13,"2,2","0,88",,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,26 g,en quantité élevée,10 g,en quantité élevée,2 g,en faible quantité,2.2 g,en quantité élevée,,-2%,-2%,-1%,+5%,+69%,+223%,-8%,+44%,+44%,21,+17%,E,+17%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,
11,Curcumine,3701145600274,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Point Vert', 'Fabriqué en France']",,,,,,,,
12,Galette frangipane,3276550576341,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,
13,Verrines rouget - Auchan - 4x 45g,3596710455997,4 x 45 g,['France'],[],[],?,578,2418 kj(578 kcal),"8,8","2,1","7,3","4,5","7,3","1,07","0,428",['Auchan'],,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,
14,Pain au chocolat pur beurre,2030501580488,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Galette aux pommes pur beurre,,,['France'],[],[],?,245,1025 kj(245 kcal),"9,1","4,7",36,17,"3,9","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pediasure Vainilla Polvo 850G - Abbott,8427030012865,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,['Abbott'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Poulet élevé sans traitement antibiotique - La Nouvelle Agriculture,0213319050257,,['France'],[],[],?,179,749 kj(179 kcal),11,"2,8",0,0,20,"0,15","0,06",['La Nouvelle Agriculture'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,
18,Mini croissants,5201360571604,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
