,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
0,Fourme d'ambert,2230100001388,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,?,,340,-1%,1423 kj(340 kcal),-0%,28,-1%,19,-4%,2,+103%,"0,5",+44%,20,-1%,"2,5",+13%,1,+13%,19,+6%,E,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1,Pain aux céréales moelleux sans gluten,0202448024604,,,['France'],[],[],,,,,,,,,?,,272,,1138 kj(272 kcal),,"10,7",,"1,4",,"32,4",,1,,"5,6",,"1,03",,"0,412",,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,,
2,Capotes,8410134606702,,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"0,7",,"0,2",,"2,2",,"2,2",,"0,8",,"6,7",,"2,68",,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chausson au nutella,2602810549502,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Lentillons ""Bio"" de ""LA FERME DU LEVANT"" de Champagne - 1kg",3760048310956,,,['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,0,,0,,"13,8",,0,,"8,2",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",1 kg,,,,,,,,,,,,
5,Crème Dessert,0745114108074,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ortola,3308440068824,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Asperges Blanches,3519622000178,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,?,,20,+5%,84 kj(20 kcal),+9%,"0,2",-20%,0,-100%,"2,5",+28%,0,-100%,"1,7",+16%,"0,7",-11%,"0,28",-11%,-3,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,,,,
8,Mushy Peas,5054781340010,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Can', 'product']",,,,,,,,,,,
9,COMTE RIVOIRE JACQUEMIN,2619022015794,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.86 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,35,+1%,23,+1%,"0,5",+8%,"0,5",+87%,27,+0%,"0,86",+3%,"0,344",+3%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
