,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,link,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,markets,traceability_code,palm_ingredients,origin_detail,producer_info,brand_owner
0,Préparation soluble Chicorée Café Bio - Leroux - 100g,3067140039540,D,"Chicorée soluble, issue de l'agriculture biologique, fabriquée à partir de racines de chicorée en provenance exclusivement de France & Café arabica bio origine Colombie",100 g,"['Bocal', 'Verre']",['Leroux'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Petit-déjeuners', 'Boissons chaudes', 'Boissons à base de végétaux', 'Cafés', 'Boissons instantanées', 'Cafés solubles', 'Chicorée soluble', 'Boissons sans sucre ajouté', 'Chicorée']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Triman', ""100\xa0% d'origine végétale""]",['Colombie'],['France'],https://www.leroux.fr/produit/,['France'],"['Chicorée Soluble ', '60%', 'Café Soluble  ', '40%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1479,+17%,350,+78%,1479 kj(350 kcal),+67%,"0,8",+73%,"< 0,5",+95%,69,+37%,22,+47%,"9,2",+75%,"0,6",+50%,"0,24",+50%,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,,,,,,,,,,,,,,,,
1,Thon entier au naturel Albacore - Petit Navire - 2*80g,3019081239886,E,,2*80g,['Conserve'],['Petit Navire'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel']",,,,,['France'],"['thon', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,,109,-5%,456 kj(109 kcal),-5%,1,-34%,"0,5",+7%,0,-100%,0,-100%,25,-0%,1,-4%,"0,4",-4%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,['Poisson'],1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,0,-100%,B,-100%,,,,,,,
2,Amora Sauce Salade Bio Bulgare Citron Ciboulette - 200ml,8711200454570,C,Sauce Salade Bulgare Citron Ciboulette,200 ml,['Bouteille'],['Amora'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces salades', 'Assaisonnements']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Point Vert']",,,,['France'],"['Eau', 'huile de tournesol¹', ""vinaigre d'alcool¹"", 'sucre¹', 'ciboulette réhydratée¹ 2,9%', 'sel', 'LAIT écrémé en poudre¹', 'amidon de pomme de terre¹', ""jaune d'ŒUF¹"", 'jus de citron concentré¹ 1,1%', 'acidifiant : acide lactique', 'zeste de citron¹ 0,5%', 'arôme naturel de MOUTARDE', 'épaississant : gomme xanthane', "" ¹Ingrédients issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,990,-3%,239,+17%,990 kj(239 kcal),+10%,21,+127%,"2,8",+119%,11,-48%,"7,4",-21%,"1,1",-74%,"2,2",-77%,"0,88",-77%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,"['Œufs', 'Lait', 'Moutarde']",21 g,en quantité élevée,2.8 g,en quantité modérée,7.4 g,en quantité modérée,2.2 g,en quantité élevée,14,+26%,D,+26%,"['E270 - Acide lactique', 'E415 - Gomme xanthane']",,,,,,
3,MAGNUM Glace Bâtonnet Chocolat Blanc & Cookies 4x90ml - 296g,8717163690475,B,"Glace avec une sauce cacao parfum cookie (6,5%), enrobée de chocolat blanc (27%) aux éclats de cookies (4%).",296 g,"['stück', 'boite', 'wrapper', 'Film']",['Magnum'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Crèmes glacées en pot', 'Glaces au chocolat blanc']","['Rainforest Alliance', 'Grüner Punkt']",,,,"['France', 'Allemagne']","['LAIT écrémé réhydraté', 'sucre', 'beurre de cacao¹', 'sirop de glucose', 'CRÈME ', '4,5%', 'LAIT en poudre entier', 'huiles végétales ', 'coco', 'tournesol', 'fructose', 'BEURRE concentré', 'LACTOSE et protéines de LAIT', 'LAIT en poudre écrémé', 'cacao maigre en poudre¹', 'farine de tapioca', 'farine de riz', 'sirop de glucose fructose', 'émulsifiants ', 'E471', 'E442', 'E476', 'stabilisants ', 'E410', 'E412', 'E407', 'sel', 'arômes', ' Peut contenir : soja', 'amande', 'blé', 'orge', 'avoine', ' ¹Vérifié Rainforest Alliance']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,1329,,314,+18%,1329 kj(314 kcal),+20%,18,+20%,12,+11%,34,+15%,28,+8%,"3,8",+23%,"0,17",+21%,"0,068",+21%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['Gluten', 'Lait']",18 g,en quantité modérée,12 g,en quantité élevée,28 g,en quantité élevée,0.17 g,en faible quantité,19,+12%,E,+12%,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E442 - Phosphatides d'ammonium"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,
4,Barista Oat - Alpro - 1l,5411188127697,A,,1l,"['Tetra Pak', 'composite-carton']",['Alpro'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'en:FSC', 'FSC Mix', 'Sans sucre ajouté', 'Sans lactose', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,"['France', 'Allemagne']","[""base d'avoine "", 'eau', 'avoine ', '10%', 'huile de tournesol', 'protéine de pois', 'sel marin', 'vitamines ', 'B2', 'B12', 'D2']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,59,+23%,247 kj(59 kcal),+23%,3,+133%,"0,3",+45%,"6,7",-15%,"3,3",-36%,"0,8",+4%,"0,13",+37%,"0,052",+37%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,"['Gluten', 'de:Haferbasis']",3 g,en quantité modérée,0.3 g,en faible quantité,3.3 g,en quantité modérée,0.13 g,en faible quantité,0,-100%,B,-100%,,"['Rewe', 'Kaufland']",,,,,
5,Pressade bio tropical,3254691590365,,,,,"['Pressade', 'jus de fruit']",,['Bio'],,,,['France'],"['jus de fruits à base de jus', 'jus concentré et purées de fruits ', 'pomme*', 'ananas*', 'banane*', 'mangue*', 'passion*', 'eau', 'Sucre*', 'acidifiant: acide citrique', "" * Produits issUs de l'agriculture biologique""]",[],,?,,43,,180 kj(43 kcal),,0,,0,,10,,10,,"0,49",,0,,0,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,
6,Gazpacho - Créaline - 95cl,3422440003125,A,,95 cl,['Bouteille'],['Créaline'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",,,,,['France'],"['Légumes 83% ', 'tomates', 'concombres', 'poivrons rouges', 'oignons', ""huile d'olive vierge extra"", 'vinaigre de vin rouge', 'sel', 'amidon de riz', 'ail', ' Fabrique dans un atelier qui utilise du céleri et du lait', ' A conserver entre 0°C et +4°C']",[],3,?,,38,-7%,159 kj(38 kcal),-8%,"2,2",-10%,"0,3",-22%,"3,4",+1%,"2,4",-6%,"0,8",+2%,"0,79",+19%,"0,316",+19%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,2.2 g,en faible quantité,0.3 g,en faible quantité,2.4 g,en faible quantité,0.79 g,en quantité modérée,-3,-352%,A,-352%,,,,,,,
7,Yaourt à boire sucré aromatisé - Yoplait - 850g,3329770063181,E,Yaourt à boire sucré aromatisé,850 g,['Bouteille'],"['Yoplait', 'Yop gf']","['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts à boire goût fraise']",['Lait Français'],,['France'],,['France'],"['LAIT écrémé à base de poudre de LAIT - Sucre 7,9% - CREME – Arôme naturel – Concentré des minéraux du LAIT – Ferments LACTIQUES ', 'LAIT', ' – Vitamine D', "" LAIT D'ORIGINE FRANCE""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,277,-10%,65,-10%,277 kj(65 kcal),-9%,"0,8",-45%,"0,5",-47%,"10,6",-9%,"10,5",-7%,3,+6%,"0,12",+17%,"0,048",+17%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,['Lait'],0.8 g,en faible quantité,0.5 g,en faible quantité,10.5 g,en quantité élevée,0.12 g,en faible quantité,17,+9%,E,+9%,,,"['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,,,
8,citronade bio - Honest - 375ml,42358664,,,375 ml,"['Bouteille en plastique', 'Bouchon en plastique']",['Honest'],"['Boissons', 'Boissons avec sucre ajouté', 'Citronnades']","['Bio', 'Bio européen', 'CH-BIO-006', 'AB Agriculture Biologique']",,,,['France'],"['Eau ', ' sucre de canne*: jus de citron à base de concentré* ', '12%', ' ', ' arômes naturels de citron et citron vert avec autres arômes naturels', "" *ingrédients issu de l'agriculture biologique""]",[],4,?,,24,-25%,100 kj(24 kcal),-26%,0,-100%,0,-100%,"5,7",-29%,"5,7",-24%,0,-100%,0,-100%,0,-100%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,5.7 g,en quantité modérée,0 g,en faible quantité,8,-21%,D,-21%,,,,,,,
9,POM'POTES BIO SSA Pomme/Pomme Fraise/Pomme Abricot/Pomme Poire 12x90g - Materne - 1080g,3021762412198,A,Purée de pomme sans sucres ajoutés (contient des sucres naturellement présents) Spécialité de pomme poire avec arôme naturel sans sucres ajoutés (contient des sucres naturellement présents) Spécialité de pomme fraise avec arôme naturel sans sucres ajoutés (contient des sucres naturellement présents) Spécialité de pomme abricot avec arôme naturel sans sucres ajoutés (contient des sucres naturellement présents),1080 g,"['étui refermable', 'Etui en carton']","['Materne', ""POM'POTES"", 'Bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']","['Bio', 'Bio européen', 'Sans gluten', 'FR-BIO-10', 'Sans sucre ajouté', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,,['France'],"['Pomme : pomme* 99,9 %', 'jus de citron concentré* ', ""si nécessaire pour réguler l'acidité"", ""antioxydant : acide ascorbique *issu de l'agriculture biologiquePomme Poire : pomme* 73,8 %"", 'poire 26,0 %', 'arôme naturel', 'jus de citron concentré* ', ""si nécessaire pour réguler l'acidité"", ""antioxydant : acide ascorbique * issu de l'agriculture biologiquePomme Fraise : pomme* 78,2 %"", 'fraise* 21,6 %', 'arôme naturel', ""antioxydant : acide ascorbique *issu de l'agriculture biologiquePomme Abricot : pomme* 79,8 %"", 'abricot* 20,0 %', 'arôme naturel', 'jus de citron concentré* ', ""si nécessaire pour réguler l'acidité"", ""antioxydant : acide ascorbique *issu de l'agriculture biologique""]",[],4,248,-7%,59,-9%,248 kj(59 kcal),-9%,"0,5",+52%,"0,2",+130%,12,-16%,11,-15%,"0,5",+33%,"0,01",+18%,"0,004",+18%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,0.5 g,en faible quantité,0.2 g,en faible quantité,11 g,en quantité modérée,0.01 g,en faible quantité,-4,,A,,['E300 - Acide ascorbique'],,,,,,
