,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,packaging,categories,ingredients_origins,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,allergens,nova_score,labels,producer_info,traceability_code,additives,link,generic_name,palm_ingredients,origin_detail,brand_owner
0,Iso Whey Zero - BiotechUSA,5999076222902,['BiotechUSA'],['France'],[],[],?,5,21 kj(5 kcal),"1,6",1,"5,2","0,5",84,"0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yahoury - Yoplait,6091002011051,['Yoplait'],['France'],[],[],?,108,452 kj(108 kcal),"3,2",0,16,0,"3,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Clever Naturjoghurt 3,6% - 250g",9003740094361,,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PINK LADY® POMMES BARQ 6 PIECES,46473783,['Pink lady'],['France'],[],[],?,62,259 kj(62 kcal),"< 0,5","< 0,01","13,8","12,3","< 0,5","< 0,01","0,004",6,B,['6'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Pomme-pink-lady']",['France'],['Cavaillon'],0.5 g,en faible quantité,0.01 g,en faible quantité,12.3 g,en quantité modérée,0.01 g,en faible quantité,,+32%,+36%,+70%,-88%,+30%,+51%,+38%,-75%,-75%,-3,,A,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,
4,Bourgogne pinot noir A.O.C. 2016 - Antoine Barrier - 75cl,3564700804773,"['Antoine Barrier', 'Marque Repère']",['France'],['Contient des Sulfites'],[],?,?,,?,,?,,?,,,75 cl,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Leclerc'],['Anhydride sulfureux et sulfites'],3,,,,,,,,,
5,Lait démaquillant - Cattier - 200ml,3283950911481,['Cattier'],['France'],[],[],?,?,,?,,?,,?,,,200ml,,,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gourmandises de volaille figue entière et poitrine fumée - Maître Coq - 380g,3230890878619,['Maître Coq'],['France'],"['Cuisse de poulet désossée 70%* ', 'origine : france', 'poitrine de porc fumée 8%* ', 'poitrine de porc ', 'origine : france', 'sel', 'acidifiants : lactate de potassium - acétates de sodium', 'dextrose', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'figue 4%*', 'eau', 'sucre caramélisé', '* pourcentages minimums']","['Non végétalien', 'Non végétarien']",882,?,882 kj(211 kcal),14,"4,3",5,4,16,"0,4","0,16",380 g,C,['Frais'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille']",,,14 g,en quantité modérée,4.3 g,en quantité modérée,4 g,en faible quantité,0.4 g,en quantité modérée,+40%,,+24%,+61%,+55%,-51%,+163%,+55%,-57%,-57%,2,-45%,B,-45%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,4,"['Viande Française', 'Sans arômes artificiels', 'Volaille-francaise']",ARRIVE Chavagnes,"['EMB 85065B', 'Chavagnes-en-Paillers (Vendée, France)']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
7,Noix de coco Aldi,26061931,,['France'],[],[],?,415,1736 kj(415 kcal),38,35,7,2,4,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,President,6191513501147,['President'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Panettone artisanal - Ciro,3760014290091,['Ciro'],['France'],[],[],?,354,1481 kj(354 kcal),13,"7,7",53,28,"6,6","0,46","0,184",,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,13 g,en quantité modérée,7.7 g,en quantité élevée,28 g,en quantité élevée,0.46 g,en quantité modérée,,-5%,-5%,-13%,-14%,+3%,+8%,-3%,+4%,+4%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,['Fabriqué en Italie'],,,,,,,,
