,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,ingredients_origins,brand_owner,traceability_code,palm_ingredients,origin_detail,producer_info
0,Tic Tac Citron Vert & Orange - 16g,80813101,E,Pastilles aromatisées au citron vert et à l'orange,16 g,"['Boîte', 'Plastique', 'Boîte en plastique']","['Tic Tac', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Pastilles']",['Point Vert'],https://www.tic-tac.fr/fr/les-gouts-tic-tac#tic-tac-gouts-citron-vert-et-orange,['Auchan'],['France'],"['Sucre', 'maltodextrine', 'acidifiant : acide tartrique', 'amidon de riz', 'épaississant ', 'gomme arabique', 'arômes concentré de spiruline et de pomme', 'colorants ', 'E160a', 'E100', 'E120', 'antioxydant :acide ascorbique', 'jus de citron en poudre', ""agent d'enrobage "", 'cire de carnauba']","['E334 - Acide L-tartrique', ""E414 - Gomme d'acacia"", 'E160a - Carotènes mélangés', 'E100 - Curcumine', 'E120 - Acide carminique', 'E300 - Acide ascorbique', 'E903 - Cire de carnauba']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,0.4 g,en faible quantité,0.4 g,en faible quantité,91.4 g,en quantité élevée,0.02 g,en faible quantité,?,,386,+21%,1615 kj(386 kcal),+19%,"0,4",+89%,"0,4",+117%,95,+12%,"91,4",+74%,"0,1",-54%,"0,02",-61%,"0,008",-61%,14,+48%,D,+48%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
1,Chiquilin Galetes - Artiach,8410000000115,C,,,,['Artiach'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,"['France', 'Espagne']","['Harina de trigo', 'azúcar', 'aceite de girasol alto oleico', 'coco rallado', 'suero lácteo en polvo', 'almidón de trigo', 'miel', 'huevo en polvo', 'gasificante', 'sal', 'aromas', 'antioxidantes', 'extracto de malta de cebada', 'vitaminas y sales minerales: vitamina D', 'carbonato de calcio y hierro']",,['Non végétalien'],,16 g,en quantité modérée,3.2 g,en quantité modérée,23 g,en quantité élevée,0.2 g,en faible quantité,?,,464,-2%,1941 kj(464 kcal),-2%,16,-23%,"3,2",-68%,72,+12%,23,-22%,"6,7",+3%,"0,2",-66%,"0,08",-66%,13,-34%,D,-34%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
2,Gelatina sabor morango - Royal - 170g,8410000812268,,,170g,['Carton'],['Royal'],"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour desserts gélifiés']",,,,"['France', 'Espagne', 'Suisse']","['Sucre', 'gélatine ', '11%', ""régulateurs d'acidité "", 'acide fumarique', 'cirate de sodium', 'arômes', 'colorants ', 'E-120', 'E-100', 'vitamine C']","['E428 - Gélatine', 'E297 - Acide fumarique', 'E331iii - Citrate trisodique', 'E120 - Acide carminique', 'E100 - Curcumine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,12.5 g,en quantité modérée,0.12 g,en faible quantité,241,,?,,241 kj(58 kcal),-58%,"0,1",+66%,"0,1",+250%,"12,5",-57%,"12,5",-42%,"1,4",-60%,"0,12",-55%,"0,048",-55%,2,+39%,B,+39%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,,,
3,"Aceite de oliva suave 0,4º botella 1 l - Carbonell",8410010000181,D,,1 L,"['Plastique', 'Bouteille', 'Plastico']",['Carbonell'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,['Alimerka'],"['France', 'Espagne']","[""Huile d'olive""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,15,+7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,"['Cordoba', 'España']",,,,,,
4,Nocilla la autentica - 750g,8410014351159,D,,750 g,['Plástico'],['Nocilla'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['en:gluten-free', 'Source de calcium', 'en:palm-oil-free']",,,"['France', 'Espagne']","['Azúcar', 'aceite de girasol alto oleico', 'leche desnatada en polvo ', '6,90%', 'manteca de cacao', 'sólidos lácteos', 'cacao desgrasado en polvo ', '4,3%', 'avellanas ', '3,9%', 'emulgente ', 'lecitina de soja', 'aromas']",,['Sans huile de palme'],,32 g,en quantité élevée,10 g,en quantité élevée,58 g,en quantité élevée,0.18 g,en faible quantité,?,,546,-1%,2284 kj(546 kcal),-1%,32,-6%,10,+30%,59,+15%,58,+22%,"4,5",-34%,"0,18",+75%,"0,072",+75%,25,+21%,E,+21%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,"['Fruits à coque', 'Soja']",,,,,,,
5,Tomato frito - Heinz - 330ml e / 350g,8410066117826,A,,330 ml e / 350 g,"['Brique', 'Carton', 'Tetra Pak']",['Heinz'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates frites']","['Point Vert', 'Sans conservateurs']",,['Delhaize'],"['Belgique', 'France']","['Tomates ', '160g pour 100g Tomato Frito', 'huile de tournesol ', 'cuisson avec oignon et ail', 'sucre', 'sel', 'amidon modifié']",['E14XX - Amidons modifiés'],[],4,3.5 g,en quantité modérée,0.4 g,en faible quantité,7.4 g,en quantité modérée,1.5 g,en quantité modérée,?,,73,-16%,305 kj(73 kcal),-14%,"3,5",-12%,"0,4",-18%,"9,1",-1%,"7,4",+7%,"1,1",-13%,"1,5",+35%,"0,6",+35%,7,+34%,C,+34%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,
6,Guacamole - Old El Paso - 195g,8410076420794,C,Purée à l'avocat finement épicée,195 g,"['Pot', 'Verre', 'Couvercle', 'Métal']",['Old El Paso'],"['Epicerie', 'Sauces', 'Guacamoles']",,,,['France'],"['Eau', 'avocat ', '14%', 'tomates ', '10%', 'oignons ', '7%', 'farine de blé', 'préparation fromagère', 'crème', 'amidon transformé de maïs ', 'contient des sulfites', 'huile de colza', 'flocons de pomme de terre déshydratés ', 'contient des sulfites', ""purée d'ail "", 'contient des sulfites', 'extrait de lactosérum ', 'lait', 'lactosérum en poudre ', 'lait', 'sel', 'épices ', '0,73 %', 'jus de citron vert concentré ', 'contient des sulfites', 'sucre ', 'contient des sulfites', 'sirop de glucose déshydraté', ""correcteurs d'acidité : glucono-delta-lactone"", 'acide citrique', ' piment jalapeno déshydraté', 'herbes', 'dextrose', 'antioxygène : acide ascorbique', 'colorants: complexes cuivre-chlorophyllines', 'lutéine', ' extrait de levure', 'caséinate ', 'lait', 'ail en poudre']","['E14XX - Amidons modifiés', 'E575 - Glucono-delta-lactone', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E161b - Lutéine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,5.1 g,en quantité modérée,1.8 g,en quantité modérée,3.7 g,en faible quantité,0.75 g,en quantité modérée,415,-30%,99,-39%,415 kj(99 kcal),-38%,"5,1",-59%,"1,8",-31%,"10,3",+69%,"3,7",+80%,"1,8",+3%,"0,75",-32%,"0,3",-32%,2,-60%,B,-60%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites', 'Fromagère']",['Espagne'],,,,,,
7,Salsa Dip - Old el paso - 190g,8410076423023,,Sauce Apéritif aux oignons et aux poivrons,190 g,"['Bocal', 'Verre']",['Old el paso'],"['Epicerie', 'Sauces']",,,['Hyper U'],['France'],"['Sauce Apéritif aux Oignons et aux Poivrons : tomates ', '52%', 'eau', 'oignons ', '10%', 'concentré de tomates', 'poivrons vert ', '7%', 'sel', 'vinaigre', 'épices', ""copeaux d'oignons déshydratés"", 'oignons en poudre', 'piment Guajillot', 'sucre', 'jus de citron concentré', 'épaississant : gomme xanthane', 'ail en poudre', 'colorant : extrait de paprika,']","['E415 - Gomme xanthane', 'E160c - Extrait de paprika']",[],4,0.5 g,en faible quantité,0 g,en faible quantité,3.9 g,en faible quantité,1.2 g,en quantité modérée,?,,40,-83%,167 kj(40 kcal),-83%,"0,5",-97%,0,-100%,"6,9",-30%,"3,9",-40%,"1,4",-48%,"1,2",-50%,"0,48",-50%,4,-66%,C,-66%,,,,,,,,,,,,,,,
8,Tortillas mexicanas de trigo - Old El Paso - 6,8410076470584,B,,6,['Plastic'],['Old El Paso'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains blancs', 'Pains de blé', 'Tortillas de blé']",['Sans conservateurs'],,,"['France', 'Espagne']","['Harina de trigo', 'agua', 'estabilizante: glicerina', ' aceite refinado de girasol', 'emulgente: monoglicéridos y digliceridos de ácidos grasos', ' dextrosa', 'gasificantes: carbonato ácido de sodio', 'difosfatos', ' sal', ' Envasado en atmósfera protectora', ' Alérgenos: ver Ingredientes en negrita', ' SIN CONSERVANTES']","['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500ii - Carbonate acide de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme""]",4,5.2 g,en quantité modérée,1.2 g,en faible quantité,2.1 g,en faible quantité,1 g,en quantité modérée,1264,-6%,299,-4%,1264 kj(299 kcal),-4%,"5,2",-26%,"1,2",-24%,"53,2",+3%,"2,1",+3%,"9,1",+8%,1,-25%,"0,4",-25%,2,-65%,B,-65%,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,['Gluten'],['Spain'],,,,,,
9,Leche Calcio Semidesnatada - Pascual - 1l,8410128010171,D,,1 l,,['Pascual'],"['Produits laitiers', 'Laits', 'Laits demi-écrémés', 'Laits de vache']",,,,"['France', 'Espagne']","['Leche semidesnatada', 'Proteinas de leche', 'Estabilizante ', 'E-452', 'Vitaminas A', 'D', 'E,K y Acido fólico']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien']",4,1.6 g,en faible quantité,1.1 g,en faible quantité,5.7 g,en quantité modérée,0.2 g,en faible quantité,?,,53,+6%,222 kj(53 kcal),+6%,"1,6",-19%,"1,1",-11%,"5,7",+19%,"5,7",+19%,"3,9",+21%,"0,2",+92%,"0,08",+92%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Lait'],,,,,,,
