,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,ingredients_origins,link,brand_owner,producer_info,origin_detail
0,Crema di limoncino -  - 50cl,20048396,E,50cl,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']","['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saucisson Sec - Lidl,20057381,,,,['France'],[],[],?,,431,,36,,3,,23,,,,,,,,,['Lidl'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-12']","['FR 63.427.001 CE', 'Teilhède (Puy-de-Dôme, France)', 'EMB 63427', 'Teilhède (Puy-de-Dôme, France)']",1803 kj(431 kcal),14,2,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Poêlée de Kebab - Glenfell - 400g ℮,20060237,,400 g ℮,"['Viandes', 'Surgelés', 'Plats préparés', 'Bœuf', 'Viandes surgelées', 'Préparations de viande surgelées', 'Poêlées', 'Poêlées façon kebab']","['Finlande', 'France']","['93% viande de bœuf coupée en tranches', 'épices ', 'contient moutarde et céleri', 'protéines de lait', 'sel', 'dextrose', 'lactose', 'condiments ', 'protéines de maïs hydrolysées', 'sel', 'huile de tournesol', 'herbes aromatiques', 'oignons', ""correcteurs d'acidité : citrates de sodium"", 'carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",934,+3%,224,+5%,16,+5%,2,-36%,18,+21%,,,,,,,,"['Glenfell', 'Culinea']",['Fabriqué en Allemagne'],['DE NW-20028 EG'],934 kj(224 kcal),"7,5",2,"1,5","0,6","['Carton', 'Surgelé', '21 PAP', '04 LDPE', '♶']",['Allemagne'],['LIDL'],"['E331 - Citrates de sodium', 'E500 - Carbonates de sodium']","['Céleri', 'Lait', 'Moutarde']",4,16 g,en quantité modérée,7.5 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,+4%,+14%,+136%,+53%,+53%,15,+42%,D,+42%,,,,,,,
3,Cream Spread - 200g,20064457,,200 g,,"['Autriche', 'France']","['popcorn ', '80%', 'sunflower oil - high oleic', 'sea salt', '會。']",[],?,,208,,19,,"3,2",,"5,7",,,,,,,,,,['Fabriqué en Allemagne'],,870 kj(208 kcal),"13,3","3,1","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Heringsfilets in Tomatencreme - Nixe - 200g,20101688,B,200 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Harengs', 'Harengs en conserve']","['France', 'Allemagne']","['14,4% Tomaten - mark doppelt konzentriert', 'Trinkwasser', 'Rapsöl', 'Zucker', 'Branntweinessig', 'Stärke', 'Speisesalz', 'Verdickungsmittel: Johannisbrotkernmehl', 'Gewürze,']",[],?,,221,+11%,"16,9",+18%,"5,2",+110%,"11,3",-19%,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,['Nixe'],,['MSC-C-50411'],925 kj(221 kcal),"2,5","4,7","0,88","0,352",['Dose'],,,,,4,16.9 g,en quantité modérée,2.5 g,en quantité modérée,4.7 g,en faible quantité,0.88 g,en quantité modérée,+12%,-15%,+161%,-48%,-48%,3,-60%,C,-60%,,,,,,,
5,family cappuccine - Bellarom - 500g,20111410,,500g,,"['Belgique', 'France']",[],[],?,,396,,"6,3",,"69,4",,"14,4",,,,,,,,,['Bellarom'],,['DE NW-410 EG'],1657 kj(396 kcal),"5,7","64,4","1,23","0,492",,['Allemagne'],['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Escalopes de dinde - 1000g,20184063,D,1000 g,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],?,,110,-9%,2,+52%,0,-100%,23,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,460 kj(110 kcal),"0,8",0,"0,2","0,08",['Barquette'],,,,,,2 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,-9%,+99%,-100%,-64%,-64%,-4,,A,,,,,,,,
7,White strong - Jet gum - 46,20189440,,46,,"['France', 'Grèce']","['Edulcorants: xylitol', 'sorbitols', 'gomrela édulcorants: mannitol', 'maltitols', 'épaississant: gomme arboe', 'arômes', 'colorant: diaxyde de titane', 'agent de charge', 'polyphosphates', 'humectant: glycérol', 'édulcorant: aspatare émulsifiant: lécithines de soja', ""édulcorant: acésulfame-k d'enrobage: cire de carnauba"", 'Contient une source de phéni Une consommation excessive peut avoir des effets laxatis ar Técart de la chaleur et']",[],?,,163,,0,,"66,4",,0,,,,,,,,,['Jet gum'],,,682 kj(163 kcal),0,0,"0,1","0,04",,,,"['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E422 - Glycérol', 'E322i - Lécithine', 'E950 - Acésulfame K', 'E903 - Cire de carnauba']",,4,,,,,,,,,,,,,,,,,,,,,,,,
8,Brochettes de medaillons de poulet à la provençale - L'étal du Volailler - 500g,20213916,E,500 g,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Poulets', 'Brochettes de viande', 'Plats à la volaille', 'Préparations au poulet', 'Brochettes de volailles', 'Brochettes de poulet']",['France'],"['Filet de  Poulet 90%', 'huile de colza', ""huile d'olive"", 'sels minéraux de mer ', 'Chlorure de sodium', 'calcium', 'magnésium', 'sulfate', 'eau', 'épices', 'Plantes aromatiques 0,35% ', 'romarin', 'thym', 'origan', 'marjolaine', 'estragon', 'tomate en poudre 0,2%', 'sucre de canne', 'graisse de palme', 'sel', 'épaississant ', 'gomme xanthane', ""vinaigre d'alcool"", ""extraits d'épices"", 'dextrose']","['Huile de palme', 'Non végétalien', 'Non végétarien']",589,+18%,140,-3%,6,+39%,"0,6",-90%,21,+19%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,"[""L'étal du Volailler""]",,,589 kj(140 kcal),"0,9","0,6",1,"0,4","['Article', 'Frais']",,['Lidl'],['E415 - Gomme xanthane'],,4,6 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en faible quantité,1 g,en quantité modérée,-2%,-28%,-84%,-13%,-13%,0,-100%,B,-100%,Brochettes de Poulet,['Huile de palme'],,,,,
9,"Oranges - Sans marque - 1,5kg",20241698,,"1,5 kg","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Oranges', 'Oranges fraîches']",['France'],"['Oranges ', 'Navel Catégorie 1 Calibre 4']",[],?,,?,,?,,?,,?,,,,,,,,,"['Sans marque', 'Nosibe']",['K.C.B 3178'],,,,,,,['Sachet'],,['LIDL'],,,1,,,,,,,,,,,,,,,,,,Oranges à jus,,['Afrique du Sud'],,,,
