,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,palm_ingredients,brand_owner,producer_info,origin_detail
0,Yaourt Vanille - Ferme des Peupliers - 125g,3374270050353,A,Yaourt Vanille,125 g,"['Frais', 'Verre', 'Pot']",['Ferme des Peupliers'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés']","['Concours général agricole', ""Médaille d'argent du Concours général agricole"", ""Médaille d'argent du concours général agricole 2016""]","['France', 'Normandie', 'Flipou']","['France', 'Flipou', 'Normandie']","['FR 27.247.001 CE', 'Flipou (Eure, France)']",http://fermedespeupliers.fr/les-produits/les-prestigieux,['France'],"[""Lait entier de Normandie issu d'animaux nourris sans OGM "", '<0', '9 %', ' ', 'Sucre ', '7,5 %', ' ', 'Poudre de lait écrémé ', 'Arôme naturel de vanille avec autres arômes naturels ', '0,6%', 'Ferments lactiques du yaourt ', 'contient du lait']",['Lait'],['Non végétalien'],4,2.9 g,en faible quantité,1.9 g,en quantité modérée,12.5 g,en quantité modérée,0.01 g,en faible quantité,?,,91,0%,381 kj(91 kcal),+0%,"2,9",+5%,"1,9",+9%,"12,5",+1%,"12,5",+6%,"3,8",+7%,"0,01",-91%,"0,004",-91%,2,-41%,B,-41%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,
1,Saucison Sec Pur Porc Savoie Raffin - Henri Raffin,3375220012605,D,Véritable Saucisson Sec de Savoie Pur Porc,,"['Sachet', 'Plastique']",['Henri Raffin'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']","['en:gluten-free', 'Sans colorants', 'Pur porc']",,,"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,['France'],"['Viande de porc ', '156 g mis en œuvre pour 100 g de produit fini', 'LACTOSE', 'sel', 'saccharose', 'dextrose', 'épices et plantes aromatique', 'arômes naturels', 'conservateurs : salpêtre - nitrite de sodium ferments', ' Boyau naturel de porc']",['Lait'],"['Non végétalien', 'Non végétarien']",4,29.5 g,en quantité élevée,11 g,en quantité élevée,2 g,en faible quantité,4.92 g,en quantité élevée,1596,-6%,384,-7%,1596 kj(384 kcal),-7%,"29,5",-10%,11,-14%,4,+72%,2,+31%,26,-5%,"4,925",+6%,"1,97",+6%,24,-1%,E,-1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
2,Saucisse sèche à l'ancienne - Galibier - 280g,3375220500942,D,,280 g,"['Sachet', 'Plastique']",['Galibier'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']","['Viande-francaise', 'Viande Porcine Française']",['France'],['France'],"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,['France'],"['Viande fraiche de porc français ', '159 g mis en oeuvre pour 100 g de produit fini', 'sucres : lactose', 'saccharose', 'dextrose', 'sel', 'épices', 'arômes naturels', 'ferments', 'conservateur : salpêtre', ' Boyau naturel de porc']",['Lait'],"['Non végétalien', 'Non végétarien']",4,30 g,en quantité élevée,12 g,en quantité élevée,2 g,en faible quantité,4.4 g,en quantité élevée,?,,382,-7%,1598 kj(382 kcal),-7%,30,-7%,12,-5%,3,+35%,2,+35%,25,-13%,"4,4",-5%,"1,76",-5%,24,-0%,E,-0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Auchan'],,,,
3,Mini Bûchettes Comté AOP - Galibier - 130g,3375220502274,D,Saucisson sec au Comté,130 g,"['Barquette', 'Plastique']",['Galibier'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['en:gluten-free', 'Point Vert', 'Sans colorants']",['Union européenne'],,"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,['France'],"['Viande de porc ', '103 grammes mis en oeuvre pour 100 g de produit fini', 'COMTE: LAIT de vache-sel - ferments lactiques-présure animale ', '7g de mise en oeuvre pour 100 g de produit fini', 'LACTOSE', 'sel', 'saccharose', 'dextrose', 'épices et plante aromatique', 'arômes naturels', 'conservateurs nitrate de potassium - nitrite de sodium', 'ferments Boyau en fibre animale']",['Lait'],"['Non végétalien', 'Non végétarien']",4,45 g,en quantité élevée,17 g,en quantité élevée,1.5 g,en faible quantité,6 g,en quantité élevée,?,,556,+38%,2326 kj(556 kcal),+38%,45,+42%,17,+38%,2,-10%,"1,5",+9%,32,+16%,6,+28%,"2,4",+28%,26,+8%,E,+8%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
4,Yaourt De Brebis Nature - Biochamps,3375610000045,,,,,['Biochamps'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],,[],,4.6 g,en quantité modérée,3.4 g,en quantité modérée,2.1 g,en faible quantité,0.12 g,en faible quantité,?,,82,-22%,343 kj(82 kcal),-22%,"4,6",-10%,"3,4",+2%,"3,3",-65%,"2,1",-74%,"6,1",+26%,"0,12",+12%,"0,048",+12%,1,-61%,B,-61%,,,,,,,,,,,,,
5,Soja brassé saveur Citron au Bifidus Bio - Biochamps - 250g (2x 125g),3375610000403,A,"Yaourt soja au bifidus aromatisé citron, issu de l'agriculture biologique",250 g (2 x 125 g),"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']",['Biochamps'],"['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux', 'Yaourts au soja']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans OGM', ""Soja d'origine France Garanti sans  OGM""]","['France', 'Agriculture UE/non UE', 'Soja']","['JPS Lait - ZI Le Lachet - 09210 Lézat-sur-Lèze', 'Ariège', 'Midi-Pyrénées', 'France']",,http://www.biochamps.fr/notre-gamme/,['France'],"['Tonyu* ', 'eau', 'soja* 12 %', 'sucre de canne roux* 8 %', 'arôme naturel de citron*', 'algue marine naturelle Lithothamnium calcareum 0,2%', 'ferments sélectionnés', ""\r*issus de l'agriculture biologique""]",['Soja'],[],4,2 g,en faible quantité,0.3 g,en faible quantité,7.8 g,en quantité modérée,0.0102 g,en faible quantité,293,-5%,70,-3%,293 kj(70 kcal),-4%,2,-8%,"0,3",-14%,"9,1",+3%,"7,8",-2%,"3,6",-4%,"0,01",-90%,"0,004",-90%,-1,,A,,24.3%,36.0%,14.5%,14.8%,8.1%,2.2%,96,,,,,,
6,Yaourt au lait de brebis saveur vanille - Biocoop - 125g,3375610000625,A,,125 g,"['Pot', 'Verre', 'Aluminium']",['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de brebis', 'Yaourts sucrés']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,,,['France'],"['Lait demi-écrémé de brebis pasteurisé', 'sucre de canne blonde ', '8 %', 'arôme naturel de vanille ', '1 %', 'ferments lactiques']",['Lait'],[],4,3.7 g,en quantité modérée,2.5 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,?,,110,+5%,460 kj(110 kcal),+4%,"3,7",-27%,"2,5",-25%,14,+47%,11,+36%,"5,4",+11%,"0,1",-7%,"0,04",-7%,2,-23%,B,-23%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,['Biocoop'],,,,
7,"Saucisses de toulouse aux lentilles MAISON RIVIERE, boîte 4/4 - 840g",3375644006105,,Saucisses aux lentilles,840 g,['Conserve'],['Maison Rivière'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles', 'Saucisses de Toulouse aux lentilles']",,,,"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",,['France'],"['bouillon [eau', 'amidon modifié', 'concentré de tomate', ""pulpe d'ail "", 'ail', 'sel', 'gras de porc', 'sel', 'clou de girofle', 'arômes', 'arôme oignon', 'aromates]', 'saucisses de Toulouse grillées 19% ', 'viande de porc origine UE', 'gras de porc', 'sel', 'poivre', 'boyau naturel de porc', 'lentilles vertes sèches 16% ', ""pourcentage à l'ouverture : 48%""]",,"['Non végétalien', 'Non végétarien']",4,9 g,en quantité modérée,3.9 g,en quantité modérée,0.5 g,en faible quantité,0.76 g,en quantité modérée,?,,153,-7%,640 kj(153 kcal),-8%,9,-2%,"3,9",+12%,"8,7",+11%,"0,5",-3%,"8,4",-5%,"0,76",-20%,"0,304",-20%,-1,-130%,A,-130%,,,,,,,,['E14XX - Amidons modifiés'],['Magasins U'],,,,
8,Café 100% arabica Villa Oriente Bolivie - Lobodis,3376221112059,,,,,['Lobodis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,['France'],[],,[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,"0,1",-93%,"0,1",-89%,"0,1",-99%,"0,1",-98%,"0,1",-95%,,,,,,,,,,,,,,,,,,,,,
9,Grains Pur Arabica - Lobodis - 250g,3376221112363,E,Café bio équitable en grains,250 g,['Plastique'],['Lobodis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café', 'Grains de café torréfiés']","['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Agriculture non UE', 'AB Agriculture Biologique', 'en:Fairtraide', 'en:Torréfié en France']",,['France'],,,['France'],['Grains de cafés pur Arabica'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,['Leclerc'],,,,
