,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,traceability_code,link,ingredients_origins,palm_ingredients,origin_detail,producer_info,brand_owner
0,Trium chocolat au lait et cookies enrobage chocolat noir - Marque Repère - 4x 100ml,3564700386231,4 x 100 ml,"['Marque Repère', 'Trium']",['Leclerc'],['France'],"['Chocolat au lait 30,6 % ', 'sucre ', ' pâte de cacao ', ' beurre de cacao ', ' lactosérum en poudre ', ' matière grasse laitière anhydre ', ' graisse végétale de coprah ', ' lait écrémé en poudre ', ' émulsifiants : lécithines de tournesol', 'E476 ', ' extrait naturel de vanille', ' ', ' eau ', ' lait écrémé ', ' éclats de cookies 9,7 % ', 'farine de blé ', ' sucre ', ' beurre ', ' eau ', ' cacao maigre en poudre ', ' sel ', ' poudre à lever : E500', ' ', ' sirop de glucose-fructose ', ' sucre ', ' concentré de protéines de lactosérum ', ' graisse végétale de coprah ', ' poudre de cacao ', ' lait entier en poudre ', ' beurre de cacao ', ' pâte de cacao ', ' émulsifiant : E471', 'lécithines de soja ', ' stabilisant : alginate de sodium ', ' arôme naturel de vanille', 'Traces de fruits à coque']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E401 - Alginate de sodium']","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,1464,?,1464 kj(350 kcal),20,14,38,31,"3,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hachis Parmentier - Côté Table - 900g,3564700398111,900 g,"['Côté Table', 'Marque Repère']",['Leclerc'],['France'],"['Eau', '{allergene}lait{/allergene}', 'viande de boeuf 18%', 'pomme de terre deshydratees 9%', 'creme fraiche 4%', 'champignons', 'oignons', '{allergene}emmental{/allergene} ', ' {allergene}lait{/allergene}', ' ,{allergene}beurre{/allergene}', 'chapelure ', '{allergene}gluten{/allergene}', '{allergene}orge{/allergene}', 'persil', 'sel', 'amidon modifie', ""huile d'olive"", 'aromes', ""epices et extraits d'epices"", 'plantes aromatiques', 'emulsifiant: e471', 'huile de tournesol', '{traces}traces de soja', 'celeri', 'oeuf', 'moutarde', 'mollusques', 'crustaces', 'poissons', ""la viande bovine entrant dans la composition du produit est d'origine francaise"", '{/traces}']","['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,519,?,519 kj(124 kcal),"7,3","4,1",11,"1,7",7,"0,8","0,32",E,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']","['Viande Française', 'Viande-bovine-francaise']",7.3 g,en quantité modérée,4.1 g,en quantité modérée,1.7 g,en faible quantité,0.8 g,en quantité modérée,+7%,,+0%,+19%,+41%,+10%,+6%,+13%,+10%,+10%,3,+4%,C,+4%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,,,,,,,,,,
2,Gelée au madère - Rustica - 24g,3564700414392,24 g,"['Rustica', 'Marque Repère']",['Leclerc'],['France'],"['Gélatine de bœuf 43 % ', ' sel ', ' sirop de glucose ', ' arômes ', ' vin de Madère en poudre 5,5 % ', 'maltodextrine', 'vin de Madère', ' ', ' sucre ', ' extrait de vin blanc en poudre ', 'maltodextrine', 'extrait de vin blanc', ' ', ' acidifiant : acide citrique ', ' colorants : E150c', 'extrait de paprika', ' Traces de céleri', 'gluten', 'crustacés', 'fruits à coque', 'lait', 'œufs', 'poissons et soja']","['E428 - Gélatine', 'E330 - Acide citrique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1054,?,1054 kj(252 kcal),"0,5","0,1",21,"5,5",41,"28,1","11,24",,"['Aides culinaires', 'Produits déshydratés', 'Gelée au madère']",,0.5 g,en faible quantité,0.1 g,en faible quantité,5.5 g,en quantité modérée,28.1 g,en quantité élevée,-27%,,-24%,-93%,-97%,-62%,-84%,+813%,+5047%,+5047%,14,+14%,D,+14%,,,,,,,,Préparation déshydratée pour gelée saveur vin de Madère,"['Sachet', 'Plastique']",,,,,,,,
3,Gratin dauphinois au jambon - Côté Table - 280g,3564700423103,280 g,"['Côté Table', 'Marque Repère']",['Leclerc'],['France'],"['Pommes de terre 59', '8%', 'eau', 'creme fraîche 10%', 'jambon cuit standard 7', '8% ', 'jambon de porc* 5', '5% ', ' eau ', ' dextrose ', ' sel ', ' gélatine de porc ', ' stabilisant : carraghénanes ', ' plasma de porc ', ' acidifiant : e331 ', ' antioxydant : ascorbate de sodium ', ' arômes naturels ', ' conservateur : e250', 'sauce blanche déshydratée ', 'lactoserum', 'amidon modifié de pomme de terre', 'farine de ble', 'sel', 'épices', 'emmental râpé 0', '7%', 'fromage en poudre ', 'dont emmental', ""huile d'olive"", 'sel', 'ail', 'arôme naturel de poivre', 'muscade', ' traces de céleri', 'crustacés', 'lupin', 'fruits à coque', 'mollusques', 'moutarde', 'oeuf', 'poisson', 'graines de sésame et soja', '*origine : uepommes de terre 41%', 'eau', 'creme fraiche 19%', 'jambon superieur fume 7,5% ', 'jambon de porc', 'bouillon ', 'eau', 'os et viande de porc', 'sel', 'dextrose', 'aromes', 'arome de fumee', 'antioxydant:e316', 'conservateur: e250', '{allergene}fromages{/allergene} fondus', ' {allergene}fromages{/allergene}', 'eau', 'amidons modifies', '{allergene}beurre{/allergene}', 'proteines de {allergene}lait{/allergene}', 'sels de fonte: e331-e452', '{allergene}oeufs{/allergene}', '{allergene}beurre{/allergene}', '{allergene}emmental{/allergene}', 'farine de {allergene}ble{/allergene},amidon modifie', 'sel', 'poivre', 'ail', 'conservateur: bisulfites de sodium', '{traces}traces de soja', 'celeri', 'moutarde', 'mollusques', 'crustaces et poissons', ' viande origine france', '{/traces}']","['E428 - Gélatine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E316 - Érythorbate de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,615,?,615 kj(147 kcal),"4,9","2,7","8,6","1,4",4,"0,8","0,32",B,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']","['Viande Française', 'Viande Porcine Française']",4.9 g,en quantité modérée,2.7 g,en quantité modérée,1.4 g,en faible quantité,0.8 g,en quantité modérée,+44%,,+25%,-15%,-25%,-23%,-13%,+17%,+13%,+13%,3,-36%,C,-36%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,
4,Olives et fromage - Pause Fraîcheur - 150g,3564700423127,150 g,"['Pause Fraîcheur', 'Marque Repère', 'Couleurs Vives']",['Leclerc'],['France'],"['Olives vertes dénoyautées 67 % ', 'olives', 'sel', 'fromage au lait de vache pasteurisé 26 %', 'poivrons ', 'poivrons', ""vinaigre d'alcool"", 'sucre', 'sel', ""lamelles d'ail "", 'ail', 'vinaigre', 'huile de tournesol', 'basilic 0,1%']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,871,?,871 kj(208 kcal),20,"6,2","1,1","0,5","5,5","2,4","0,96",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Produits laitiers', 'Produits fermentés', 'Snacks salés', 'Apéritif', 'Produits laitiers fermentés', 'Pickles', 'Fromages', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",['Point Vert'],20 g,en quantité modérée,6.2 g,en quantité élevée,0.5 g,en faible quantité,2.4 g,en quantité élevée,+14%,,+10%,+9%,+122%,-42%,+78%,+314%,-32%,-32%,11,-11%,D,-11%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,"['Plastique', 'Frais']",,,,,,,,
5,Salade strasbourgeoise - Pause Fraîcheur - 300g,3564700429426,300 g,"['Pause Fraîcheur', 'Marque Repère', 'Menu Fraîcheur']",['Leclerc'],['France'],"['Pomme de terre cuite 63 % ', ' eau ', ' saucisse de Strasbourg 11 % ', 'viande de porc ', 'origine : UE', 'eau', 'gras de porc', 'plasma de porc', 'sel', 'dextrose', 'stabilisants : E450 ', ' E452', 'coriandre', 'paprika', 'acidifiant : acide citrique', 'antioxydant : E316', 'conservateur : E250', 'arômes naturels', ' ', ' huile de colza ', ' cornichon 2,1 % ', "" vinaigre d'alcool "", "" MOUTARDE à l'ancienne 1 % "", 'eau', ""vinaigre d'alcool"", 'graine de MOUTARDE', 'tégument de graine de MOUTARDE', 'sel', 'arômes', 'curcuma', ' ', ' sel ', ' amidon modifié de pomme de terre ', ' sucre ', ' MOUTARDE ', 'eau', 'graine de MOUTARDE', ""vinaigre d'alcool"", 'sel', ' ', ' conservateur : E202 ', ' ciboulette ', ' persil ', "" jaune d'ŒUF "", ' poivre ', ' épaississant : gomme xanthane ', ' sirop de glucose']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Œufs', 'Moutarde']","['Non végétalien', 'Non végétarien']",4,520,?,520 kj(124 kcal),"7,9","1,6",10,1,"2,7","1,2","0,48",,"['Plats préparés', 'Frais', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Salades strasbourgeoises']",,7.9 g,en quantité modérée,1.6 g,en quantité modérée,1 g,en faible quantité,1.2 g,en quantité modérée,-15%,,-18%,-12%,+19%,-1%,-56%,-51%,+37%,+37%,5,+229%,C,+229%,,,,,,,,Salade assaisonnée à base de pomme de terre et de saucisse de strasbourg,"['Barquette', 'Plastique']",['France'],"['FR 38.449.002 CE', 'Saint-Quentin-Fallavier (Isère, France)']",http://www.marquerepere.com,,,,,
6,Rillettes pur porc - Côté Table - 3x 78g,3564700459188,3 x 78 g,"['Côté Table', 'Marque Repère']",['Leclerc'],['France'],"['Viande de porc ', 'origine : France', ' 105g*', 'gras de porc ', 'origine : France', ' 6,6g*', 'oignon', 'sel', 'épices', ' Traces de fruits à coque et moutarde', '* Poids utilisés pour fabriquer 100 g de produit fini']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,1624,?,1624 kj(388 kcal),37,15,"0,5","0,5",15,"1,4","0,56",C,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc', 'Rillettes pur porc']","['Point Vert', 'Pur porc']",37 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,,-4%,-2%,+3%,+18%,+60%,-4%,+12%,+12%,20,+2%,E,+2%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,Rillettes porc,"['Canned', 'métal', 'boîte', 'Carton']",['France'],"['FR 56.010.001 CE', 'Baud (Morbihan, France)']",,['France'],,,,
7,Feuilletés épinards et chèvre - Côté Table - 2x 140g,3564700460504,2 x 140 g,"['Côté Table', 'Marque Repère']",['Leclerc'],['France'],"['Pâte feuilletée 50% ', 'farines ', 'farine de blé', 'farine de fève', 'farine de blé malté', 'agent de traitement de la farine : acide ascorbique', 'eau', 'margarine ', 'huiles et graisses végétales ', 'palme', 'colza', 'eau', 'sel', 'émulsifiant : E471', 'acidifiant : acide citrique', 'colorant : caroténoïdes', 'sel', ""jaune d'œuf"", 'épinards 18,8%', 'fromage de chèvre 13,3%', 'eau', 'farine de blé', 'margarine ', 'huiles et graisses végétales ', 'palme', 'colza', 'eau', 'émulsifiant : E471', 'acidifiant : acide citrique', 'arôme', 'lactose et protéines de lait', 'ail', 'sel', 'crème', 'épices ', 'dont céleri', ""extraits d'épices"", ' Traces de poissons', 'mollusques', 'crustacés', 'moutarde', 'soja et fruits à coque', 'Les pourcentages sont exprimés sur le produit total']","['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160 - Caroténoïdes']","['Céleri', 'Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,1195,?,1195 kj(286 kcal),16,"8,7",28,2,"6,5","1,2","0,48",,"['Plats préparés', 'Frais', 'Plats préparés frais', 'Feuilleté salé', 'Friands']",,16 g,en quantité modérée,8.7 g,en quantité élevée,2 g,en faible quantité,1.2 g,en quantité modérée,-1%,,-7%,-14%,-16%,+7%,-18%,-18%,-2%,-2%,14,-17%,D,-17%,,,,,,,,Pâte feuilletée garnie d'épinards et de fromage de chèvre,"['Barquette', 'Plastique', 'Frais', 'Barquette']",,"['FR 42.127.001 CE', 'Mably (Loire, France)']",,,,,,
8,Compote allégée pomme mangue passion - Douceur du Verger - 4x 100g,3564700462782,4 x 100 g,"['Douceur du Verger', 'Marque Repère']",['Leclerc'],['France'],"['Purée de pommes 50 %', 'purée de mangues 20 %', 'cubes de mangues 20 %', 'purée de fruits de la passion 7 %', 'sucre', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,268,?,268 kj(64 kcal),"0,5","0,1",15,14,"0,5",0,0,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",,0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,-0%,,-4%,+53%,+18%,+3%,+5%,+20%,-100%,-100%,-3,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,"['pots plastiques', 'pot']",,,,,,,,
9,Pizza chorizo cuite sur pierre pâte fine - Turini - 400g,3564700495483,400 g,"['Turini', 'Marque Repère']",['Leclerc'],['France'],"['Eau ', ' farine de blé ', ' chorizo supérieur 8,7 % ', 'viande de porc ', 'origine : UE', 'gras de porc', 'piment', 'sel', 'lactose', ""épices et extraits d'épices"", 'dextrose', 'ferments', 'conservateurs : ascorbate de sodium ', ' E250', ' ', ' mozzarella 7,7 % ', ' édam 7,7 % ', ' purée de tomates double concentrée ', ' oignons rouges 6,3 % ', ' poivrons jaunes 3,1 % ', ' poivrons rouges 3,1 % ', ' huile de colza ', ' sucre ', ' levure ', ' sel ', ' amidon modifié de pomme de terre ', ' purée de piments ', 'piments', 'sel', ""correcteur d'acidité : acide acétique"", ' ', ' poudres à lever : E450', 'E500', 'amidon de blé ', ' origan ', ' ail ', ' poivre ', ' paprika ', ' basilic ', ' cumin', ' Traces de céleri', 'crustacés', 'mollusques', 'moutarde', 'œufs et poissons']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E260 - Acide acétique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,886,?,886 kj(212 kcal),8,"4,1",24,"3,5","9,5","1,1","0,44",B,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au chorizo']",,8 g,en quantité modérée,4.1 g,en quantité modérée,3.5 g,en faible quantité,1.1 g,en quantité modérée,-10%,,-11%,-18%,-5%,-9%,+8%,-6%,-20%,-20%,3,-69%,C,-69%,59.0%,18.5%,4.6%,5.4%,2.6%,9.9%,70,"Pizza à base de tomate, jambon cuit, chorizo, edam et emmental, surgelée","['Film', 'Plastique', 'Etui', 'Carton', 'Surgelé']","['Autriche', 'Allemagne']",,,,,,,
