,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,link,traceability_code,brand_owner,palm_ingredients,producer_info,origin_detail
0,Fusilli bucati corti - Garofalo - 500g,8000139910333,Pâtes alimentaires de qualité supérieure,500 g,['Enveloppe'],['Garofalo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Torsades', 'Fusilli de blé dur']",['IGP'],"['France', 'Suisse']","['100% Semoule de BLE dur de qualité supérieure', ' Peut contenir du soja']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,1489,+7%,351,-1%,1489 kj(351 kcal),+1%,1,-38%,0,-100%,70,+5%,3,+6%,14,+14%,0,-100%,0,-100%,-4,,A,,,,,,,,,,,,,,,,,,,
1,Garofalo fettucce - 500g,8000139910432,Pâtes alimentaires de qualité supérieure,500 g,['Enveloppe'],['Garofalo'],,,['France'],"['100% Semoule de BLE dur de qualité supérieure', ' Peut contenir du soja']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,1489,,351,,1489 kj(351 kcal),,1,,"0,2",,70,,3,,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,"Napoli - Garofalo - 1,5kg (3x500g)",8000139929564,,"1,5 kg (3x500g)",['Sachet'],['Garofalo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",['IGP'],['France'],[],,[],,1 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.01 g,en faible quantité,?,,351,-1%,1469 kj(351 kcal),-1%,1,-44%,"0,2",-47%,70,+0%,3,-5%,14,+13%,"0,01",-58%,"0,004",-58%,-4,,A,,C,['Leclerc'],65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,
3,Bebida de arroz - Vitariz - 1L,8000215204233,,1L,,['Vitariz'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz']","['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-009', 'Sans sucre ajouté']","['France', 'Suisse']","['eau', 'riz ', '14%', 'huile de graines de tournesol', 'algue marine Lithothamnion Calcareum ', '0,4%', 'sel marin']",,[],3,1.1 g,en faible quantité,0.1 g,en faible quantité,7 g,en quantité élevée,0.1 g,en faible quantité,232,-3%,55,-5%,232 kj(55 kcal),-5%,"1,1",-10%,"0,1",-58%,"10,5",-5%,7,+23%,"0,4",+18%,"0,1",+6%,"0,04",+6%,1,+23%,B,+23%,D,,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,,
4,Alinor Vitariz Rice Bechamel,8000215204387,,,,['Alinor'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Sauces', 'Sauces béchamel']",['Bio'],['France'],"['eau', '*farine de riz 8,5%', '*huile de graines de tournesol 8%', '*amidon de riz 2,1 amidon de maïs', 'émulsifiant: lécithine de tournesol', 'sel', 'épaississants ', 'carraghénane', 'gomme de xanthan', 'qomme de auar', 'arôme naturel', ' UM', 'T', "" Conserver à température ambiante: une fois l'emballage ouvert"", 'conserver au frigo et consommer sous 3/4 jours']",,[],4,8 g,en quantité modérée,0.8 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en quantité modérée,?,,115,-36%,481 kj(115 kcal),-36%,8,+3%,"0,8",-81%,10,-43%,"0,1",-98%,"0,5",-86%,"0,4",-76%,"0,16",-76%,2,-73%,B,-73%,B,,66.1%,14.4%,8.0%,5.6%,3.4%,2.4%,81,"['E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,
5,Boisson au riz bio et noisette - Vitariz - 1L,8000215204394,,1L,['Tetra-pak'],['Vitariz'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']","['Bio', 'Bio européen', 'Kascher', 'en:FSC', 'IT-BIO-009', 'Kascher pareve', 'en:Agricultura UE', 'en:Ecológico', 'en:Ecológico UE', 'en:Fabricado en Italia', 'en:Sin azúcares añadidos', 'en:Sin gluten', 'en:Sin lactosa', 'en:fsc-c014047']","['France', 'Israël']","['water', 'rice* ', '14%', 'hazelnut paste* ', '3%', ' sunflower seed oil*', 'sea salt', '\r* from organic farming']",['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,2.6 g,en quantité modérée,0.3 g,en faible quantité,6 g,en quantité modérée,0.1 g,en faible quantité,?,,71,+78%,297 kj(71 kcal),+77%,"2,6",+775%,"0,3",+415%,10,+19%,6,-19%,"0,7",+81%,"0,1",+310%,"0,04",+310%,14,+137%,E,+137%,,['Nizat Haduvdevan'],,,,,,,,,['Union européenne'],['Italy'],http://alinor.it/en/products/vitariz/,,,,,
6,Maccaroni - Buitoni - 500g,8000270020014,,500g,['Sack'],['Buitoni'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Macaroni de blé dur']",,"['France', 'Allemagne']",['semoule de blé dur'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.9 g,en faible quantité,0.8 g,en faible quantité,3.5 g,en faible quantité,8 g,en quantité élevée,?,,356,-1%,1490 kj(356 kcal),-1%,"1,9",+7%,"0,8",+117%,"71,8",+1%,"3,5",+1%,"11,5",-5%,8,+43378%,"3,2",+43378%,11,,D,,C,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,
7,R.de rosa,8000279934039,,,,,,,['France'],"['liquirizia menozzi de rosa peso netto 42 g net weight', 'nettogewicht poids net ingredienti liquirizia pura ingredients liquorice lakritz 8 000279 934039 reglisse ""contiene liquirizia - evitare il consumo eccessivo in caso di ipertensione"" ""contains liquorice - people suffering from hypertension should avoid excessive consumption"" ""contient de la règlisse - les personnes souffrant d\'hypertension doivent èviter toute consommation excessive"" informazioni nutrizionali / nutrition facts valori medi per 100 gr', '/average nutritional values for 100 gr', 'kcal 189 valoze energetico energy value/']",,[],,,,,,,,,,?,,189,,791 kj(189 kcal),,"0,6",,0,,50,,0,,"0,1",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,
8,Orzoro Solubile e Cacao GR. 180 - Nestlé,8000300215397,,,,['Nestlé'],,,['France'],[],,[],,,,,,,,,,?,,363,,1519 kj(363 kcal),,"2,8",,"1,7",,72,,31,,"7,5",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,
9,Maxibon Pops -  - 70g e,8000300272352,,70 g e,"['Plastique', 'surgelé']",,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la vanille']",,['France'],[],,[],,25 g,en quantité élevée,21 g,en quantité élevée,26 g,en quantité élevée,0.19 g,en faible quantité,?,,353,+70%,1477 kj(353 kcal),+69%,25,+145%,21,+213%,29,+14%,26,+21%,"3,7",+17%,"0,19",+41%,"0,076",+41%,19,+60%,E,+60%,B,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,
