,name,bar_code,eco_score,generic_name,brand,categories,labels,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,palm_ingredients,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,manufacturing,ingredients_origins,brand_owner,link
0,Cuisses de Poulet avec portion de dos - Carrefour,3560070486779,D,Cuisses de poulet avec portion de dos. Halal. origine France. Produit frais. Classe A.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Origine France,Fabriqué pour Interdis.,"['FR 26.144.011 CE', 'Grane (Drôme, France)']",['Carrefour'],['France'],['Cuisses de Poulet avec portion de dos'],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Filets de Poulet - Carrefour,3560070486861,D,Produit frais - Classe A.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Poulet origine France - Viande issue de volailles abattues selon le rite halal par sacrificateur professionnel. La traçabilité des viandes entrant dans la composition de ce produit est vérifiée par un organisme de contrôle indépendant.,Fabriqué pour Interdis,,['Carrefour'],['France'],['Filets de Poulet'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Filets de Poulet - Carrefour,3560070486892,D,Filets de poulet. Halal. Produit frais. Classe A. Origine France.,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Origine France,Fabriqué pour Interdis.,,['Carrefour'],['France'],['filets de poulet'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cuisse de dinde - Carrefour,3560070486984,D,Cuisse de dinde. Halal. Produit frais. Classe A. Origine France,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Cuisses de dinde']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Origine France,Fabriqué pour Interdis.,,['Carrefour'],['France'],['cuisse de dinde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Escalopes de dinde Halal - Carrefour,3560070487011,D,Escalopes de dinde Halal. Produit frais - Classe A,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Viande Française', 'Volaille Française', 'Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",Volaille origine France - Viande issue de volailles abattues selon le rite halal par un sacrificateur professionnel. La traçabilité des viandes entrant dans la composition de ce produit est vérifiée par un organisme de contrôle indépendant.,Fabriqué pour Interdis.,,['Carrefour'],['France'],['escalopes de dinde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Escalopes de Dinde - Carrefour,3560070487042,D,Escalopes de dinde. Halal. Produit frais. Classe A. Origine France.,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Viande Française', 'Volaille Française', 'Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",Origine France,Fabriqué pour Interdis.,,['Carrefour'],['France'],['Escalopes de dinde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Super soft white -,00405799,,,,,"['Végétarien', 'Végétalien']",,,,,['France'],"['Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' Eau Levure ', 'Levure Levure enrichie en vitamine D', ' Fibres de chicorée Farine de blé fermenté déshydraté ', 'contient Gluten', ' Sel Farine de soja Huile de palme · Huile de palme fractionnée · Farine de blé ', 'contient Gluten', '· Huile de colza Farine de blé malté ', 'contient Gluten', ' Agent de traitement de la farine : Acide ascorbique']","['Huile de palme', 'Végétalien', 'Végétarien']",?,,249,,"2,7",,"45,3",,9,,,,,,,,,,['Huile de palme'],['Gluten'],1042 kj(249 kcal),"0,8",4,"1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,
7,Dinde - Carrefour,3560070498239,D,"Dinde éviscérée sans abats, prête à cuire. Produit frais. Classe A.",['Carrefour'],"['Viandes', 'Volailles', 'Dindes']","['Viande-francaise', 'Volaille-francaise']",Origine France + logo volaille Française.,Conditionné pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chapon - Carrefour,3560070498260,D,"Chapon prêt à cuire, éviscéré sans abats. Produit frais. Classe A.",['Carrefour'],"['Viandes', 'Volailles', 'Chapons']","['Viande Française', 'Volaille Française', 'Produit certifié']",Origine France.,Conditionné pour Interdis.,['SUR LE TICKET POIDS PRIX'],['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,82.7%,9.4%,3.1%,2.6%,1.3%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chapon - Carrefour,3560070498291,D,"Chapon éviscéré sans abats, prêt à cuire. Produit frais. Classe A.",['Carrefour'],"['Viandes', 'Volailles', 'Chapons']","['Viande Française', 'Volaille Française', 'Produit certifié']",Origine France. + Logo Volaille Française.,Conditionné pour Interdis.,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,82.7%,9.4%,3.1%,2.6%,1.3%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Préparation pour crème brûlée - Carrefour,3560070554300,B,,['Carrefour'],"['Produits laitiers', 'Crèmes']",,,,"['FR 50.139.001 CE', 'Condé-sur-Vire (Manche, France)']",['Carrefour'],['France'],[],[],847,-13%,203,-23%,13,-49%,18,+304%,"2,6",+6%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,847 kj(203 kcal),"9,2",13,"0,1","0,04",['Tetra Pak'],13 g,en quantité modérée,9.2 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,-22%,-46%,+244%,+6%,+6%,13,+6%,D,+6%,,,,,,
11,Brochettes de dinde - Carrefour,3560070569274,,Brochettes de dinde crues. Halal.,['Carrefour'],,"['Viande Française', 'Volaille Française', 'Halal']",Viande issue de volailles abattues selon le rite halal par un sacrificateur professionnel.,Fabriqué pour Interdis.,,['Carrefour'],['France'],"['Ingrédients ', 'à la mise en oeuvre', ' : Viande de cuisse de dinde halal 93 %', 'poivrons', 'Viande de dinde origine France']","['Non végétalien', 'Non végétarien']",525,,125,,"5,1",,"1,8",,18,,,,,,,,,,,,525 kj(125 kcal),"1,6","0,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,
