,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,Tarte flan,3291810173887,['France'],[],[],?,238,996 kj(238 kcal),"9,9","6,2",20,"3,8",1,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mini-crackers,3770010727224,['France'],[],[],?,1,4 kj(1 kcal),15,2,45,"3,1","8,6","1,3","0,52","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mini-crackers,3770010727217,['France'],[],[],?,1,4 kj(1 kcal),14,"1,9",38,"7,4","6,7","1,3","0,52","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Colier de bonbon,3518161002162,['France'],[],[],?,367,1536 kj(367 kcal),"1,7","1,5",88,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Salade de fruit saison,3334320012595,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chewing-gum,4056489322665,['France'],[],[],?,159,665 kj(159 kcal),0,0,67,0,0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Panier de yoplait,3329770078314,['France'],[],[],?,96,402 kj(96 kcal),"2,5","1,6",14,"13,5","2,7","0,1","0,04",,['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quinoa Blanc de France - Sabarot - 500g,3111952027834,['France'],[],[],?,368,1540 kj(368 kcal),"6,1","0,7",64,1,14,,,"['Nutriscore', 'Nutriscore A']",['Sabarot'],C,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa', 'Quinoa blanc']",6.1 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,,+12%,+12%,+13%,+7%,+16%,-60%,+19%,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,,,,,,,,,,,,,,,,,,,,,
8,Jus d orange,3700490895328,['France'],[],[],?,40,167 kj(40 kcal),"0,2",0,"8,7","8,7","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Poêlée méditerranéenne,2868075017846,['France'],[],[],?,20.238000869751,85 kj(20 kcal),"0,3","0,01","3,5","2,3",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Minicrostata con créma cacao,8050847513173,['France'],[],[],?,437,1828 kj(437 kcal),20,11,59,25,"5,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Froment,3564700501504,['France'],[],[],?,411,1720 kj(411 kcal),"8,1","0,7",73,"8,5","9,8","1,1","0,44","['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PURE & CRISP,5713695140016,['France'],[],[],?,441,1845 kj(441 kcal),36,3,39,"0,9","14,4","3,26","1,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Toast apéritif au sarrasin - Hénaff - 100g,3537580500028,['France'],"['Farine de blé', 'farine de sarrasin ', '21%', ""huile d'olive"", 'gluten de blé', ""extrait de malt d'orge"", 'levure', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1675,396,1675 kj(396 kcal),"5,7",1,"73,7","0,3","15,1","1,8","0,72",['Fabriqué en France'],['Hénaff'],,100g,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],"['Finistère', 'Bretagne', 'Pouldreuzic']",['Gluten'],4,,,,,,,,,,,,,,,,,,
14,Nuit de noël pate à tartiner - Douceurs d’étoiles,3760321265119,['France'],[],[],?,586,2452 kj(586 kcal),42,11,42,39,11,,,,['Douceurs d’étoiles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jelly mango flavoured,8690547183513,['France'],[],[],?,100,418 kj(100 kcal),"0,01","0,001",21,20,"0,05","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Toast apéritif - Hénaff - 100g,3537580500011,['France'],"['Farine de froment ', 'farine de blé', 'gluten', ""huile d'olive "", '6%', ""huile d'olive vierge extra "", '5%', ""extrait de malt d'orge"", 'levure boulangère', 'sel', ' Peut contenir des traces de sésame', 'œuf', 'soja et lait', ' Farine de froment origine U', 'E', "" Huile d'olive origine U"", 'E/non U', 'E', '|']",[],1904,452,1904 kj(452 kcal),"13,4","1,9","69,8","3,6",1,"1,4","0,56",['Fabriqué en France'],['Hénaff'],,100g,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],"['Finistère', 'Bretagne', 'Pouldreuzic']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja']",4,,,,,,,,,,,,,,,,,,
17,Veino-draine,3664492000138,['France'],[],[],?,1,4 kj(1 kcal),1,"0,5","0,1","0,1",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sprite,5449000283795,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dos de cabillaud,3664335050528,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Opercule en plastique']",,,,['MSC-C-54185'],,,,,,,,,,,,,,,,,
20,Jack Daniels berry,5099873015148,['France'],[],[],?,54,226 kj(54 kcal),5,1,5,1,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Puree d’amande orange-camu camu - Perl'Amande,3267110001380,['France'],[],[],?,683,2858 kj(683 kcal),"58,9","4,8","10,7","10,7","23,4",,,,"[""Perl'Amande""]",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",58.9 g,en quantité élevée,4.8 g,en quantité modérée,10.7 g,en quantité modérée,,+8%,+8%,+9%,+7%,+26%,+117%,+7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Specialité merguez,0213367026303,['France'],[],[],?,259,1084 kj(259 kcal),22,11,"1,7","1,7",14,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Puree d’amande Figue-Lucuma - Perl'Amande,3267110001403,['France'],[],[],?,681,2849 kj(681 kcal),"58,7","4,8","10,9","10,3","23,3",,,,"[""Perl'Amande""]",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",58.7 g,en quantité élevée,4.8 g,en quantité modérée,10.3 g,en quantité modérée,,+7%,+8%,+9%,+7%,+28%,+109%,+6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gâteau fourré fraise,3564707150057,['France'],[],[],?,407,1703 kj(407 kcal),17,"1,6",58,38,"4,9","0,6","0,24","['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,,,,,,,,,,,,
25,Puree d’amande Fraise-Açaï - Perl'Amande,3267110001397,['France'],[],[],?,686,2870 kj(686 kcal),"59,3","5,2","10,6","10,4","23,5",,,,"[""Perl'Amande""]",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",59.3 g,en quantité élevée,5.2 g,en quantité élevée,10.4 g,en quantité modérée,,+8%,+8%,+10%,+16%,+25%,+111%,+7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Moutarde Herbes de Provence,3760256070956,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sunflower kernels caramel bar,8719324585019,['France'],[],[],?,541.91998291016,2267 kj(541 kcal),"34,56","3,69","40,74","27,77","14,37",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bière,3665376000008,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Patte de dattes,3760083880230,['France'],[],[],?,323,1351 kj(323 kcal),"1,3","0,4",72,30,"2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Miel collection BIO,3361779996220,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Poulet Cuit Fumé au Bois de Hetre et de Chene,2410750039751,['France'],[],[],?,166,695 kj(166 kcal),"9,5","2,8","1,1","0,8",19,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,
32,Sibio nectar de fraise,3760227110957,['France'],[],[],?,80,335 kj(80 kcal),"0,2",0,18,18,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6 Cupcakes - Les préférés d’Amandine,3760026382050,['France'],[],[],?,453,1895 kj(453 kcal),27,"5,1",49,35,"4,5","0,18","0,072",,['Les préférés d’Amandine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Saucisses aux epinards,0205183023093,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cereale a l’avoine au fraise et au lait,6973032700115,['France'],[],[],?,419,1753 kj(419 kcal),0,0,"58,1",0,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cardamome en grains,4012346618005,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Lait de coco,3270190304234,['France'],[],[],?,170,711 kj(170 kcal),17,16,"2,6","1,7","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kiwi,5600884162327,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pur jus de pomme,3770017816068,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-16']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
