,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,labels,quantity,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,generic_name,packaging,manufacturing,traceability_code,ingredients_origins,palm_ingredients,link
0,Ananas - Netto,3250391032006,['Netto'],['Netto'],['France'],"['Ananas', ""jus d'ananas"", 'acidifiant : acide citrique', 'INFORMATIONS :']",['E330 - Acide citrique'],[],?,57,238 kj(57 kcal),"0,5","0,1",13,12,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Champagne Veuve Barrier -,3250391033126,,,['France'],[],,[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tortis au surimi sauce au yaourt - Netto,3250391038138,['Netto'],['Netto'],['France'],"['Pâtes alimentaires cuites alJ\\ oeufs frais 41 % ', 'eau', 'semoule de blé dur ', 'UE', 'oeuf frais 2%* ', 'UE', 'sauce au yaourt 40% ', 'eau', 'huile de colza', 'UE', ' ', 'dont lait ', 'poivrons', ""vinaigre d'alcool"", 'jaune d oeuf', 'moutarde de Dijon ', 'eau', ""graine vinaigre d'alcool"", 'sel', 'sel', 'jus concentré de citron', 'persil', 'arnidjn', 'podifié dp sucre', 'conservateur : E202', 'épaississant : E41 5', 'estragon', ' surimi 15%', 'eau', 'chair de poisson 5%* ', 'hors UE', ""blanc d'?uf réhydraté"", 'pomme de terre', 'amidon de bléfhuile de colza', 'sucre', 'sel', 'arôme naturel ', 'dont poissons', 'crustacés', 'colorant : extrait de paprika', 'poivrons', ' * Pourcentages exprimés surle poids éventuelles de : mollusques', 'soja', 'céleri']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']","['Non végétalien', 'Non végétarien']",?,763,3192 kj(763 kcal),"11,5","1,1","15,1","1,7","4,3","1,07","0,428",,['Tortis au surimi'],,,,,,,,,,,,,"['Céleri', 'Crustacés', 'Œufs', 'Soja']",4,11.5 g,en quantité modérée,1.1 g,en faible quantité,1.7 g,en faible quantité,1.07 g,en quantité modérée,14,D,,,,,,,,,,,,,,,,
3,"Steaks extra tendre x2, le paquet - Jean Rozé",3250391041718,['Jean Rozé'],,['France'],[],,[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,
4,Petit pot de crème au café - Netto - 4,3250391052608,['Netto'],['Netto'],['France'],[],,[],?,162,678 kj(162 kcal),"7,4","4,1","21,1","16,5","4,7","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
5,Capres - Netto - 90g,3250391056057,['Netto'],['Netto'],['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90g,,,,,,,,,,,,,,
6,Persillade - saint Eloi - 50g,3250391057092,['saint Eloi'],['Intermarché'],['France'],[],,[],?,96,402 kj(96 kcal),"4,3","0,4","8,1","1,1",4,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,,,,,,
7,St. Marcellin - Netto,3250391059591,['Netto'],,['France'],[],,[],?,268,1121 kj(268 kcal),22,16,"1,5","0,5",16,"1,3","0,52",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Marcellin']",,-1%,-3%,+14%,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,22 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,13,D,['IGP'],,-1%,-5%,-36%,-2%,-2%,-4%,-4%,,,,,,,
8,Gouter choc' - Netto - 225g,3250391061792,['Netto'],['Netto'],['France'],"['Fourrage au chocolat 40% ', 'chocolat en poudre 49% ', 'sucre', 'poudre de cacao', 'matières grasses végétales ', 'colza', 'coprah', 'sucre', 'noisettes', 'émulsifiant : lécithines ', 'soja', 'arôme', 'farine de blé', 'margarine ', 'matières grasses végétales ', 'palme', 'colza', 'eau', 'sel', ""émulsifiants : mono et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'colorant : caroténoïdes', 'sucre', 'amidon de blé', 'œufs', 'poudre de lait écrémé', 'sirop de glucose de blé', 'arôme', 'sel', 'poudre à lever : carbonates de sodium']","['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160 - Caroténoïdes', 'E500 - Carbonates de sodium']","['Huile de palme', 'Non végétalien']",?,512,2142 kj(512 kcal),"26,2","8,7","62,5","34,5","5,5","0,37","0,148",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,+4%,+12%,+0%,-16%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,26.2 g,en quantité élevée,8.7 g,en quantité élevée,34.5 g,en quantité élevée,0.37 g,en quantité modérée,20,E,,225 g,+4%,-26%,+6%,-33%,-33%,-7%,-7%,Biscuits sablés avec fourrage au chocolat,"['Carton', 'Plastique']","['Filet Bleu', '1 rue Nicolas Sadi Carnot', 'ZA de Troyalach', '29170 Saint-Evarzec', 'France']",,,,
9,Confiture Extra d'abricots - Netto - 340g,3250391073498,['Netto'],['Netto'],['France'],"['Sirop de glucose-fructose', 'abricots', 'sucre', 'gélifiant : pectines', 'acidifiant : acide citrique']","['E440 - Pectines', 'E330 - Acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,244,1021 kj(244 kcal),"< 0,5","< 0,1","60,5",52,"0,5","0,01","0,004",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,+11%,+121%,+14%,-0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,4,0.5 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.01 g,en faible quantité,13,D,['Point Vert'],340 g,+11%,+134%,+3%,-55%,-55%,+45%,+45%,,"['Bocal', 'Verre']",,,,,
