,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,manufacturing,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,markets,allergens,traceability_code,link,additives,generic_name,palm_ingredients
0,Bonbonnière verre 2L vintage,3103220098936,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Christmas loaf cake,5060301888528,['France'],[],[],?,336,"8,8","63,1","4,4",1406 kj(336 kcal),"3,7","51,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Huile d'Olive Vierge Extra extraite à froid AOP,3505130050644,['France'],[],[],?,824,"91,5",0,0,3448 kj(824 kcal),"12,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Candy zen,3770009053044,['France'],[],[],?,337,1,"81,9",0,1410 kj(337 kcal),"0,8","54,7","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Plenny bar chocolat,8720165350025,['France'],[],[],?,400,17,41,20,1674 kj(400 kcal),"3,1","6,7","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chocolat noir sans sucre fabrication artisanale,3344690098037,['France'],[],[],?,490,"36,1","9,2","7,3",2050 kj(490 kcal),"21,8","9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cannabis Tea Mint,0661094266767,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Creme Pistacchio,8013999067208,['France'],[],[],?,570,39,48,9,2385 kj(570 kcal),"8,4",42,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Agneau poivron grillé et thym en terrine,3382564549629,['France'],[],[],?,160,11,"4,8","9,4",669 kj(160 kcal),"5,8","0,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4005967511114,4005967511114,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
