,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
0,Petits pois carottes - Carrefour - 400g,5400101117273,B,Petits pois extra-fins et carottes très pauvres en sel.,400 g,['boîte'],['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",Ces Petits pois et ces carottes sont cultivés en Union Européenne et fabriqués en France.,Fabriqué en France par EMB 59009B pour Interdis,"['EMB 59009B', ""Villeneuve-d'Ascq (Nord, France)""]",['Carrefour'],"['Belgique', 'France']","['Légumes ', 'carottes 33%', 'petits pois 32%', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.8 g,en faible quantité,0.2 g,en faible quantité,1.2 g,en faible quantité,0.03 g,en faible quantité,?,,50,-14%,209 kj(50 kcal),-13%,"0,8",+62%,"0,2",+59%,5,-38%,"1,2",-65%,"3,4",+10%,"0,03",-95%,"0,012",-95%,-7,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,,,,,
1,Olives noires - Metro Chef,3439495111927,B,,,,['Metro Chef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",,,,,['France'],[],[],,14 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,134,-49%,561 kj(134 kcal),-49%,14,-45%,"2,2",-35%,0,-100%,0,-100%,"0,5",-66%,"1,5",-64%,"0,6",-64%,9,-30%,C,-30%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,
2,B! Fruit de la passion,5601151973394,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,"6,2",,"5,2",,0,,"0,01",,"0,004",,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
3,Cuisses de canard cuites,3432770045948,D,,,,,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,,,,['France'],[],[],,28 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0.4 g,en quantité modérée,?,,352,+48%,1473 kj(352 kcal),+48%,28,+70%,13,+144%,0,-100%,0,-100%,25,+17%,"0,4",-71%,"0,16",-71%,15,+42%,D,+42%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,
4,Massepain - pâte d'amande -  - 250g,7613379180957,,,250 g,,,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,467,,1954 kj(467 kcal),,23,,"2,3",,55,,49,,9,,0,,0,,,,,,,,,,,,,,,,,,,,
5,Pains au lait barre de chocolat - Brioches Pasquier,3256540002111,C,Pains au lait barre de chocolat,,['Plastique'],['Brioches Pasquier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,,,,['France'],[],[],,18 g,en quantité modérée,8.3 g,en quantité élevée,22 g,en quantité élevée,0.84 g,en quantité modérée,?,,409,+16%,1711 kj(409 kcal),+16%,18,+58%,"8,3",+98%,53,+0%,22,+65%,"8,1",-5%,"0,84",-18%,"0,336",-18%,20,+50%,E,+50%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,,,,,,
6,Pate aucanard,3529358609187,,,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de canard']",,,,,['France'],[],[],,25 g,en quantité élevée,9 g,en quantité élevée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,298,-4%,1247 kj(298 kcal),-4%,25,-8%,9,-11%,"1,5",-21%,"0,7",+13%,15,+14%,"1,4",-9%,"0,56",-9%,17,-6%,D,-6%,,,,,,,,['Bio'],,,,,,,
7,Sari leblebi,8690804350795,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,324,,1356 kj(324 kcal),,"3,4",,"0,6",,48,,2,,"19,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
8,Dani'Pom Pomme - Fruits rouges - Danival,3431590014479,B,,,,['Danival'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,,,['France'],"['Purée de pommes françaises ', '87,2%', ' purée de fraises ', '4,3%', 'purée de framboises* 4', '3%', 'purée de griottes*2', '1%', 'purée de cassis 2', ""1%\r *100% des ingrédients d'origine agricole ont été obtenus selon les règles de production biologique"", ' \r **Contient des sucres naturellement présents']",[],1,0 g,en faible quantité,0 g,en faible quantité,9.9 g,en quantité modérée,0 g,en faible quantité,?,,53,-18%,222 kj(53 kcal),-19%,0,-100%,0,-100%,"11,5",-20%,"9,9",-24%,"0,5",+33%,0,-100%,0,-100%,-5,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['Sans sucre ajouté'],,,,,,,
9,Financiers X 5,2030500409421,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,466,,1950 kj(466 kcal),,27,,"13,3",,44,,"34,6",,9,,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,
10,Wakamé,3336950000072,E,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', 'Algues wakame']",,,,,['France'],[],[],,,,0 g,en faible quantité,0 g,en faible quantité,,,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,
11,PANETTONE CON GOCCE DI CIOCCOLATO FONDENTE,8002331010491,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,16.3 g,en quantité modérée,10.6 g,en quantité élevée,24 g,en quantité élevée,0.3 g,en quantité modérée,?,,391,+5%,1636 kj(391 kcal),+5%,"16,3",+9%,"10,6",+18%,"51,4",-0%,24,-7%,"7,6",+11%,"0,3",-32%,"0,12",-32%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,
12,"Foie gras de canard entier, Champagne et duo de poivres - Maison Montfort - 160g",3104544071377,A,,160g,['Bocal verre'],['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,,,['France'],"['foie gras de canard ', 'origine France', 'Champagne 2%', 'sel', 'poivre de Malabar 0,2%', ' sucre', 'poivre blanc 0,1%', 'gingembre', 'cardamome', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",3,56 g,en quantité élevée,25 g,en quantité élevée,1.5 g,en faible quantité,1.2 g,en quantité modérée,?,,542,+6%,2268 kj(542 kcal),+6%,56,+6%,25,+11%,"2,3",-1%,"1,5",+11%,7,+1%,"1,2",-1%,"0,48",-1%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['IGP Sud-Ouest'],"['France', 'Maubourguet']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
13,Mousse butternut & fourme Rochefort - 100g,3770009413183,,,100 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,140,,586 kj(140 kcal),,"15,1",,"3,8",,"2,7",,"1,5",,"4,1",,"0,7",,"0,28",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
14,Beurre demi-sel - Ferme du Marais - 200g,3760115150027,D,,200 g,,['Ferme du Marais'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,,,['Auchan'],['France'],"['Crème pasteurisée de lait de vache 97 % \rsel ', '3% max', '\rferments lactiques 3%']",[],,82 g,en quantité élevée,60 g,en quantité élevée,0.4 g,en faible quantité,,,?,,742,+3%,3105 kj(742 kcal),+4%,82,+3%,60,+11%,"0,4",-46%,"0,4",-35%,"0,6",-12%,,,,,,,,,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,['France'],['Lait'],,,
15,Candy lace fraise,8716100034068,E,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,['France'],[],[],,3 g,en quantité modérée,1 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,?,,363,+2%,1519 kj(363 kcal),+1%,3,+61%,1,-6%,79,-5%,52,-10%,3,+42%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
