,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
0,Sunflower oil - Metro Chef - 1000ml,4337182010326,D,1000 ml,"['Bottle', 'bouteille']",['Metro Chef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['Produits destinés aux professionnels'],"['France', 'Suisse']",[],[],92 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,827,-6%,3460 kj(827 kcal),-5%,92,-5%,10,-6%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,,
1,Radish chips - Muji,4550002874438,,,,['Muji'],,,['France'],[],[],,,,,,,,,?,,483,,2021 kj(483 kcal),,17,,"8,5",,73,,46,,4,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,
2,"Salatmayonnaise Rjaba , 67% Fettr",4600528347838,,,,,,,['France'],[],[],,,,,,,,,?,,615,,2573 kj(615 kcal),,67,,8,,"2,5",,"2,3",,"0,4",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
3,Semitscki - NoName,4607054451718,,,,['NoName'],,,['France'],[],[],,,,,,,,,?,,695,,2908 kj(695 kcal),,"60,7",,"7,6",,31,,31,,"2,8",,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,
4,Biscuits WaNt want,4710144001110,,,,['WANT WANT'],,,['France'],"['Singapore 238875 REF', ' 135951 : RIZ 59,6%', 'HUILE DE PALME', 'SUCRE', 'AMIDON GLUCOSE', 'SAUCESOJA EN POUDRE BLE', 'MALT00EkTRfN9 SEL', 'GOUT ', 'E621']",['Huile de palme'],,,,,,,,,?,,497,,2079 kj(497 kcal),,"21,7",,"9,5",,"71,2",,"9,1",,"4,3",,"1,9",,"0,76",,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Huile de palme'],['Gluten'],4,,,,,,,,
5,Pousse de bambou au piment,4710373101100,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pousses', 'Pousses de bambou']",['Sans conservateurs'],['France'],[],[],26.2 g,en quantité élevée,4.1 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,268,+893%,1121 kj(268 kcal),+938%,"26,2",+6450%,"4,1",+6556%,6,+146%,0,-100%,"2,1",+43%,"1,1",+310%,"0,44",+310%,11,+2721%,D,+2721%,87.9%,0.0%,0.0%,4.8%,5.7%,1.5%,80,,,,,,,,,,,,
6,Nice choice- crips broad bean - 160g,4711202220726,,160 g,"['Plastic', 'Bag']",['Nice Choice'],"['Snacks', 'Snacks salés', 'en:Roasted broad beans']",,['France'],[],[],6 g,en quantité modérée,3 g,en quantité modérée,16 g,en quantité élevée,10 g,en quantité élevée,?,,50,-89%,209 kj(50 kcal),-89%,6,-75%,3,-29%,16,-66%,16,+389%,6,-29%,10,+549%,4,+549%,15,+23%,D,+23%,,,,,,,,,,,,,,,,,,,
7,Sweet cured prune - Shun Tai,4711288025307,,,,['Shun Tai'],,['Fabriqué en France'],['France'],"['pruneau', 'sucre', 'sel', 'acide benzoïque', ' Poids net : 40g Produit de Taiwan']",[],,,,,,,,,?,,212,,887 kj(212 kcal),,0,,0,,47,,"7,1",,6,,"8,85",,"3,54",,,,,,,,,,,,,"['E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,
8,Mochi roll à la cacahuète - Yuki & Love - 300g,4713072174956,,300 g,"['Carton', 'Plastique']",['Yuki & Love'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Mochi']",,['France'],"['Maltose', 'pâte de cacahuètes 22 % ', 'cacahuètes', 'sucre', 'huile de soja', 'sel', 'arôme', 'riz gluant en poudre', 'sucre', 'pâte crémeuse non laitière 8 % [crème végétale ', 'huile de palme', 'sucre', 'huile de colza', 'huile de noix de coco', 'arôme', 'émulsifiant ', 'E471', 'sucre', 'arôme lait', 'émulsifiant ', 'E471', 'pomme de terre en poudre', 'eau', 'fructose', 'conservateur ', 'E202', 'épaississant ', 'E415']",['Huile de palme'],11.8 g,en quantité modérée,5.1 g,en quantité élevée,30.3 g,en quantité élevée,0.14 g,en faible quantité,?,,400,+32%,1674 kj(400 kcal),+30%,"11,8",+194%,"5,1",+262%,"68,3",+4%,"30,3",+2%,5,+97%,"0,14",-22%,"0,056",-22%,15,+47%,D,+47%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",['Huile de palme'],"['Arachides', 'Soja']",4,Mochi long à la cacahuète - Mochi Roll Peanut,['Taïwan'],,,,,,
9,Perle de la mer - Vici,4770190115995,,,,['Vici'],,"['Pêche durable', 'Pêche durable MSC']",['France'],[],[],,,,,,,,,?,,105,,439 kj(105 kcal),,"1,9",,"0,2",,15,,"4,2",,"6,9",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,['MSC-C-53520'],,,,,
