,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,link,markets,palm_ingredients,brand_owner
0,Cuciole de Cateri Vin Blanc - Biscuiterie Salvatori,3594800001116,['Biscuiterie Salvatori'],['France'],"['Farine de BLE ', 'GLUTEN', 'de traltetnent de la farine: acide_ascorbique', 'xylanase ', 'BLF', 'alpha-amylase enzytnes ', 'BLE', 'vin blanc ', '18,1%', ' ', 'SULFITES', 'huile dtARACHIDE', 'sucre', 'poudre levante ', 'diphosphate disodique E450i', 'carbonate acide de sodlunz E500ii', 'farine de BLÉ ']","['E1100 - Amylases', 'E450i - Pyrophosphate de sodium acide', 'E502 - Carbonates']","['Gluten', 'Anhydride sulfureux et sulfites']",[],4,?,488,2042 kj(488 kcal),22,"3,7",66,24,"5,8","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pruneau d'Agen mi cuits  sans conservat. - Maison Roucadil,3595120000797,['Maison Roucadil'],['France'],[],,,[],,?,232,971 kj(232 kcal),"0,5","0,1",53,35,"1,6",,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0.5 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,,-4%,-4%,+39%,-12%,-1%,-4%,-14%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,,,,,,,,,,,,
2,Solens Bonbons Saveur Eucalyptus,3595890128639,['Solens'],['France'],[],,,[],,?,234,979 kj(234 kcal),0,0,97,"0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Solens Gommes Eucalyptus Menthol 100G (throat),3595899750732,,['France'],[],,,[],,?,205,858 kj(205 kcal),0,0,"75,5","0,2","5,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,La charette beurre doux - Loyez Woessen - 250g,3596580002109,['Loyez Woessen'],['France'],"['83 g grasscS 57 g fcs Bras saturés 0,9 g 3 596580 0021 0,05 R Invédient : ', 'cc - lactiques', "" Elzboté à de le UE et conditionné en Frpnce Matieres craeg-cs : 82 A con%crytcr a 'CC A consommcf dc k : "", ""'Otit sut le côté""]",['E270 - Acide lactique'],['Lait'],['Non végétalien'],,?,753,3151 kj(753 kcal),83,57,"0,9","0,9","0,7","0,05","0,02",,['Matières grasses'],83 g,en quantité élevée,57 g,en quantité élevée,0.9 g,en faible quantité,,-6%,-6%,-6%,+150%,+302%,+456%,+295%,,,,,,,,250 g,0.05 g,en faible quantité,-74%,-74%,19,+68%,E,+68%,,,,,,,,,,
5,Palet fromager emmental - Père Dodu - 150g - X6,3596690267047,['Père Dodu'],['France'],"['Préparation fromagère 52% ', 'fromages 21,8%', 'eau', 'emmental 9,3%', 'beurre', 'amidons modifiés', 'protéines de lait', 'sels de fonte : phosphate de sodium-phosphate de calcium-diphosphate-polyphosphate', 'lactosérum', 'gélifiant : alginate de sodium', 'farine de blé', 'eau', 'lanières de pomme de terre ', 'pomme de terre', 'amidon de pomme de terre', ' 5,2%', 'amidon de blé et de pomme de terre', 'sel', ""poudre de blanc d'œuf"", 'dextrose', 'levure', 'stabilisant : méthylcellulose', 'conservateur: sorbate de potassium', 'agents levants: diphosphate et carbonate de sodium', ' Huile de tournesol']","['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E461 - Méthylcellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,1268,304,1268 kj(304 kcal),18,"9,2",21,"1,9",13,2,"0,8",,"['Produits panés', 'Palets fromagers']",18 g,en quantité modérée,9.2 g,en quantité élevée,1.9 g,en faible quantité,+41%,+42%,+42%,+70%,+326%,+35%,+28%,+2%,,,,,,,,150 g - X6,2 g,en quantité élevée,+77%,+77%,17,+314%,D,+314%,Fromage fondu à l'emmental (52%) enrobé d'une chapelure aux lanières de pomme de terre frite (48%).,"['Carton', 'Etui']","['Sans colorants', 'Sans exhausteur de goût', 'Sans huile de palme', 'Nutriscore', 'Nutriscore D']",['Union européenne'],['Galliance Elaborés BP24 LA VRAIE CROIX 56250 ELVEN'],"['FR 56.261.001 CE', 'Vraie-Croix (Morbihan, France)']",https://www.peredodu.fr/les-panes/les-produits-sans-viande/les-palets-fromagers/,,,
6,Grignottes de poulet croustillante - 250g,3596690762054,,['France'],[],,,[],,?,253,1059 kj(253 kcal),15,"3,2",11,"0,9",18,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,,,,,,,
7,Bonbons tendres fruits - Pouce,3596710131938,"['Pouce', 'Auchan']",['France'],"['sirop de glucose', 'sucre', 'graisse végétale ', 'palme', ""émulsifiants : mono et di-glycérides d'acides gras "", 'origine végétale', 'acidifiant : acide citrique', 'gélatine de porc', 'arômes', 'jus de sureau concentré ', ' colorants :  charbon végétale médicinal', 'luteine', 'extrait de paprika', ' Traces éventuelles de lait et de fruits à coque']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E428 - Gélatine', 'E161b - Lutéine', 'E160c - Extrait de paprika']",,"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,396,1657 kj(396 kcal),"4,5","2,4",88,71,5,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],['Huile de palme'],
8,Auchan Tomato Ketchup - 560g,3596710174485,['Auchan'],['France'],[],,,[],,?,89,372 kj(89 kcal),"0,1",0,20,"16,9","1,1",2,"0,8",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",0.1 g,en faible quantité,0 g,en faible quantité,16.9 g,en quantité élevée,,-16%,-15%,-59%,-100%,-12%,-14%,-15%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,560 g,2 g,en quantité élevée,+1%,+1%,12,-1%,D,-1%,,,,,,,,['Auchan'],,
9,Petit Pont l'evêque AOP - Auchan - 240g,3596710217045,['Auchan'],['France'],"['Lait de vache pasteurisé', 'sel', 'feiments', 'présure', 'Lait collecté en France', ""dans la zone d'appellation"", ' CONSEIL DE Sortir ce fromage du réfrigérateur 1/2 heure avant dégustation']",,,['Non végétalien'],,?,285,1192 kj(285 kcal),23,15,"0,5","0,5",19,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', ""Pont-l'évêque""]",23 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,,-4%,-4%,-2%,-6%,+26%,+36%,-11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,240 g,1.6 g,en quantité élevée,+0%,+0%,15,+2%,D,+2%,,,['Fabriqué en France'],,,"['FR 14.371.001 CE', 'Livarot (Calvados, France)']",,['Auchan'],,
