,name,bar_code,eco_score,quantity,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,brand,allergens,nova_score,ingredients_origins,manufacturing,additives,markets,link,palm_ingredients,producer_info,brand_owner
0,Orange ultra frais pressé -  - 1L,3770001414010,D,1 L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",['Triman'],"['EMB 84007', 'Avignon (Vaucluse, France)']",['France'],[],[],0.6 g,en faible quantité,0 g,en faible quantité,8.5 g,en quantité élevée,0 g,en faible quantité,?,,48,+12%,201 kj(48 kcal),+10%,"0,6",+241%,0,-100%,10,+3%,"8,5",-7%,"0,5",-21%,0,-100%,0,-100%,3,+1%,C,+1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
1,Soupe de poissons -  - 800g,3770001652016,E,800 g,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']","['Sans colorants', 'Sans conservateurs']","['FR 85.166.011 CE', 'Olonne-sur-Mer (Vendée, France)']",['France'],[],[],1.5 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en faible quantité,0.6 g,en quantité modérée,?,,45,-6%,188 kj(45 kcal),-6%,"1,5",-21%,"0,2",-55%,"1,7",-7%,"1,3",+100%,"5,5",+6%,"0,6",-32%,"0,24",-32%,-1,-215%,A,-215%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,
2,"Fromage au lait cru Ecume de Wimereux LES FRERES BERNARD, 30%MG - 200g",3770001691046,C,200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache']",,"['FR 62.889.030 CE', 'Wierre-Effroy (Pas-de-Calais, France)']",['France'],"['lait de vache cu ', 'origine France', 'crème', 'sel', 'présure', 'fleur de surface']",['Non végétalien'],24.4 g,en quantité élevée,17.4 g,en quantité élevée,0.1 g,en faible quantité,1.17 g,en quantité modérée,?,,275,-19%,1151 kj(275 kcal),-18%,"24,39",-10%,"17,4",-6%,"3,3",+326%,"0,1",-77%,"10,66",-52%,"1,17",-16%,"0,468",-16%,13,-9%,D,-9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Fromage de vache au lait cru,['Frais'],['Les Freres Bernard'],['Lait'],3,,,,,,,,
3,Gingembre Citron - Authentic,3770001850108,,,"['Boissons', 'Boissons avec sucre ajouté']",['Bio'],,['France'],"['selon le National tftdtents : Eau', ""jus de gingembre' "", '6%', 'sucre • ', "" de dont 2% de citron vert'"", ' ilngrédtents biologique', "" Conseils d'utilisation servir fri avant d'ouvrir"", ' Avant ouverture', 'à consetvel Oe la chaleur et de id lumière', ' Après ouverture nmerde preférence avant le voir sur la capsule']",[],0 g,en faible quantité,0 g,en faible quantité,5.3 g,en quantité modérée,0.03 g,en faible quantité,?,,21.5,-75%,90 kj(21 kcal),-76%,0,-100%,0,-100%,"5,3",-73%,"5,3",-71%,0,-100%,"0,03",-20%,"0,012",-20%,7,-41%,D,-41%,,,,,,,,,,['Authentic'],,,,,,,,,,
4,Sauce Tomate - Les Toques Blanches Du Monde - 180g,3770002165249,A,180 g,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",['Point Vert'],,['France'],"['Tomates italiennes 80 %', ""huile d'olive vierge extra 6 %"", 'oignons', 'basilic 5 %', 'sucre', 'sel', 'ail']",[],6 g,en quantité modérée,1.2 g,en faible quantité,6.6 g,en quantité modérée,2.2 g,en quantité élevée,?,,102,+57%,427 kj(102 kcal),+61%,6,+100%,"1,2",+176%,"6,6",+8%,"6,6",+33%,"1,4",-11%,"2,2",+157%,"0,88",+157%,10,+4229%,C,+4229%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,"['Verre', 'Bocal', 'métal']",['Les Toques Blanches Du Monde'],,3,['Italie'],['Italie'],,,,,,
5,Risotto Aux Cepes - Les Toques Blanches - 250g,3770002165294,B,250 g,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons', 'Risottos aux cèpes']",,,['France'],"['Riz Carnaroli ', '93%', 'cèpes ', 'Boletus Edulis', ' ', '2%', 'sel', 'oignon', 'amidon', 'maltodextrine de pomme de terre', 'extrait de levure', 'extrait de carotte', 'huile de tournesol', 'extrait de basilic', 'extrait de persil', 'extrait de romarin', 'ail', ' ', '*produits déshydratés']",[],2.9 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,0.93 g,en quantité modérée,?,,353,+30%,1477 kj(353 kcal),+31%,"2,9",+8%,1,-15%,74,+44%,1,-12%,7,+10%,"0,93",+8%,"0,372",+8%,4,+4%,C,+4%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,Préparation pour risotto aux cèpes et riz Carnaroli,"['Plastique', 'Carton']",['Les Toques Blanches'],,3,,['Italie'],['E392 - Extrait de romarin'],,,,,
6,Sardines à l'huile d'olive - Les Toques Blanches Du Monde - 12g,3770002165539,D,12 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,['France'],"['Sardines ', '70%', 'huile ', '29,5%', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",29 g,en quantité élevée,5.6 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,339,+37%,1418 kj(339 kcal),+38%,29,+64%,"5,6",+46%,"0,5",+56%,"0,5",+138%,20,-6%,"0,8",-12%,"0,32",-12%,12,+113%,D,+113%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,['Les Toques Blanches Du Monde'],['Poisson'],3,,,,,,,,
7,Granola maison - marlette - 300,3770002297070,,300,['Granola maison'],"['Bio', 'Fabriqué en France']",['FR BIO.09'],['France'],"['Oats flakes*', 'sunflower*', 'pumpkin*', 'brown flax*', 'dried fruits ', '13 %', '* ', 'walnuts*', 'hgzelnut*', 'puffed rice* sea salt from Ile de Ré', ' ', ' *Certified organic', ' May content traces of sesame']",[],21 g,en quantité élevée,2.6 g,en quantité modérée,1.4 g,en faible quantité,0.15 g,en faible quantité,?,,413,,1728 kj(413 kcal),,21,,"2,6",,"35,4",,"1,4",,"15,8",,"0,15",,"0,06",,-3,,A,,,,,,,,,,['Sachet'],['Marlette'],['Fruits à coque'],,,"[""l'houmeau""]",,,,,,
8,Préparation Pour Cake Au Rapadura Sans Gluten - Marlette - 11.60oz,3770002297216,,11.60 oz,,"['Bio', 'Sans gluten']",,['France'],"['White rice flour*', 'whole Rapadura cane sugar* ', '24%', 'b ond cane sugar*', 'arrowroot*', 'tapioca starch*', 'baking powder* tartriç acid', 'corn flour*', 'sodium bicarbonate', 'xanthan gum', 'sea salt rom Ile de Ré ', '*Certified organic', ' Guaranteed gluten free']",[],,,,,,,,,?,,361,,1510 kj(361 kcal),,1,,"0,2",,84,,47,,"2,8",,"0,35",,"0,14",,,,,,,,,,,,,,,['Marlette'],,4,,,"['E500ii - Carbonate acide de sodium', 'E415 - Gomme xanthane']",,,,,
9,Préparation Bio Pour Biscuits Gingerman - Marlette - 320g,3770002297391,,320 g,,['Bio'],,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"0,9",,"0,2",,77,,31,,"7,7",,"0,26",,"0,104",,,,,,,,,,,,,,,['Marlette'],,,,,,,,,,
