,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
0,Turon de coulant de chocolat - Lacasa,8410740908245,E,['Lacasa'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón de chocolat']",['France'],[],[],26.9 g,en quantité élevée,10.4 g,en quantité élevée,37.9 g,en quantité élevée,0.2 g,en faible quantité,?,,466,-15%,1950 kj(466 kcal),-15%,"26,9",-25%,"10,4",-26%,48,+7%,"37,9",-3%,"5,5",-37%,"0,2",+60%,"0,08",+60%,23,-1%,E,-1%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,
1,Original - Rockstar,8410409016502,,['Rockstar'],"['Boissons', 'Boissons énergisantes']","['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0.16 g,en quantité modérée,?,,51,+42%,213 kj(51 kcal),+43%,"0,5",+652%,"0,1",+333%,12,+50%,12,+65%,"0,5",+245%,"0,16",+39%,"0,064",+39%,16,+48%,E,+48%,,,,,,,,,,,,,,,,,,,,,,
2,9 kat tat,8690766085735,,,,['France'],[],[],,,,,,,,,?,,536,,2243 kj(536 kcal),,29,,26,,62,,30,,"5,3",,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Haricot Vert - DJSMM SAS - 350g,3760185370219,,['DJSMM SAS'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,350 g,['Kenya'],['Carrefour'],,,,,,,,,,,,
4,Rillettes de canard au foie gras - Germaine de Montpezat,3760265580002,D,['Germaine de Montpezat'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],34 g,en quantité élevée,11.5 g,en quantité élevée,0.2 g,en faible quantité,1.3 g,en quantité modérée,?,,360,-10%,1506 kj(360 kcal),-10%,34,-7%,"11,5",-8%,"0,8",+38%,"0,2",-20%,"12,5",-23%,"1,3",-5%,"0,52",-5%,19,-2%,E,-2%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
5,Sauce tomates cerises,5425016280515,,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,0,,0,,"5,5",,5,,"0,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Filets de poulet rotis,0211791033393,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['France'],[],[],5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,?,,141,-3%,590 kj(141 kcal),-3%,"5,5",+2%,"1,4",+3%,"0,6",+4%,"0,6",+39%,"22,3",-6%,"1,26",-6%,"0,504",-6%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
7,Pâté de viande,3519530011983,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,21,,"7,6",,"0,7",,"0,4",,19,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Huile de tournesol,13656560,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],[],[],100 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+3%,100,+3%,11,+4%,"0,5",+112513%,"0,5",+53491%,"0,5",+102993%,"0,01",+21222%,"0,004",+21222%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,,,,,
9,Le Moelleux Haché au bœuf,3760091933720,,,,['France'],[],[],,,,,,,,,?,,227,,950 kj(227 kcal),,17,,"7,7",,"2,5",,1,,16,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shaker duo framboise -,,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",['France'],"['60,6% BCAA acides aminés ramifiés ', '30,3% de L-leucine', '15,15% de L-valine', '15,15% de L-isoleucine', '15,15% de bêta-alanine', ""régulateur d'acidité - acide citrique"", ' arômes', 'colorant - E 150d ', 'pour le goût du cola xplosion', ' 2,27% de caféine', 'édulcorants - cyclamates ', 'Z', 'acésulfame K', 'sucralose', ' émulsifiant - lécithine ', 'de soja', ' 0,026% de chlorhydrate de pyridoxine - vit', ' B6', 'épaississant - gomme arabique', ' des pigments: carotènes ', 'A', 'la cochenille ', 'B', 'la riboflavine ', 'C', 'E 150c ', 'D', 'E 150d ', 'E', 'E 133 ', 'F', 'le brevet V bleu ', 'G', ""de l'indigo "", 'H', 'les chlorophylles et chlorophylline ', 'I', 'la curcumine ', 'J', 'les anthocyanes ', 'K', ""l'extrait de poivre "", 'L', 'la bétanine ', 'M', 'le carbone végétal ', 'N', ' ', 'A', ' - ', 'Z', ' - Selon le goût du produit', 'le symbole ', 'AZ', "" de l'ingrédient utilisé est à côté de la date de durabilité minimale "", 'de préférence avant']","['Non végétalien', 'Non végétarien']",14 g,en quantité modérée,9.5 g,en quantité élevée,21 g,en quantité élevée,0.25 g,en faible quantité,1450,,-23%360,-23%,-22%1500 kj(360 kcal),-22%,"+52%9,22",+52%,"+147%3,85",+147%,+36%25,+36%,"+94%10,8",+94%,"-92%37,5",-92%,"-53%0,527",-53%,"-53%0,211",-53%,"+107%8,2",+107%,+107%D,+107%,,,,,,,,,,,"['E330 - Acide citrique', ""E150d - Caramel au sulfite d'ammonium"", 'E952 - Acide cyclamique et ses sels', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E160 - Caroténoïdes', 'E101i - Riboflavine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E140 - Chlorophylles et Chlorophyllines', 'E100 - Curcumine', 'E163 - Anthocyanes', 'E162 - Rouge de betterave']",['Soja'],4,,,,,,,,,
11,Chipolatas supérieures de volaille,3345100007625,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],11.2 g,en quantité modérée,3 g,en quantité modérée,0.7 g,en faible quantité,1.7 g,en quantité élevée,?,,180,-25%,753 kj(180 kcal),-25%,"11,2",-41%,3,-58%,3,+156%,"0,7",+11%,"15,8",+3%,"1,7",-6%,"0,68",-6%,11,-34%,D,-34%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,
12,Jus Pomme Coing,3760131162011,,,,['France'],[],[],,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,12,,11,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Café moulu velours noir,8711000523513,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fraises equetees - Metro,3439496400655,,['Metro'],,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,1,,"0,5",,61,,6,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kwass,4038745601011,,,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,"0,5",,"0,1",,"9,2",,"7,9",,"0,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Morning Round Muesli,0664164100251,,,,['France'],[],[],,,,,,,,,?,,253.33333333333,,1060 kj(253 kcal),,"2,667",,"0,267",,"49,333",,"10,667",,8,,"0,633",,"0,253",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tocaccine,26017419,,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"5,9",,"0,9",,43,,"2,4",,"9,4",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ail semoule,3250392569716,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Ail et dérivés', 'Légumes séchés moulus', 'Ail sec broyé']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,25.9%,0.0%,39.7%,11.5%,22.9%,0.0%,95,,,,,,,,,,,,,,,
19,Gulaschsuppe - Knorr - 500g,9000275633812,,['Knorr'],"['Plats préparés', 'Soupes']","['Autriche', 'France', 'Allemagne']",[],[],3.2 g,en quantité modérée,2.3 g,en quantité modérée,2 g,en faible quantité,3.3 g,en quantité élevée,?,,72,+26%,301 kj(72 kcal),+27%,"3,2",+65%,"2,3",+281%,"6,4",+11%,2,+16%,"3,9",+77%,"3,3",+282%,"1,32",+282%,12,+632%,D,+632%,,,,,,,,500g,,,,,,"['Dose', 'Produkt', 'Dose(n)']",,,,,,,,
20,Xxl poulet,4099200405278,,,,['France'],[],[],,,,,,,,,?,,151,,632 kj(151 kcal),,10,,2,,15,,"0,5",,18,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Délice de chèvre aux olives noires,3498976220381,,,,['France'],[],[],,,,,,,,,?,,166,,695 kj(166 kcal),,13,,"4,1",,"6,7",,"2,5",,"2,5",,2,,"0,8",,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
