,name,bar_code,brand,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,manufacturing,palm_ingredients,link,brand_owner,origin_detail,producer_info
0,Assortiment découverte - Henri Raffin,3375220501673,['Henri Raffin'],"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",['France'],[],[],?,384,1607 kj(384 kcal),"29,5",11,4,2,26,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Les mini buchettes tomates herbes de provence - Galibier - 130g,3375220502380,['Galibier'],"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",['France'],"['Viande de porc ', '195 g mis en œuvre pour 100 de produit fini', 'sucres ', 'LACTOSE', 'dextrose', 'saccharose', 'sel', 'tomates 1,2%', 'épices', 'plantes aromatiques dont Herbes de Provence 0,2%', 'arômes ', 'dont LAIT', ' conservateurs : nitrate de potassium nitrite de sodium', 'ferments']","['Non végétalien', 'Non végétarien']",?,504,2109 kj(504 kcal),"38,5","13,5",11,"9,5",28,4,"1,6",D,Saucisson sec aux tomates et herbes de Provence,130 g,['Plastique'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['en:gluten-free', 'Point Vert', 'Sans colorants']",['Union européenne'],['Lait'],4,38.5 g,en quantité élevée,13.5 g,en quantité élevée,9.5 g,en quantité modérée,4 g,en quantité élevée,,+25%,+25%,+22%,+10%,+393%,+593%,+1%,-14%,-14%,28,+17%,E,+17%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,
2,Compote fraiche - Biochamps,3375610000458,['Biochamps'],"['FR 09.167.001 CE', 'Lézat-sur-Lèze (Ariège, France)']",['France'],[],[],?,105,439 kj(105 kcal),"0,6","0,1",25,21,0,"0,025","0,01",B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes châtaigne']",['Bio'],,,,0.6 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0.025 g,en faible quantité,,-3%,-4%,+41%,-17%,+2%,+4%,-100%,+11%,+11%,-5,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,
3,Le cassoulet aux cuisses de canard - Maison Riviere,3375644006341,['Maison Riviere'],,['France'],"['Haricots blancs 37,370', 'bouillon [eau', 'légumes frais 1,470 du produit fini ', 'poireaux', 'carottes', 'oignons', 'tomates', 'graisse de canard', 'pulpe d’ail', 'gras de porc', 'arôme naturel de poivre', 'épices', 'arômes de fumée', 'cuisses de canard', 'saucisses de Toulouse grillées 12,5%']","['Non végétalien', 'Non végétarien']",?,153,640 kj(153 kcal),"9,2","3,8","5,7","0,49","9,5","0,56","0,224",D,,,,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,,,4,9.2 g,en quantité modérée,3.8 g,en quantité modérée,0.49 g,en faible quantité,0.56 g,en quantité modérée,,-36%,-36%,-44%,-29%,+1158%,+190%,-56%,-59%,-59%,1,-91%,B,-91%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,
4,Lentilles au canard - Maison Riviere,3375644006372,['Maison Riviere'],"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",['France'],"['Lentilles au canar : [eau', 'amidon modifi6', 'concentré de tomatq oignon', 'aromates]', 'manchong canard 15% ', 'manchons de oriâne : UE', 'paisse de sel', 'lentilla vertŒ 170 louverturc : carottes e es oyezLuapour 100 g :']",[],?,149,623 kj(149 kcal),"8,2","3,1","7,7","0,5","9,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Les lentilles au canard et saucisses de Toulouse - Maison Rivière,3375644006952,['Maison Rivière'],,['France'],"['Lentilles au canard et saucisses de Toulouse ', 'eau', 'amidon modifié', 'concentré de tomate', ""pulpe d'ail eau"", 'ail déshydrat 1570 ', ' manchons te canard porc', 'sel', 'clou de girofle', 'arômes', 'arôme oignon', 'aromates', 'manchons de canar grigne : UE', 'raisse de canar • 4070', 'saucisses de Toulouse grilles 12,57 ', "" dd' sel"", ""' lentilles vertes sèches 12,5% "", ""pourcentage à l'ouverture o vian e de porc origine : France"", 'gras de porc', 'sel', 'poivre', 'boyau naturel de porc • racleurs']","['Non végétalien', 'Non végétarien']",?,149,623 kj(149 kcal),"8,2","3,1","7,7","0,5","9,8","0,9","0,36",,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E14XX - Amidons modifiés'],,,,,,,
6,le tajine de légumes - Maison riviere - 630g,3375644007218,['Maison riviere'],"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",['France'],"['Courgettes 24%', 'tomates 20%', 'carotte 12,5% poivrons rouges 12,5%', 'oignons 7,6%', 'concentré de tomate', 'pois chiches cuits', 'raisins secs', ""huile d'olive vierge extra"", 'amidon de maïs', 'sucre', 'tomate poudre', 'sel', ""pulpe d'ail "", 'ail', 'huile de tournesol', 'sel', 'jus concentré de citron', 'miel', 'raz el hanout', 'jus concentré de citron', 'coriandre', 'cannelle', 'poivre', ' Traces de céleri']",['Non végétalien'],?,105,439 kj(105 kcal),"4,6","0,4","11,1","4,4","3,7","0,3","0,12",,tajine de légumes,630 g,['Bocal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Tajine']",,,,3,4.6 g,en quantité modérée,0.4 g,en faible quantité,4.4 g,en faible quantité,0.3 g,en quantité modérée,,+13%,+11%,+31%,-35%,+12%,+2%,+4%,-62%,-62%,-5,-26555%,A,-26555%,,,,,,,,,,,,,,,
7,Le poulet basquaise et son riz de Camargue IGP - Maison riviere,3375644007720,['Maison riviere'],"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",['France'],[],[],?,108,452 kj(108 kcal),"6,2","1,4",4,"2,3","9,2","0,8","0,32",D,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Poulets basquaise']",['IGP'],,,,6.2 g,en quantité modérée,1.4 g,en faible quantité,2.3 g,en faible quantité,0.8 g,en quantité modérée,,-7%,-7%,+65%,+58%,-65%,+29%,+22%,-7%,-7%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,['Magasins U'],,,,,,
8,Gesiers de canard,3375644007775,,,['France'],[],[],?,155,649 kj(155 kcal),"3,5","1,4","1,5","1,5",30,"0,29","0,116",,,,,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",,,,,3.5 g,en quantité modérée,1.4 g,en faible quantité,1.5 g,en faible quantité,0.29 g,en faible quantité,,-17%,-16%,-44%,-32%,+491%,+757%,+4%,-80%,-80%,-2,-132%,A,-132%,,,,,,,,,['Magasins U'],,,,,,
9,Jambon serrano chiffonade,3375824970509,,,['France'],[],[],?,230,962 kj(230 kcal),"13,1","3,6","0,19","0,1","26,8","3,5","1,4",E,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,,,13.1 g,en quantité modérée,3.6 g,en quantité modérée,0.1 g,en faible quantité,3.5 g,en quantité élevée,,-4%,-4%,+4%,-23%,-74%,-78%,-12%,-25%,-25%,15,-9%,D,-9%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,
