,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,allergens,packaging,manufacturing,traceability_code,markets,ingredients_origins,palm_ingredients,generic_name,link,origin_detail,producer_info,brand_owner
0,Miel De Flores - Gourmet,8413080001942,B,['Gourmet'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0.5 g,en quantité modérée,?,,325,+9%,1360 kj(325 kcal),+9%,0,-100%,0,-100%,"80,8",+4%,70,+1%,"0,4",+18%,"0,5",+2037%,"0,2",+2037%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,
1,Huile D'olive,8413080440048,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,?,,822,-4%,3439 kj(822 kcal),-4%,91,-5%,14,0%,0,,0,,0,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,
2,Aceite Girasol Gourmet 0.2º 1L,8413080443056,,['Gourmet'],['Matières grasses'],['France'],['êl!nH'],[],92 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,827,+3%,3460 kj(827 kcal),+3%,92,+4%,11,-52%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,11,-3%,D,-3%,,,,,,,,,,,,,,,,
3,Agrio de limon - Gourmet - 500mL,8413080461135,D,['Gourmet'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']","['France', 'Espagne']",[],[],0.1 g,en faible quantité,0.04 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,9,-67%,38 kj(9 kcal),-66%,"0,1",-30%,"0,04",+210%,"1,9",-47%,1,-40%,"0,1",-70%,0,-100%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,-7,,B,,500 mL,['Fabriqué en Espagne'],,,,,,,,,,,,,,
4,Refresco Gourmet Ice Tea Sabor Limon 1'5L,8413080483106,,['Gourmet'],"['Boissons', 'Boissons édulcorées']",['France'],"['Eau', 'sucre', 'acidifiant ', 'acide citrique', 'extrait de thé ', '0', '08%', '? acidité ', 'citrate de sodium', 'édulcorant ', 'sucralose', 'arôme naturel']",[],0 g,en faible quantité,0 g,en faible quantité,5.4 g,en quantité modérée,0.05 g,en faible quantité,?,,22,+47%,92 kj(22 kcal),+56%,0,-100%,0,-100%,"5,4",+101%,"5,4",+131%,0,-100%,"0,05",+43%,"0,02",+43%,,,,,,,,8,+86%,D,+86%,,"['Kascher', 'en:Orthodox Union Kosher']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E955 - Sucralose']",4,,,,,,,,,,,,
5,Tortilla de patates - Gourmet,8413080570899,B,['Gourmet'],"['Plats préparés', 'Omelettes de pommes de terre']",['France'],[],[],10 g,en quantité modérée,1.6 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,?,,158,-1%,661 kj(158 kcal),-0%,10,+6%,"1,6",-9%,11,-7%,"0,9",-4%,"5,3",+1%,1,-7%,"0,4",-7%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,3,-20%,C,-20%,,['Fabriqué en Espagne'],,,,,,,,,,,,,,
6,Vinagre balsámico de Módena -  - 250ml,8413080571216,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['France'],"['vinagre de vino mosto de uva cončentrado colorante: E-150d', 'antioxidante: E-220,*Contiene sulfitos']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,250 ml,['Contient des sulfites'],"[""E150d - Caramel au sulfite d'ammonium"", 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,
7,Bebida de soja - Gourmet - 1L,8413080704232,B,['Gourmet'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Laits de soja naturel avec du sucre']","['France', 'Espagne']","['Eau', 'graines de soja* ', '13%', 'fructose', 'phosphate de calcium tribasique', 'agent émulsifiant ', 'gomme Gellane', 'sel', 'arômes et vitamines A et D', ' *Contient soja', ' Peut contenir destraces de fruits à Coque']",[],1.7 g,en quantité modérée,0.3 g,en faible quantité,3 g,en quantité modérée,0.1 g,en faible quantité,?,,43,-2%,180 kj(43 kcal),-1%,"1,7",+1%,"0,3",+4%,"3,7",+3%,3,+9%,"3,1",+2%,"0,1",+22%,"0,04",+22%,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,-1,,A,,1 L,['Fabriqué en Espagne'],['E418 - Gomme gellane'],4,['Soja'],,,,,,,,,,,
8,Noix de Jambon - Casa Ramon - 100g,8413107004017,,['Casa Ramon'],"['Viandes', 'Charcuteries', 'Jambons', 'Noix de jambons secs']",['France'],"[""Noix d'épaule"", 'sel', 'lactose', 'sucre', 'conservateurs ', 'E252', 'E250', 'antioxydant ', 'E301', ' et épices']",['Non végétalien'],7.3 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,4.3 g,en quantité élevée,?,,198,+3%,828 kj(198 kcal),+1%,"7,3",+17%,"3,3",+45%,"0,1",-91%,0,-100%,33,-1%,"4,3",-9%,"1,72",-9%,,,,,,,,15,+12%,D,+12%,100 g,"['en:gluten-free', 'Point Vert']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,['Lait'],"['Barquette', 'Plastique', 'Frais']",['Espagne'],['ES 10.16674/GE CE'],['Franprix'],,,,,,,
9,Jambon sec des Pyrénées - 100g,8413107006714,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambon sec des Pyrénées']",['France'],[],[],12.8 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en quantité élevée,?,,240,+3%,1004 kj(240 kcal),+2%,"12,8",0%,"2,9",-40%,1,+70%,"0,5",+33%,"30,3",+4%,"2,2",-56%,"0,88",-56%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,13,-22%,D,-22%,100 g,['en:gluten-free'],,,,,,,,"['France', 'Pyrénées']",,,,,,
