,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
0,Mes Zanipat' Maïs et Riz Sans gluten - Mieux Vivre sans Gluten - 500g,3596710442874,Spécialité céréalière sans gluten à base de farines de maïs et de riz,500 g,"['Sachet', 'Plastique']","['Mieux Vivre sans Gluten', 'Auchan']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten']","['en:gluten-free', 'Nutriscore', 'Nutriscore A', 'Afdiag']",['Auchan'],['France'],"['Farine de maïs blanc ', '65%', 'farine de maïs jaune ', '29,7%', 'farine de riz ', '5%', ""émulsifiant : mono - et diglycérides d'acides gras""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,1.9 g,en faible quantité,0.9 g,en faible quantité,0.5 g,en faible quantité,0.05 g,en faible quantité,?,,367,+5%,1536 kj(367 kcal),+4%,"1,9",-8%,"0,9",+79%,80,+18%,"0,5",-52%,"6,7",-40%,"0,05",+122%,"0,02",+122%,-1,,A,,,,,,,,,,,,,,,,
1,Auchan Mais Doux En Grains    Boite 1/4 3x140g - 140g,3596710443352,,140 g,['boîte'],['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Graines', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en grains', 'Maïs', 'Céréales en conserve', 'Maïs doux', 'Maïs en conserve', 'Maïs doux en conserve']",,['Auchan'],['France'],[],,[],,1.5 g,en faible quantité,0.2 g,en faible quantité,3.4 g,en faible quantité,0.45 g,en quantité modérée,?,,107,+15%,448 kj(107 kcal),+15%,"1,5",-7%,"0,2",-30%,19,+28%,"3,4",-24%,3,+7%,"0,45",+7%,"0,18",+7%,-4,,A,,B,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,,,,,,
2,Rondelles de Cornichon - Auchan - 185g,3596710443413,,185 g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,['Auchan'],['France'],"['rondelles de wnichms ', 'sulfites eau', 'sucre', ""vinaigre d'alcool sel"", 'arômes', 'antioxydant acide ascorbique', 'colorant : riboflavine', ' Traces éventuelles de moutarde', "" Conseil de conservation : avant ouverture : craint la chaleur et l'humidité""]","['E300 - Acide ascorbique', 'E101i - Riboflavine']",[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,9.4 g,en quantité modérée,2 g,en quantité élevée,?,,44,+63%,184 kj(44 kcal),+72%,"0,5",+69%,"0,1",+46%,"9,4",+173%,"9,4",+260%,"0,6",-41%,2,+16%,"0,8",+16%,4,+84%,C,+84%,,,,,,,,,"['EMB 72090D', 'Connerré (Sarthe, France)']",,,,,,
3,9 brochettes de fromages frais saumon - Auchan,3596710443833,,,,['Auchan'],,,['Auchan'],['France'],[],,[],,,,,,,,,,?,,234,,979 kj(234 kcal),,17,,10,,4,,"1,8",,17,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,
4,Crème dessert chocolat sans lactose - Auchan,3596710444250,,,,['Auchan'],,"['Fabriqué en Espagne', 'Sans lactose']",['Auchan'],['France'],"['Lait entier', 'sucre', 'eau', 'cacao en poudre', 'amidon modifié', 'chocolat 2,2% ', 'pâte de cacao', 'sucre', 'cacao maigre en udre', 'gélatine porcine', 'cacao maigre en poudre', 'lactase']","['E14XX - Amidons modifiés', 'E428 - Gélatine']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,128,,536 kj(128 kcal),,4,,"2,6",,19,,16,,"3,8",,"0,1",,"0,04",,,,,,,,,,,,,,,['Lait'],,,,,
5,Liégeois fruits de la passion - Auchan - 400g,3596710444304,Liégeois fruits de la passion,400 g,,['Auchan'],"['Desserts', 'Liégeois']",,['Auchan'],['France'],[],,[],,6.9 g,en quantité modérée,4.4 g,en quantité modérée,17 g,en quantité élevée,0.21 g,en faible quantité,?,,150,-6%,628 kj(150 kcal),-2%,"6,9",-3%,"4,4",-8%,20,+8%,17,+4%,"1,9",-30%,"0,21",+50%,"0,084",+50%,7,-11%,C,-11%,C,72.9%,16.3%,3.6%,4.6%,2.0%,0.5%,58,,,,,,,
6,Liégeois fruits rouges - Auchan - 400g,3596710444311,Liegeois aux fruits,400 g,,['Auchan'],"['Desserts', 'Liégeois']",,['Auchan'],['France'],"[""'009 + dessert lacté aux fruits rouges ingrédients Lait entier 45,4%"", 'crème ', 'contient lait', ' 16,6%', 'sucre', 'eau', 'fruits rouges ', 'fraise 4%', 'cerise griotte 1 ,9%', 'groseille 1%', 'amidon modifié de maïs', 'sirop de glucose-fructose', 'jus concentré de grenade ', ' épaississants : pectines', 'gomme guar', 'gomme xanthane ', ' jus concentré de framboise', 'gélatine bovine', 'jus concentré de carotte pourpre ', ' colorant : carmins ', ' arômes naturels ', "" émulsifiant : esters lactiques des mono - et diglycérides d'acides gras "", ' jus concentré de betterave rouge', 'arôme naturel de vanille', 'protéines de lait', 'lactose ', 'contient lait', ' et minéraux du lait Elaboré à partir de lait origine France', ' conseil de conservation A conserver entre OOC et +60C']","['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E428 - Gélatine', 'E120 - Acide carminique', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,6.7 g,en quantité modérée,4.4 g,en quantité modérée,18 g,en quantité élevée,0.17 g,en faible quantité,?,,152,-4%,636 kj(152 kcal),-1%,"6,7",-6%,"4,4",-8%,21,+14%,18,+10%,"1,7",-37%,"0,17",+21%,"0,068",+21%,7,-11%,C,-11%,C,72.9%,16.3%,3.6%,4.6%,2.0%,0.5%,58,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",['Lait'],,,,,
7,Cordon Bleu Poulet - Auchan - 800g (8 * 100g),3596710444502,,800 g (8 * 100 g),"['Frais', 'Carton', 'Plastique']",['Auchan'],"['Viandes', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']","['Point Vert', 'Produit en braille', 'en:palm-oil-free', 'Triman']",['Auchan'],['France'],"['Préparation à base de filets de poulet traités en salaison reconstitués 50 % : filets de poulet 40 %', 'eau ', ' antioxydants : citrates de sodium', 'érythorbate de sodium ', ' dextrose', 'fibres de blé ', 'contient gluten', 'protéines de blé ', 'contient gluten', 'arômes', 'sel', '\rPanure frite 25 % : chapelure ', 'farine de blé ', 'contient gluten', 'levure', 'sel', 'épices', 'eau', 'farine de blé ', 'contient gluten', 'conservateur : sorbate de potassium', ' Jambon de dinde cuit standard au goût fumé 15 % : viande de cuisse de dinde 10,5 %', 'eau', 'dextrose', 'protéines de blé contient gluten', 'sel ', ' stabilisants : triphosphates', 'polyphosphates ', ' arômes naturels', 'arôme', 'arôme de fumée ', 'contient gluten', 'conservateur : nitrite de sodium', '\rFromage fondu 10 %', ' fromages 4,5 % minimum ', 'contient lait', 'eau', 'beurre ', 'contient lait', 'amidons modifiés', 'lait écrémé en poudre', 'lactosérum contient lait', ' ', ' sels de fonte : citrates de sodium', 'potyphosphates ', ' gélifiant s', ' carraghénanes', ""correcteur d'acidité : acide citrique"", ' Huile de tournesol']","['E331 - Citrates de sodium', 'E316 - Érythorbate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,8.7 g,en quantité modérée,2.5 g,en quantité modérée,3.8 g,en faible quantité,1.5 g,en quantité modérée,?,,197,-7%,824 kj(197 kcal),-7%,"8,7",-21%,"2,5",-12%,16,+15%,"3,8",+128%,13,-5%,"1,5",+15%,"0,6",+15%,5,-3%,C,-3%,D,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,"['Gluten', 'Lait']",['Union européenne'],,,,
8,Caramel Beurre salé - Auchan - 210g,3596710444786,,210 g,"['Carton', 'surgelé']",['Auchan'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés au chocolat']",['Produit en braille'],['Auchan'],['France'],"['Glace au caramel beurre salé 67 % : lait écrémé ', 'origine UE', 'lactose ', 'contient lait', ' et protéines de lait', 'eau', 'sucre', 'sauce au caramel beurre salé 6% ', 'sirop de glucose', 'eau', 'lait écrémé condensé', 'sucre', 'dextrose', 'beurre salé ', 'contient lait', ' 0,3%', 'sel', 'stabilisant : pectines', ""émulsifiant : mono - et diglycérides d'acides gras"", 'arômes', 'graisse végétale ', 'coprah', 'caramel en poudre 2,8% ', 'lait écrémé', 'protéines de lait', 'sucre', 'beurre ', 'contient lait', 'colorant : caramel ordinaire', ""émulsifiant : mono - et diglycérides d'acides gras"", 'arôme naturel de caramel', 'stabilisants : farine de graines de caroube', 'gomme guar', ' Chocolat au lait 31 5% : sucre', 'beurre de cacao', 'protéines de lait', 'beurre concentré ', 'contient lait', 'pâte de cacao', 'lait écrémé en poudre', 'graisse végétale ', 'coprah', ' ', ' émulsifiants : lécithine de soja', 'polyricinoléate de polyglycérol ', ' arôme', ' Céréales croustillantes 1 5% : farine de riz 1,3%', 'sucre', 'sel', 'beurre de cacao']","['E440 - Pectines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E150a - Caramel E150a', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,19 g,en quantité modérée,13 g,en quantité élevée,29 g,en quantité élevée,0.34 g,en quantité modérée,?,,313,-3%,1310 kj(313 kcal),-4%,19,-8%,13,-6%,33,+9%,29,+7%,"3,2",-13%,"0,34",+98%,"0,136",+98%,20,+6%,E,+6%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Lait'],['Union européenne'],,,,
9,Bâtonnets vanille macadamia les plaisirs glacés x3 - Auchan,3596710444809,,,,['Auchan'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés à la vanille']",['Produit en braille'],['Auchan'],['France'],"['Eau', 'sucre', 'beurre de cacao', 'graisse végétale ', 'noix de coco', 'amandes 4,7 % ', 'fruits à coque', 'lactose ', 'contient lait', ' et protéines de lait', 'sirop de glucose-fructose', 'sirop de glucose', 'lait écrémé en poudre ', 'origine UE', 'pâte de cacao', 'matière grasse du lait', 'lait concentré sucré ', 'origine UE', 'lactosérum en poudre ', 'contient lait', 'noix de macadamia 1,2% ', 'fruits à coque', ' ', "" émulsifiants : mono - et diglycérides d'acides gras"", 'lécithine de soja', 'polyricinoléate de polyglycérol ', ' huile végétale ', 'tournesol', 'beurre ', 'contient lait', 'amidon transformé', 'sel', 'arômes naturels de vanille ', ' colorants : caramel ordinaire', 'caroténoïdes', 'caramel ammoniacal ', ' stabilisants : farine de graines de caroube', 'gomme guar ', ' arômes naturels', 'gélifiant : pectines', 'Traces éventuelles de gluten', ""d'œuf et d'autres fruits à coque""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E14XX - Amidons modifiés', 'E150a - Caramel E150a', 'E160 - Caroténoïdes', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E440 - Pectines']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,21 g,en quantité élevée,12 g,en quantité élevée,34 g,en quantité élevée,0.3 g,en quantité modérée,?,,365,+26%,1527 kj(365 kcal),+26%,21,+19%,12,-2%,40,+37%,34,+31%,"3,5",+19%,"0,3",+110%,"0,12",+110%,22,+27%,E,+27%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Lait', 'Fruits à coque', 'Soja']",,,,,
