,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,quantity,additives,nova_score,ingredients_origins,manufacturing,markets,packaging,allergens,link,generic_name,palm_ingredients,brand_owner
0,Gazpacho original,3168930848998,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],[],2.6 g,en faible quantité,0.4 g,en faible quantité,3.1 g,en faible quantité,0.66 g,en quantité modérée,?,,46,+12%,192 kj(46 kcal),+11%,"2,6",+6%,"0,4",+4%,"3,9",+16%,"3,1",+22%,"0,9",+14%,"0,66",-1%,"0,264",-1%,2,+68%,B,+68%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,,,,,
1,Oasis sorbet,3251513954008,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,"0,5",,"0,1",,"27,2",,"21,9",,"0,5",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Echalotte longue,3000025044680,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Whole fuel - MyProtein,5055936868977,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,425,,1778 kj(425 kcal),,13,,"1,9",,42,,"0,9",,30,,"0,7",,"0,28",,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,,,
4,"Eau Szentkiraly 1, 5l",5999881783650,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Les saucisses de poulet nourri aux graines de lin - Maître Coq,3230890002106,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"9,2",,"2,3",,"1,3",,0,,16,,"1,3",,"0,52",,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,,,
6,Roule ma fraicheur! Taboulé libanais Menthe Concombre,3700365097826,,,['France'],[],[],,,,,,,,,?,,214,,895 kj(214 kcal),,"8,4",,"2,3",,"28,9",,3,,"4,9",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Farine de sarrasin,3422801000107,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,,,,,,,,,,
8,India 10 - Jacobs,8711000429969,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Jacobs'],['Fabriqué en France'],,,,,,,,,,,,,
9,Paté en croute richelieu supérieur,3287360736948,,,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,17,,"6,8",,15,,"0,9",,13,,"1,7",,"0,68",,,,,,,,,,,,,,,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,,,,,,,,,,,
10,Les Milanaises du Chef au poivre - Père Dodu,0227081025450,D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",['France'],[],[],1.8 g,en faible quantité,0.6 g,en faible quantité,1.9 g,en faible quantité,1.4 g,en quantité modérée,?,,123,-7%,515 kj(123 kcal),-6%,"1,8",+15%,"0,6",+13%,"5,1",-26%,"1,9",+3%,20,-6%,"1,4",+55%,"0,56",+55%,2,+191%,B,+191%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Père Dodu'],,,,,,,,,,,,,,
11,Bloc de fois gras de canard du Sud-Ouest mi-cuit - Larnaudie - 300g,3113010146792,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Foies gras mi-cuits']",['France'],"['Foie gras de canard', 'eau', 'sel', 'Armagnac', 'poivre', 'sucre', 'antioxydant: acide ascorbique ', 'E300', 'conservateur: nitrite de sodium ', 'E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",51.3 g,en quantité élevée,23 g,en quantité élevée,1.8 g,en faible quantité,1.2 g,en quantité modérée,2024,-7%,481,-8%,2024 kj(481 kcal),-8%,"51,3",-5%,23,-1%,2,-15%,"1,8",+13%,"5,4",-22%,"1,2",+3%,"0,48",+3%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Larnaudie'],,"['FR 46.102.004 CE', 'Figeac (Lot, France)']",300 g,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,,,,,,
12,Côtes du Rhône les aphillanthes,3770007531063,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,['France'],,,,,,,,
13,Ail blanc 3 têtes - Le Geste Saveur,3363297329542,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,['Le Geste Saveur'],,,3 têtes,,,['France'],['France'],['Auchan'],,,,,,
14,Ratatouille,3250392653682,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
15,"Toasted Sesame Woke Oil, 250ml",5400113012306,,,['France'],[],[],,,,,,,,,?,,828,,3464 kj(828 kcal),,82,,"13,4",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Topinap blond - Dawn - 1kg,3215450013457,,"['Aides culinaires', 'Nappages']",['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,24.9 g,en quantité élevée,0.17 g,en faible quantité,?,,228,-18%,954 kj(228 kcal),-20%,"0,1",-96%,"0,1",-93%,"56,6",-10%,"24,9",-51%,"0,1",-91%,"0,17",+35%,"0,068",+35%,7,-47%,C,-47%,,,,,,,,['Dawn'],,,1 kg,,,,,,,,,,,
