,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,additives,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,palm_ingredients,generic_name,link,manufacturing,traceability_code,ingredients_origins,brand_owner,origin_detail,producer_info
0,Choco Krispies - Kelloggs - 30g,5053827138529,30 g,"['Kelloggs', ""Kellog's""]","['France', 'Suisse']","['Riz', 'Sucre', 'Cacao maigre en poudre ', '3%', 'Maltodextrine', 'Pâte de cacao ', '1,5%', 'Sel', ""Arôme de malt d'orge"", 'Arôme', 'Arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1647,?,1647 kj(394 kcal),"2,5",1,85,35,"5,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Special K Crunchy Muesli Chocolat Noisettes - Kellogg's - 370g,5053827139939,370 g,"[""Kellogg's"", 'Special K']",['France'],"['Céréales complètes ', '67%', ' ', 'AVOINE', 'ORGE', 'BLE', 'EPEAUTRE', 'SEIGLE', 'sucre', 'copeaux de chocolat noir ', '8%', 'sucre', 'pâte de cacao', 'beurre de cacao', 'glucose', 'matière grasse issue du LAIT', 'cacao maigre en poudre', 'émulsifiant ', 'lécithine de SOJA', 'arôme', 'farine de BLE', 'NOISETTES ', '3,5%', 'amidon modifié', 'farine de riz', 'farine de maïs', ""extrait de malt d'ORGE"", 'huile de tournesol', 'sel', 'arômes', 'émulsifiant ', 'lécithine de SOJA', 'bicarbonate de sodium', ""bicarbonate d'ammonium"", 'antioxydant ', 'E306', 'poudre de LAIT écrémé', 'Vitamines et Minéraux : vitamines ', 'niacine', 'B6', 'B2', 'B1', 'acide folique', 'B12', 'fer']",['Non végétalien'],4,?,399,1669 kj(399 kcal),9,"2,5",65,17,"9,1","0,73","0,292",B,"['Plastique', 'Doypack', 'Sachet']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Céréales au chocolat', 'Mueslis au chocolat', 'Pétales multicéréales']","['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja']",9 g,en quantité modérée,2.5 g,en quantité modérée,17 g,en quantité élevée,0.73 g,en quantité modérée,,-10%,-10%,-43%,-52%,+6%,-11%,-2%,+198%,+198%,7,-23%,C,-23%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,
2,Special K Crunchy Muesli - 450g,5053827140300,450 g,"['Special K', ""Kellogg's""]",['France'],"['Céréales complètes ', '65%', ' ', 'avoine', 'orge', 'blé', 'épeautre', 'seigle', '\r sucre', 'morceaux de fruits sucrés aux airelles ', '7%', ' ', 'airelles', 'sucre', 'humectant {glycérol}', 'acide citrique', 'farine de blé', 'graines de courge ', '4%', 'amandes ', '3%', 'amidon modifié', 'farine de riz', ""extrait de malt d'orge"", 'farine de maïs', 'huile de tournesol', 'sel', 'émulsifiant ', 'lécithine de soja', 'arômes', 'bicarbonate de sodium', ""bicarbonate d'ammonium"", 'antioxydant ', 'E306', 'lait écrémé en poudre']",['Non végétalien'],4,?,387,1619 kj(387 kcal),"7,5","1,2",65,17,"9,9","0,75","0,3",B,"['Sachet', 'Plastique', 'Sachet']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']","['E422 - Glycérol', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja']",7.5 g,en quantité modérée,1.2 g,en faible quantité,17 g,en quantité élevée,0.75 g,en quantité modérée,,-3%,-3%,-29%,-56%,+6%,-6%,+3%,+417%,+417%,6,+75%,C,+75%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,
3,Special K cereal bar - Kellogg's - 5x 21.5g,5053827140898,5 x 21.5g,"[""Kellogg's""]","['France', 'Royaume-Uni']","['Wholegrain Cereal Crispies', '10%', ' ', 'Who!ewheat Flour', 'Rice Flour', 'Sugar', 'Malted Barley Flour', 'Malted Wheat Flour', 'Salt', 'Rapeseed Oil', 'Stabiliser{Calcium Carbonate}', 'Emulsifier{Soy Lecithin}', 'Sugar', 'Glucose Syrup', 'Corn Fibre', 'Fructose', 'Dried Fruit', '6%', 'Cranberry {Cranberry', 'Sugar', 'Sunflower Oil}', 'Strawberry Flavour Apple Pieces{Apple', 'Natural Flavouring', 'Colouring Food[concentrate of carrot and blackcurrant]', 'Acid [Citric]', 'Anti Caking Agent[Calcium Stearatel', 'Preservative[Sodium Sulphite]}', 'Vegetable Oils', 'Palm Kernel', 'Palm', 'Coconut', ' in varying proportions', 'Maize Starch', 'Humectants', 'Sorbitol', 'Glycerol', 'Dextrose', 'Oligofructose', 'Calcium Carbonate', 'Skimmed Milk Powder', 'Milk Whey Powder', 'Salt', 'Strawberry Juice Concentrate', 'Flavourings', 'Barley Malt Flavouring', 'Emulsifier', 'Soy Lecithin', 'Acid ', 'Citric Acid', 'Antioxidant', 'E320', 'Niacin', 'Iron', 'Vitamin B6', 'Vitamin B2 ', 'Riboflavin', 'Vitamin BI ', 'Thiamin', 'Folic Acid', 'Vitamin BI 2', ' For allerqens see ingredients highlighted in bold']","['Huile de palme', 'Non végétalien']",4,?,387,1619 kj(387 kcal),"8,2","4,9",68,27,6,"0,58","0,232",,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['E322i - Lécithine', 'E221 - Sulfite de sodium', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E422 - Glycérol', 'E330 - Acide citrique', 'E320 - Butylhydroxyanisol']","['Gluten', 'Soja']",8.2 g,en quantité modérée,4.9 g,en quantité modérée,27 g,en quantité élevée,0.58 g,en quantité modérée,,-9%,-9%,-48%,-18%,+13%,-1%,-20%,+48%,+48%,10,-24%,C,-24%,,,,,,,,,,,,,,,,,,
4,Kellogg's Special K Peach & Apricot Cereal 360G,5053827142229,,"[""Kellogg's""]",['France'],[],[],,?,373,1561 kj(373 kcal),"1,5","0,3",79,19,8,"0,95","0,38",,"['bag', 'bag', 'card-box', 'pp-bag']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Disney Frozen - Biscuits multi-céréales - Kellogg's - 6 * 44g,5053827146111,6 * 44 g,"[""Kellogg's""]",['France'],"['Farine de blé', 'céréales complètes ', '27 %', ' ', 'farine de blé complet', ""pétales d'orge complète"", ""farine d'avoine complète"", 'huiles végétales ', 'palme', 'tournesol', 'sucre', 'agent de charge ', 'polydextrose', 'sirop de sucre inverti', 'lait écrémé en poudre ', '2 %', 'gluten de blé', ""fibres d'avoine"", 'arôme ', 'contient du lait', 'carbonate de calcium', 'poudres à lever ', 'E503', 'E500', 'E341a', 'E450', 'sel', 'émulsifiants ', 'lécithine de soja', 'E472e', 'vitamines ', 'Niacine', 'B6', 'B2', 'B1', 'acide folique', 'B12', 'fer']","['Huile de palme', 'Non végétalien', 'Végétarien']",4,1840,438,1840 kj(438 kcal),15,"3,9",62,16,"9,3","0,58","0,232",D,"['Carton', 'Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Produits sous license']","['E1200 - Polydextrose', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Gluten', 'Lait', 'Avoine', 'Soja']",15 g,en quantité modérée,3.9 g,en quantité modérée,16 g,en quantité élevée,0.58 g,en quantité modérée,+21%,+15%,+17%,+11%,-45%,+15%,-55%,+114%,+151%,+151%,8,-47%,C,-47%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Végétarien', 'Sans arômes artificiels', 'Sans colorants']",['Cora'],['Huile de palme'],,,,,,,,
6,Special K Biscuit Moments Chocolate Deluxe - Kellogg's - 125g (5 * 25g),5053827149594,125 g (5 * 25 g),"[""Kellogg's"", 'Special K']","['France', 'Italie']","['Farine de blé ', '40%', 'fourrage saveur de chocolat ', '34 %', ' ', 'fructose', 'Humectant {Glycérol}', 'chocolat {6 %} {masse de cacao', 'sucre', 'beurre de cacao', 'dégraissé en poudre de cacao', 'émulsifiant [lécithine soja]}', 'dextrose', 'sirop de glucose', 'amidon modifié', 'de la poudre de cacao dégraissée', 'Stabilisateurs {E460', 'E466}', 'émulsifiant {lécithine de soja}', 'arôme', 'sucre', 'huiles végétales ', 'tournesol', 'de palmiste', 'de palme', 'de noix de coco', ' dans des proportions variables', 'maltodextrine', 'poudre de cacao dégraissée', 'amidon modifié', 'poudre de lait écrémé', 'lactosérum en poudre', 'émulsifiants ', 'lécithine de soja', 'E472e', 'le sirop de sucre inverti', 'poudre à lever ', 'E500', 'E450', 'E341', 'carbonate de calcium', 'Sel', 'Arôme naturel', 'Arôme']",[],,?,384,1607 kj(384 kcal),"9,4",4,71,27,"5,7","0,72","0,288",D,"['Carton', 'Plastique', 'boîte', 'Sachet']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,9.4 g,en quantité modérée,4 g,en quantité modérée,27 g,en quantité élevée,0.72 g,en quantité modérée,,-22%,-22%,-60%,-66%,+14%,-17%,-13%,+30%,+30%,12,-44%,D,-44%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['Noz'],,,,,,,,,
7,Barre de pétale de maïs au lait Frosties - Kellogg's,5053827150385,,"[""Kellogg's""]",['France'],[],[],,?,103,431 kj(103 kcal),"1,9",1,18,8,"1,6","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Barre céréal - Coco Pops,5053827150507,,['Coco Pops'],['France'],"[""Céréales Kellogg's coco Pops sucre"", 'cacao FR maigre en poudre', 'Pâte de cacao', 'Sel', ""Arôme de malt d'orge"", 'Arôme', 'de calcium', 'Vitamines {Niacine', 'B6', 'B2', 'BI', 'Acide folique', 'BI 2', 'D}', 'fer', 'Huile végétale', 'Palmiste', 'Palme', 'Noix de coco', 'Sucre', 'Lait écrémé concentré sucré ', '8%', 'Lait écrémé', 'Sucre', 'Sirop de glucose', 'Lait écrémé en Sirop de sucre inverti', 'Petit-lait en poudre', 'Amidon', 'Fructose', 'Humectants', 'Glycérol', 'Sorbitol', 'Carbonate de calcium', 'Cacao maigre en poudre', 'Émulsifiant', 'Lécithin de soja', 'Arôme', 'Antioxydants', ""Palmitate d'ascorbyle"", 'Alpha-tocophérol', ' Allergènes : voir les ingrédients en gras']","['Huile de palme', 'Non végétalien']",4,?,419,1753 kj(419 kcal),12,9,72,42,"5,6","0,53","0,212",,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['E422 - Glycérol', 'E420 - Sorbitol', 'E322i - Lécithine', ""E304i - Palmitate d'ascorbyle"", 'E307 - Alphatocophérol']",['Lait'],12 g,en quantité modérée,9 g,en quantité élevée,42 g,en quantité élevée,0.53 g,en quantité modérée,,-1%,-2%,-24%,+51%,+20%,+54%,-25%,+36%,+36%,23,+74%,E,+74%,,,,,,,,,,"['Huile de palme', ""E304 - Palmitate d'ascorbyle""]",,,,,,,,
9,Kellogg's urlegender flakes,5053827151221,,"[""Kellogg's""]",['France'],[],[],,?,380,1590 kj(380 kcal),"4,7","1,4",70,23,10,"0,9","0,36",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,4.7 g,en quantité modérée,1.4 g,en faible quantité,23 g,en quantité élevée,0.9 g,en quantité modérée,,-5%,-5%,-46%,-36%,+5%,+38%,+7%,+152%,+152%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,
