,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,ingredients_origins,labels,generic_name,manufacturing,traceability_code,link,additives,palm_ingredients,origin_detail,producer_info,brand_owner
0,3363790808056,3363790808056,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Calissons carrés déclassés - Fruidoraix - 400g,3364474445376,['France'],"['Melons confits ', 'melons', 'sucre', 'sirop de glucose', 'amandes', 'sucre', 'sucre glace', ""écorces d'oranges confites "", ""écorces d'orange"", 'sucre', 'sirop de glucose', 'pain azyme ', 'fécule de pomme de terre', 'eau', 'sirop de glucose', ""blancs d'oeufs"", 'arôme vanille', "" Traces éventuelles d'autres fruits à coque"", 'de gluten et sulfite']","['Sans huile de palme', 'Non végétalien']",?,441,18,61,7,B,400 g,['Fruidoraix'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']","['Œufs', 'Fruits à coque']",4,18 g,en quantité modérée,1.5 g,en quantité modérée,59 g,en quantité élevée,0.03 g,en faible quantité,,-0%,1845 kj(441 kcal),-0%,+1%,"1,5",-7%,+0%,59,+19%,-9%,"0,03",-41%,"0,012",-41%,13,-11%,D,-11%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,
2,Sirop de banane - couleur provence - 70cl,3365340000125,['France'],[],[],?,300,0,75,"0,1",,70cl,['couleur provence'],['Sirops'],,,0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,,+17%,1255 kj(300 kcal),+14%,-100%,0,-100%,+15%,75,+22%,+2%,0,-100%,0,-100%,13,+6%,D,+6%,,,,,,,,['bouteille verre 70cl'],,,,,,,,,,,,
3,oeufs frais - Leclerc - 6,3368170010128,['France'],['oeufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,D,6,"['Leclerc', 'Système U']","[""Produits d'élevages"", 'Œufs', '1']",['Œufs'],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['boîte'],['Leclerc'],,,,,,,,,,,
4,"Filet De Saumon Sauvage Rose, 2 Fois 250 Grammes - Oceaner - 2x500gr",3373807500088,['France'],['filet de saumon sauvage'],[],?,139,"4,4",0,25,,2x500gr,['Oceaner'],,,,,,,,,,,,,,582 kj(139 kcal),,,"0,7",,,0,,,"0,22",,"0,088",,,,,,,,,,,,,,,['Chine'],,,,,,,,,,
5,Cafe bio et equitable des Caraibes Kalinda LOBODIS,3376221113070,['France'],[],[],?,?,?,?,?,,,['Lobodis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
6,3378262900060,3378262900060,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Duc d'arcillac - Bergerac - 750ml,3326262233930,['France'],[],[],?,?,?,?,?,,750 ml,['Bergerac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jambonneau - 350g,3380241012411,['France'],[],[],?,259,21,"0,5",17,,350 g,,"['Viandes', 'Charcuteries', 'Charcuteries cuites']",,,21 g,en quantité élevée,7.2 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+55%,1084 kj(259 kcal),+61%,+148%,"7,2",+123%,-64%,"0,5",-31%,-9%,"1,8",-5%,"0,72",-5%,17,+77%,D,+77%,,,,,,,,,,,,,,,,,,,,
9,Les Carrés du Cantal - Apiflor,3380842606019,['France'],[],[],?,473,"15,1","77,5","6,3",,,['Apiflor'],,,,,,,,,,,,,,1979 kj(473 kcal),,,"9,9",,,"35,7",,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,
