,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,link,palm_ingredients,producer_info
0,Martel -,3219820003086,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gevrey-Chambertin - Bertrand de Monceny - 75cl,3219850042772,['France'],"['Vin rouge', ' Contient des sulfites']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,?,?,?,B,75 cl,"['Verre', 'Bouteille']",['Bertrand de Monceny'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bourgogne', 'Gevrey-Chambertin']","['Point Vert', 'Fabriqué en France', 'Contient des sulfites', 'Déconseillé aux femmes enceintes']",['France'],"['France', 'Nuits-Saint-Georges']",['Anhydride sulfureux et sulfites'],3,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Santenay 2011 Vieilles Vignes - Sorine & fils - 75cl,3219850044646,['France'],"['Raisins rouges :    ', 'Sulfites']",['Sans huile de palme'],?,?,?,?,?,B,75 cl,['Bouteille verre'],['Sorine & fils'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bourgogne', 'Vins blancs', 'Santenay']","['AOC', 'Déconseillé aux femmes enceintes']","['France', 'Bourgogne']",,['Anhydride sulfureux et sulfites'],3,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,Santenay,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Brouilly 2013 - Fouilloux - 75cl,3219850048019,['France'],"['vin ', 'sulfites']",['Sans huile de palme'],?,?,?,?,?,B,75 cl,"['Bouteille', 'Verre']",['Fouilloux'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Brouilly']","['AOC', 'Déconseillé aux femmes enceintes']",['France'],,['Anhydride sulfureux et sulfites'],3,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,vin rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Chirouble -  - 0,75l",3219850048224,['France'],[],[],?,?,?,?,?,C,"0,75l",,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Chiroubles']",['Déconseillé aux femmes enceintes'],['France'],,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cookie au Chocolat,3220000001488,['France'],[],[],?,491,"26,6","55,5","6,4",,,,,,,,,,,,,,,,,,,,,,,,,2054 kj(491 kcal),"15,5","33,6","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,
6,Brownie au Noix -,3220000001532,['France'],[],[],?,509,"33,5","44,9","5,7",D,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,,,,+12%,+31%,-6%,-4%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,2130 kj(509 kcal),"16,8","34,1","0,2","0,08",33.5 g,en quantité élevée,16.8 g,en quantité élevée,34.1 g,en quantité élevée,0.2 g,en faible quantité,+12%,+105%,-0%,-48%,-48%,23,+20%,E,+20%,,,,,
7,Palet de Dame - glaçage au rhum - Sans marque - 95g,3220000001686,['France'],[],[],?,450,"18,4","65,6","5,1",,95 g,['Plastique'],['Sans marque'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,,,,,+12%,-6%,+32%,-6%,,,,,,,,,,1883 kj(450 kcal),"10,6","47,2","0,33","0,132",18.4 g,en quantité modérée,10.6 g,en quantité élevée,47.2 g,en quantité élevée,0.33 g,en quantité modérée,+12%,+39%,+69%,-46%,-46%,26,+45%,E,+45%,,,,,
8,Sucre mini buchette,3220032484105,['France'],[],[],?,367,0,88,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,1536 kj(367 kcal),0,88,,,,,,,,,,,,,,,,,,,,,,,,
9,Tutti Free - Saint Louis,3220032530444,['France'],"['sucre roux de canne ', '99%', 'Edulcorants : aspartame et acésulfame K ', '1%', ' Contient une source de phénylalanine', 'composant naturel des protéines', ' Ne pas donner aux enfants de moins de 3 ans']",[],?,395,0,98,"0,7",,,,['Saint Louis'],,['Contient une source de phénylalanine'],,,,4,,,,,,,,,,,,,,,1653 kj(395 kcal),0,98,0,0,,,,,,,,,,,,,,,,,,"['E951 - Aspartame', 'E950 - Acésulfame K']",,,,
