,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
0,Melange a germer - Moulin des Moines,3347435253555,['Moulin des Moines'],['Bio'],['France'],"['A GERMER de haricots munao*', 'du blé* ', ""vertes* et de tourrteesl* Durée de germinat•n 2à 6jours A consommer eu bout du troisième PIJ' de germination Valeurs nutrltlonnelles rmyenngs pour Vefeurénergétique""]",['Gluten'],[],?,400,1674 kj(400 kcal),"13,8","1,35","41,1","0,85","21,33","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Boulgour, Couscous - Moulin des moines",3347435266555,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,342,1431 kj(342 kcal),"2,1","0,3","56,2",2,16,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Boulgour multicérérales - Moulin des Moines - 500g,3347435273553,['Moulin des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Bio-dynamie', 'Demeter', 'FR-BIO-01']",['France'],[],,[],?,346,1448 kj(346 kcal),"2,2","0,41","65,44","1,14","11,09","0,003","0,001",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Moulin des moines,3347435303069,['Moulin des moines'],,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lin Doré,3347435510085,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,406,1699 kj(406 kcal),34,"8,9",7,"0,1",20,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sésame non décortiqué complet - Moulin des moines,3347435513055,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],['Sésame complet'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,559,2339 kj(559 kcal),?,"6,8",?,"0,2","17,7","0,11","0,044",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame']",1,6.8 g,en quantité élevée,0.2 g,en faible quantité,0.11 g,en faible quantité,,-3%,-3%,,-5%,,-68%,-6%,+124%,+124%,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,,,,,,,,,,,,,,,,
6,Confirette de myrtille - Moulin des Moines,3347437000164,['Moulin des Moines'],,['France'],[],,[],?,147,615 kj(147 kcal),"0,1","0,1",35,34,"0,6","0,075","0,03",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,0.1 g,en faible quantité,34 g,en quantité élevée,0.075 g,en faible quantité,,-33%,-33%,-62%,+126%,-34%,-33%,+54%,+349%,+349%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.1 g,en faible quantité,7,-24%,C,-24%,,,,,,,,,,
7,Chocolat blanc à la noix de coco - Moulin des Moines - 100g,3347437001574,['Moulin des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['Beurre de cacao*', 'sucre de canne*', 'lait en poudre*', 'noix de coco râpée* ', '4%']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,100 g,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats blancs à la noix de coco']",3,,,,,,,,,,,,,,,,,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,,,,,,,,,,
8,Tartifruits d'épeautre aux abricots - Moulin Des Moines,3347437071010,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['compote djabricots* 45%% ', 'sirop de glucose - fructose de mails*l purée dlabrjcots* 24%', ' pectine', 'acide citrique', 'amidon de mals*', 'arôme naturel*', 'farine dlépeautre* 24%1 huile de palme non hydrogénée*', ' farine complète dépeautre* 13%} sirop de glucose-fructose de maïs*j farine de riz*j sirop de riz et djorge malté*', ' cannellefl poudres à lever ', 'tartrate de potassium', 'carbonate de sodium et dlammonium', 'sel', 'amidon de riz*', 'arôme naturel*']",,[],?,406,1699 kj(406 kcal),15,7,60,25,"5,8","0,63","0,252",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E336 - Tartrates de potassium', 'E500i - Carbonate de sodium']",,,,,,,,,
9,Tortifrutas De Espelta Arandano De Moulin Des Moines,3347437071119,['Moulin des moines'],,['France'],[],,[],?,404,1690 kj(404 kcal),15,"6,9",60,27,"5,3","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
