,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,allergens,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,ingredients_origins,traceability_code,link
0,Energy gel - Aptonia,3583788295280,['Aptonia'],['Décathlon'],['France'],[],[],?,280,1172 kj(280 kcal),"0,5","0,5",70,39,"0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Choco rice bars - Aptonia,3583788295297,['Aptonia'],['Décathlon'],['France'],"['sirop d glucose', 'riz soufflé 28,5% ', 'riz', 'sucre', 'sel', ""extrait de malt d'orge "", 'gluten', ' chocolat au lait 26% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte cacao', 'émulsifiant : lécithines de soja et tournesol', 'arômes', 'lactose ', 'lait', 'lai écrémé en poudre ', 'huile de tournesol', 'cacao maigre en poudre', 'crème er poudre ', 'lait', 'stabi isant : sorbitols', 'arômes', 'émulsitiant : lécithines de soja z:antioxydant : extrait riche en tocophérols', ' Fabriqué dans un atelier utilisan : sulfites', 'arachides', 'fruits à coque']",['Non végétalien'],?,448,1874 kj(448 kcal),17,"8,2",68,36,"4,8","0,26","0,104","['E322i - Lécithine', 'E420 - Sorbitol', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Fruits à coque', 'Arachides']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mass Gainer 3 - Aptonia,3583788301486,['Aptonia'],['Décathlon'],['France'],[],[],?,388,1623 kj(388 kcal),2,"0,47",75,30,17,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Iso+concentrate - Aptonia,3583788315841,['Aptonia'],['Décathlon'],['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,7","4,2",0,"0,2","0,08",,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.2 g,en quantité modérée,,-59%,-60%,-100%,-100%,-50%,-56%,-100%,+382%,+382%,7,-9%,D,-9%,,,,,,,,,,,,,,,,,
4,Iso+ Concentrate - Aptonia,3583788315858,['Aptonia'],['Décathlon'],['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,7","4,2",0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ISO concentrate - Aptonia,3583788316824,['Aptonia'],['Décathlon'],['France'],"['arôme naturel', 'ch orure de sodium', 'colorant : d nrée alimentaire colorant@i pomme', 'conservateur : sorbate de potassium', '4 itamines BI', 'B6 et B12', ' : gluten', 'poisson', 'soja et lait', "" Boire avant et' ndant l'effort par petites à 20 minutes"", "" En complément d'une activité p ique"", 'il est important de O équilibrée et un mode de vie sain', ' A conserve„ ans un endroit frais et sed', 'la journée']","['Non végétalien', 'Non végétarien']",?,24,100 kj(24 kcal),0,0,"6,1","5,3",0,"0,2","0,08","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Poisson', 'Lait', 'Soja']",4,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,5.3 g,en quantité modérée,0.2 g,en quantité modérée,,-57%,-59%,-100%,-100%,-46%,-44%,-100%,+382%,+382%,8,+4%,D,+4%,,,,,,,,,,,,,,,,,
6,Dosettes fruits rouges - Aptonia,3583788317593,['Aptonia'],['Décathlon'],['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,6","5,2",0,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Iso concentrate - Aptonia,3583788317616,['Aptonia'],['Décathlon'],['France'],[],[],?,144,602 kj(144 kcal),0,0,36,28,0,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Whey protein - Aptonia,3583788317821,['Aptonia'],['Décathlon'],['France'],"['protéines de lactoserum 95% ', 'lait', ' ', 'Isolat et concentrat', 'cacao maigre en poudre', 'épaississant: gomme de xanthane', 'arôme', 'édulcorants: acésulfame de potassium et sucralose', 'émulsifiants: lecithine de tournesol et lécithine de soja', ' Fabriqué dans un atelier utilisant : gluten', 'œuf', 'sulfites', 'crustacés', 'moutarde', 'poisson', 'céléri', 'fruits à coque', "" L'entrainement provoque une destruction des cellules musculaires "", 'catabolisme', ' Dès la fin de votre séance', 'la reconstruction musculatre rend', ' C']",['Non végétalien'],?,356,1490 kj(356 kcal),"2,4","1,5",3,"1,5","81,5","0,9","0,36","['E415 - Gomme xanthane', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E322i - Lécithine']","['Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Whey 9 Strawberry Sensation - Aptonia,3583788318507,['Aptonia'],['Décathlon'],['France'],"['protéines d lactosérum 97,5% ', 'lait', ' ', 'isolat et concentrat', ' ', 'émulsifiants: lécithine de tournesol et lécithine de soja', 'épaississant: gomme xanthane', 'arôme', 'colorant : poudre de jus de betterave', 'édulcorants: acésulfame de potassium et sucralose', ' Fabriqué dans un atelier utilisant : gluten', 'œuf', 'sulfites', 'crustacé moutarde', 'poisson', 'céléri fruits à coque']",['Non végétalien'],?,364,1523 kj(364 kcal),2,"1,5",5,"2,5",81,"1,01","0,404","['E322i - Lécithine', 'E415 - Gomme xanthane', 'E950 - Acésulfame K', 'E955 - Sucralose']","['Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
