,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
0,100% MOULIN - Food Méditerranéen,3760197500673,['Food Méditerranéen'],['France'],"['GrosSel de Méditertenéè/arônfe naturel de iatat*ttte', 'thym', ""échalote Food Méditerranée -Zi Athélia 515 avenuéd'l?giahant""]",[],?,0,0 kj(0 kcal),0,0,0,0,"0,1",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sel de camargue - Notre terre - 250g,3760197502271,['Notre terre'],['France'],[],[],?,10,42 kj(10 kcal),"0,09",0,2,"1,5","0,5",88,"35,2",B,250g,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Sel de Camargue', 'Sels des marais salants']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],0.09 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,88 g,en quantité élevée,,+233%,+200%,-9%,-100%,+368%,+694%,+223%,+31%,+31%,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,
2,Sirop bio à la aromatisation naturelle de citron - Notre Terre,3760197502318,['Notre Terre'],['France'],[],[],?,248,1038 kj(248 kcal),"0,05",0,"61,5",59,"0,2",,,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",['Bio'],,,,,,,,,,,+18%,+16%,-60%,-100%,+18%,+19%,+57%,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
3,Sel de Camargue - Notre Terre - 650g,3760197502615,['Notre Terre'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,100,40,B,650g,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sel de Camargue']",,['France'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,+49%,+49%,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,
4,Sel du boucher,3760197503285,,['France'],[],[],?,7,29 kj(7 kcal),0,0,"1,5","1,4","0,3",95,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Vinaigre balsamique saveur truffe - Le Temps Des Mets,3760197509652,['Le Temps Des Mets'],['France'],[],[],?,88,368 kj(88 kcal),0,0,"17,1",15,"0,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,195G 20 Mini Croq. fondant Saumon Labeyrie,3760197630141,['Labeyrie'],['France'],"['Eau', 'pain de mie 28%* [farine de blé ', 'farine de blé', 'gluten de blé', 'farine de blé malté', 'agent de traitement de ta farine : acide ascorbique', 'eau', 'en poudre', 'levure', ""huile d'olive vierge extra"", 'sel', ""émulsifiants : mono- et diglycérides d'acides gras"", 'E472e ', ' agent de traitement de la farine : acide ascorbique', 'râpé', 'saumon ', 'salmo salar', ' 10%*', 'beurre', 'farine de blé', 'lait entieren poudre', 'saumon fumé 1 ', 'salmo salar', 'l sel]', 'jus de citron', 'persil', 'sel', 'paprika 0', '2%*', 'poivre', ' *Pourcentages exprimés sur le mini croque saumon', ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : céréales contenant du gluten', 'lait', 'poissons', ' PEUT CONTENIR des traces de : crustacés', 'œufs', 'soja', 'fruits à coque ', 'noix', 'noisettes', 'amandes', 'pistaches', 'céleri', 'moutarde', 'graines de sésame', 'sulfites', 'mollusques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,222,929 kj(222 kcal),11,"9,3",20,"1,7","9,4","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Poisson', 'Gluten', 'Lait']",4,,,,,,,,,,,
7,Le plaisir aux noix - Labeyrie,3760197630172,['Labeyrie'],['France'],[],[],?,470,1966 kj(470 kcal),17,"6,1",71,33,6,"0,26","0,104",,,"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux et pâtisseries surgelés']",,,17 g,en quantité modérée,6.1 g,en quantité élevée,33 g,en quantité élevée,0.26 g,en faible quantité,,+40%,+39%,-1%,-33%,+83%,+30%,+19%,-5%,-5%,,,,,,,,,,,"['Carton', 'Surgelé']",['France'],"['FR 82.033.006 CE', 'Castelsarrasin (Tarn-et-Garonne, France)']",19,+21%,E,+21%,,,,
8,Désir abricots-praliné - Lenôtre,3760197630332,"['Lenôtre', 'Labeyrie']",['France'],[],[],?,255,1067 kj(255 kcal),"12,3","6,8",31,"19,4","4,2","0,13","0,052",,,"['Desserts', 'Surgelés', 'Desserts glacés']",,,12.3 g,en quantité modérée,6.8 g,en quantité élevée,19.4 g,en quantité élevée,0.13 g,en faible quantité,,+26%,+26%,+45%,+24%,+10%,-18%,+73%,+8%,+8%,,,,,,,,,,,"['Carton', 'surgelé']","['Castelsarrasin', 'France']","['FR 82.033.006 CE', 'Castelsarrasin (Tarn-et-Garonne, France)']",13,+15%,D,+15%,,,,
9,Tarte au fraise,3760197630356,,['France'],[],[],?,192,803 kj(192 kcal),"5,3",3,"32,4",18,"3,1","0,18","0,072",C,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux fraises']",,,5.3 g,en quantité modérée,3 g,en quantité modérée,18 g,en quantité élevée,0.18 g,en faible quantité,,+1%,+0%,-23%,-20%,+9%,+12%,+8%,-22%,-22%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,,6,-24%,C,-24%,,,,
10,Mini succes aux noix,3760197630608,,['France'],[],[],?,447,1870 kj(447 kcal),25,"7,3","44,6","32,6","9,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mini mezze à l'Orientale - Blini,3760197630707,['Blini'],['France'],[],[],1141,?,1141 kj(273 kcal),18,,"15,4",,"11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
