,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
0,Protein Mug Cake Mix,5060385449219,['France'],[],[],?,349,1460 kj(349 kcal),"4,4","1,3",23,"7,4","47,2","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Matcha Green Tea Powder - The Protein Works,5060385449325,['France'],['Unflavored - Matcha Green Tea'],[],?,372,1556 kj(372 kcal),4,"0,58","55,1","3,3","28,9","0,02","0,008",B,['The Protein Works'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,+3000%,+3142%,+3977%,+1525%,+2360%,+173%,+13662%,+37%,+37%,8,+90%,D,+90%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,
2,5060385463154,5060385463154,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,['FSC-C099978'],,,,,,,,,,,,,,,,,,,,,
3,Black Hawk Coffee Stout - Brewmeister - 330ml,5060386350019,['France'],"['Water', 'Barley', 'Wheat', 'Hops', 'Yeast & Coffee']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,['Brewmeister'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,330 ml,"['Bouteille', 'Verre']",['Déconseillé aux femmes enceintes'],"['Scotland', 'UK']",['405'],['Gluten'],3,,,,,,,,,,,,,,
4,Sun Pat Crunchy Peanut Butter - 700G,5060391620022,"['France', 'Royaume-Uni']","['Peanuts 95%', 'Stabiliser: E471', 'Cane Sugar', 'Peanut Oil 1%', 'Sea Salt']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,611,2556 kj(611 kcal),"48,7","9,2","14,5","6,7","24,8",1,"0,4",C,['Sun Pat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Matières grasses', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,+2%,+2%,+1%,+11%,+1%,+6%,+1%,+88%,+88%,-1,-109%,A,-109%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,700G,['Product'],,,,['Arachides'],4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",48.7 g,en quantité élevée,9.2 g,en quantité élevée,6.7 g,en quantité modérée,1 g,en quantité modérée,,,,,
5,Ginger preserve,5060391620336,['France'],[],[],?,266,1113 kj(266 kcal),0,0,"65,9",59,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sun Pat,5060391621821,['France'],[],[],?,616,2577 kj(616 kcal),"49,9","10,2","13,1","5,3","24,8","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Best Strawberry Jam,5060391622163,['France'],[],[],?,252,1054 kj(252 kcal),"0,5","0,2","60,8","49,9","0,3","0,04","0,016",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,+16%,+16%,+107%,+343%,+15%,-2%,-32%,+76%,+76%,8,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,0.5 g,en faible quantité,0.2 g,en faible quantité,49.9 g,en quantité élevée,0.04 g,en faible quantité,,,,,
8,Original Honey,5060391622743,['France'],[],[],?,300,1255 kj(300 kcal),0,0,75,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Raspberry and fresh mint,5060395590031,['France'],[],[],?,85,356 kj(85 kcal),"0,12","0,04","19,6","19,5","0,71",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sirop d'Agave - Naturally Organic - 525g,5060397850065,['France'],"[""Sirop d'agave""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1305,?,1305 kj(312 kcal),0,0,75,75,0,0,0,,['Naturally Organic'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",+0%,,+0%,-100%,-100%,-2%,+3%,-100%,-100%,-100%,13,+1%,D,+1%,,,,,,,,,525 g,"['Bocal', 'Verre']","['Bio', 'Bio européen', 'BE-BIO-01']",['Belgique'],,,1,,0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,['Mexique'],,,,
11,Cocoa Libre Orange Rice Milk Bar,5060397880048,['France'],"['Sugar', 'cocoa butter', 'cocoa mass', 'rice powder ', 'rice syrup', 'rice flour', ' 13', '5%', 'dietary fibre ', 'inulin', 'emulsifier: soya lecithin', 'natural vanilla flavouring', 'natural cocoa flavouring', 'orange oil', ' Allergy advice: see ingredients in bold']",['Sans huile de palme'],?,520,2176 kj(520 kcal),"33,1","20,7","49,4","37,8","1,9",0,0,,['Cocoa Libre'],,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Pur beurre de cacao']",,,,4,['E322i - Lécithine'],,,,,,,,,,,,,
12,"Salted Caramel Peanut, Mit Protein - Dr ZAK'S",5060399740067,['France'],"['uts', 'Whey Protein Isolatte ', 'Peanut* Sheat û*bnÜt', 'Sunfiower Lec tary Fibre', 'Fructoseï Emulsifier ithin', 'Salt Natural Flavour']",[],?,551,2305 kj(551 kcal),"38,1","6,3",13,"8,3",35,"0,52","0,208",,"[""Dr ZAK'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bulk Deal 12 X Dr Zaks Barn Farmed Liquid Egg White - Dr ZAK'S,5060399740418,['France'],"['Energy ', 'kJ\\ Energy skëal of whiçh Saturates Carbohydrate of whict', ' Sugars']",[],?,50,209 kj(50 kcal),"0,5",0,"1,1","1,1","10,2","0,4","0,16",,"[""Dr ZAK'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Smooth peanut,5060399740432,['France'],[],[],?,553,2314 kj(553 kcal),"38,2","6,3",13,"8,4",35,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pack of 3 Deal Dr Zaks Powder P / Butter - Rich Choc 180G - Dr Zak's - 180g,5060399740524,['France'],"['ZAI', ""'S APPROVEO RICH CHOCOLATE POWDERED BUTTER ALL THE TASTE OF PEANUT BUTTER WITH 70% LESS FAT* JUST ADD WATER TO CREATE A CREAMY PEANUT SPREAD 180g SWEETENED WITH STEVIA"", 'A NATURAL SOURCE']",[],?,419,1753 kj(419 kcal),"15,7","3,49","21,14","8,1",41,"0,8","0,32",,"[""Dr Zak's""]",,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,"['Lait', 'Arachides']",,,,,,,,,,,,,,,
