,name,bar_code,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,brand,manufacturing,markets,allergens,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,additives,traceability_code,palm_ingredients,brand_owner
0,Pâtes alimentaires,8008857310602,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['Fabriqué en Italie'],['France'],[],[],1.3 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.007 g,en faible quantité,?,,360,+8%,1506 kj(360 kcal),+8%,"1,3",-50%,"0,2",-71%,73,+18%,3,+8%,"12,5",+8%,"0,007",-97%,"0,003",-97%,-1,,A,,,,,,,,,,,,,,,,,,,,,,,
1,Pasta di semola di grano duro,8008857770192,,,['France'],[],[],,,,,,,,,?,,358,,1498 kj(358 kcal),,"1,3",,"0,2",,73,,"0,2",,12,,"0,007",,"0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Bardolino 2014 - Signore Giuseppe - 0,75l",8008863031331,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens', 'it:Bardolino']",['AOP'],['France'],"['Vin ', 'sulfites']",['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"0,75 l","['Bouteille', 'Verre']",['Signore Giuseppe'],['Italie'],['SImply Market'],['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,
3,8008863040968,8008863040968,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Delser Oasi Con Confettura E Pezzetti Di Mela Merken,8008910025795,,,['France'],[],[],,,,,,,,,?,,417,,1745 kj(417 kcal),,13,,"1,4",,69,,33,,"4,6",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pasta Di Gragnano IGP - Liguori,8008912011147,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",['IGP'],['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,,,?,,353,0%,1477 kj(353 kcal),-0%,"1,2",-33%,"0,3",-21%,"69,9",+0%,"3,1",-2%,"14,1",+14%,,,,,,,,,,,['Liguori'],,,,,C,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,
6,Bucatini - Liguori - 500g,8008912011208,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Bucatini']",,['France'],"['Semoule de BLÉ dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,0 g,en faible quantité,?,,353,+6%,1477 kj(353 kcal),+6%,"1,2",-18%,"0,3",+5%,70,+4%,"3,1",-8%,"14,1",+11%,0,-100%,0,-100%,-1,,A,,500 g,,['Liguori'],,,['Gluten'],1,,,,,,,,,,,,,,,
7,Liguori Rigatoni Gragnano - 500g,8008912011246,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Rigatoni']",['IGP'],['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,0 g,en faible quantité,?,,353,+1%,1477 kj(353 kcal),+0%,"1,2",-15%,"0,3",+2%,70,+0%,"3,1",+9%,"14,1",+9%,0,-100%,0,-100%,-4,,A,,500 g,,['Liguori'],,,,,,,,,,,,,,,,,,,
8,Elicoidalli - Liguori,8008912011390,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']",['Fabriqué en Italie'],['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,0 g,en faible quantité,?,,353,0%,1477 kj(353 kcal),-0%,"1,2",-33%,"0,3",-21%,70,+0%,"3,1",-2%,"14,1",+14%,0,-100%,0,-100%,-4,,A,,,,['Liguori'],,,,,,,,,,,,,,,,,,,
9,Fusilli No. 140 - Liguori,8008912011406,,,['France'],"['Semoule de blé dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,2",,"0,3",,70,,"3,1",,"1,4",,0,,0,,,,,,,,['Liguori'],,,,,,,,,,,,,,,,,,,
