,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,manufacturing,markets,additives,palm_ingredients,allergens,nova_score,ingredients_origins,link,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,brand_owner
0,Saucisson - Salaison de la breche - 3,3426620050503,3,['Salaison de la breche'],"['Viandes', 'Charcuteries', 'Saucissons']",['France'],[],[],32.2 g,en quantité élevée,13.3 g,en quantité élevée,0.78 g,en faible quantité,3.7 g,en quantité élevée,?,,381,-1%,1594 kj(381 kcal),-2%,"32,2",+5%,"13,29",+12%,"0,78",-64%,"0,78",-41%,"22,1",-12%,"3,7",-12%,"1,48",-12%,24,+3%,E,+3%,,,,,,,,,,,,,,,,,,,,,,
1,3427551507418,3427551507418,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,
2,Craquotant - ERHARD PATISSIER GLACIER - 540g,3428420051056,540 g,['ERHARD PATISSIER GLACIER'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Desserts lactés au chocolat']",['France'],"['Mousse chocolat 57,96% : babeurre doux ', 'Lait', 'huiles végétales ', 'palme et palmiste', 'chocolat noir à 50% de cacao 8% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', 'chocolat noir à 70% de cacao 7% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', 'sucre', ""jaune d'OEUF pasteurisé sucré "", ""jaune d'OEUF"", 'sucre', ' dextrose', ""émulsifiants : E472b - E435 - E433 - mono - et diglycérides d'acides gras"", 'arôme', 'stabilisant : carraghénanes', 'colorant : E160a', 'Feuilletine 21,47% : pâte de praliné ', 'sucre', 'NOISETTES ', 'FRUITS À COQUE', 'éclats de crêpe ', 'farine de blé ', 'GLUTEN', 'sucre', 'beurre concentré ', 'LAIT', 'LAIT écrémé en poudre', ""malt d'orge "", 'GLUTEN', 'sel', 'chocolat au LAIT ', 'sucre', 'beurre de cacao', 'poudre de LAIT entier', 'pâte de cacao', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', ""Biscuit amande 18,68% : blanc D'OEUF "", ""blanc D'OEUF"", 'stabilisant : gomme xanthane', 'sucre', 'sucre glace ', 'sucre', 'antiagglomérant : amidon de maïs', 'farine ', 'farine de blé ', 'GLUTEN', 'GLUTEN de blé', ' AMANDES en poudre 1% ', 'FRUITS À COQUE', 'fécule de pomme de terre', 'stabilisant : gomme xanthane', ' Flocage chocolat 1,2% : chocolat noir à 50% de cacao 0,4% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', 'beurre de cacao', 'huile de tournesol', 'Décor 0,69% : copeaux de chocolat noir ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'matière grasse laitière ', 'LAIT', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille']","['Huile de palme', 'Non végétalien']",25.3 g,en quantité élevée,15.2 g,en quantité élevée,31.4 g,en quantité élevée,0.12 g,en faible quantité,?,,401,+162%,1678 kj(401 kcal),+161%,"25,3",+300%,"15,2",+280%,"37,1",+97%,"31,4",+89%,"4,9",+28%,"0,12",-22%,"0,048",-22%,19,+181%,E,+181%,,['Boîte en plastique'],['France'],['Netto'],"['E322i - Lécithine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', 'E433 - Monooléate de polyoxyéthylène de sorbitane', '', 'Risque modéré de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés', 'E415 - Gomme xanthane']",['Huile de palme'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,,,
3,3429671641065,3429671641065,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,café de colombie - cafe le bonifieur - 10,3429731050011,10,['cafe le bonifieur'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,['Dax'],,,,,,['Colombie'],,,,,,,,,,,,,
5,plantain strips - Mister Ho - 55g,0069080795046,55g,['Mister Ho'],['en:Sans gluten'],['France'],[],[],8 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,0.254 g,en faible quantité,?,,140,,586 kj(140 kcal),,8,,1,,0,,0,,1,,"0,254",,"0,102",,1,,B,,['en:gluten-free'],['Sachet'],['Jabamiah'],['Rungis min e5'],,,,,,http://www.misterho1.com,,,,,,,,,,,,
6,Blanc de volaille cuit,3434100077322,,,,['France'],[],[],,,,,,,,,?,,97,,406 kj(97 kcal),,17,,"0,5",,"1,5",,"1,5",,19,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,tisane bio - comptoirs richard - 2.54oz,3434380023064,2.54 oz,['comptoirs richard'],,['France'],"['organic apple pieces', 'organic hibs cus ', '20%', 'organic rosehip', 'organic liquorice', 'organic red fruits flavouring Tisane des Alpages Bio - Vivifiante n mélange savoureux de plantes telles que la gentiane', 'le genièvre et le pin sylvestre Tisane des Alpages Organic - Invigorating A delicious blend of organic herbs: gentian', 'juniper erry', 'scotc ngredients: cynorhodon bio', 'angelique bio', 'genievre bio', 'serpolet bio', 'achillée millefeuille bio', 'sarriette bio', 'gentiane bio', 'ic common r', 'organ ic wild thyme', 'organic common yarrow', 'organic savory', 'organic gentian', 'organic scotch pine Peut contenir des traces de fruits à coques', 'de lait et de May contain traces of nuts', 'milk and soy Poids Net 72g/Net Weight 2', '54oz4']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['36 sachets'],,,,,['Fruits à coque'],,,,"['EMB 67152', 'Geispolsheim (Bas-Rhin, France)']",,,,,,,,,,,
8,Brochettes de thon provencale,3435020031715,,,,['France'],[],[],,,,,,,,,?,,81,,339 kj(81 kcal),,"0,7",,"0,1",,"2,5",,"1,9",,16,,"0,37",,"0,148",,,,,,,,,,,,,,,,"['FR 85.047.012 CE', 'Challans (Vendée, France)']",,,,,,,,,,,
9,Gaufrettes - La Dunkerquoise,3438351360356,,['La Dunkerquoise'],"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",['France'],[],[],14 g,en quantité modérée,8.7 g,en quantité élevée,33 g,en quantité élevée,1.1 g,en quantité modérée,?,,452,+0%,1891 kj(452 kcal),+1%,14,-35%,"8,7",-16%,76,+32%,33,+9%,"6,1",+1%,"1,1",+56%,"0,44",+56%,24,+10%,E,+10%,,,,,,,,,,,,C,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,
