,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,allergens,generic_name,traceability_code,markets,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner
0,Jambon cuit sup fume,0281451032806,['France'],[],[],?,126,527 kj(126 kcal),"4,4","1,6","0,5",0,21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Quick lunch - Maggi,7610100017704,['France'],[],[],?,444,1858 kj(444 kcal),"19,7","10,5","50,1",11,"14,3","4,4","1,76",['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bonbon suppaichu suppai lemon,4902888200939,['France'],[],[],?,413,1728 kj(413 kcal),7,0,"84,8","84,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Brioche tressée à la main,3608732262153,['France'],[],[],?,366,1531 kj(366 kcal),"13,2","8,2","51,8","13,6","9,5","1,3","0,52",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",13.2 g,en quantité modérée,8.2 g,en quantité élevée,13.6 g,en quantité élevée,1.3 g,en quantité modérée,,+3%,+3%,+3%,+29%,+1%,-6%,+18%,+30%,+30%,20,+25%,E,+25%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
4,"100% Pure Sesame Oil, Foreway Brand Large 56 Oz Container",0008112100274,['France'],[],[],?,120,502 kj(120 kcal),14,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Palette de porc cuite,2211322041260,['France'],[],[],?,186,778 kj(186 kcal),14,"4,8",0,0,15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ju pomme gingembre,3770006392269,['France'],[],[],?,42,176 kj(42 kcal),"0,1","0,006","9,95","9,67","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique']",,,,,,,,,,,,,
7,Foie gras entier Grand Héritage - Maison Montfort - 300g,3104544070974,['France'],"['foie gras de canard ', 'origine France', 'sel', 'poivres 0,3%', 'sucre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,528,2209 kj(528 kcal),54,23,"2,7","0,9","7,6","1,2","0,48",['Maison Montfort'],A,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",54 g,en quantité élevée,23 g,en quantité élevée,0.9 g,en faible quantité,1.2 g,en quantité modérée,,+3%,+3%,+2%,+2%,+16%,-33%,+9%,-1%,-1%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['IGP Sud-Ouest'],300g,['Barquette'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,,,,,,
8,Pasta salat - 250g,22176431,['France'],[],[],?,163,682 kj(163 kcal),"5,9","0,5",20,"2,8","6,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
9,Carbonates flamandes,3585260502008,['France'],[],[],?,128,536 kj(128 kcal),"4,8","2,39",4,4,"17,1","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Purée sucrée surgelée Pêche de vigne -,3398281042701,['France'],[],[],?,87,364 kj(87 kcal),"0,5","0,1",21,21,"0,6","0,01","0,004",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pêche']",0.5 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0.01 g,en faible quantité,,-8%,-8%,+170%,+273%,-3%,+0%,-12%,-4%,-4%,0,,B,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,"['Fabriqué en France', 'Sans sucre ajouté']",,,,,,,,,,,,,
11,Amandes en poudre - Biothentic - 150g,3760092216044,['France'],"[""AMANDES Issues de l'agriculture biologique"", ' Risques de traces de gluten', 'oeuf', 'lait', 'arachides', 'soja', 'sésame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,639,2674 kj(639 kcal),"56,7","4,8","5,4","3,6","19,7","0,005","0,002",['Biothentic'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",56.7 g,en quantité élevée,4.8 g,en quantité modérée,3.6 g,en faible quantité,0.005 g,en faible quantité,,+3%,+3%,+6%,+14%,-38%,-15%,-15%,-81%,-81%,-4,-172%,A,-172%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",150 g,,,1,['Fruits à coque'],,,,,,,,
12,Jambon a l ancienne,2264752040211,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,,,,,,,,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,
13,Cecil,4040328067916,['France'],[],[],?,275,1151 kj(275 kcal),"18,5","11,24","1,28","1,22",26,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mac and cheese - Par Ici Cuisine - 280g,3701138134779,['France'],[],[],?,214,895 kj(214 kcal),"10,3","6,76","19,9","1,8","9,8","0,55","0,22",['Par Ici Cuisine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 g,,,,,,,,,,,,
15,Mélange japonais,2600153009776,['France'],[],[],?,399,1669 kj(399 kcal),"6,9","1,5","73,3","2,6","10,1","0,85","0,34",,,['Mélanges de biscuits soufflés'],6.9 g,en quantité modérée,1.5 g,en quantité modérée,2.6 g,en faible quantité,0.85 g,en quantité modérée,,-0%,-1%,-9%,-4%,+2%,-55%,0%,-6%,-6%,3,-48%,C,-48%,,,,,,,,,,,,,,,,,,,,,
16,Comté,0239995020209,['France'],[],[],?,431,1803 kj(431 kcal),35,24,2,"0,5",27,"0,9","0,36",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+9%,+9%,+7%,+11%,+333%,+80%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
17,Confit de canard - Larnaudie,3113010126480,['France'],[],[],?,?,,?,,?,,?,,,['Larnaudie'],E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Confits de canard']",,,,,,,,,,,,,,,,,,,,,,,79.0%,12.3%,1.9%,2.6%,1.0%,3.3%,27,,,,,,,,,,,,,,
18,Huile vierge de noisettes toastées - Guichard Perrachon - 250ml,3222470118680,['France'],"['Huile vierge de noisette', ""\r Traces d'autres fruits à coque et de sésame""]",[],3404,?,3404 kj(814 kcal),92,"9,2",0,0,0,0,0,['Guichard Perrachon'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette', 'Huile vierge']",92 g,en quantité élevée,9.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,-7%,-6%,+7%,-100%,-100%,-100%,-100%,-100%,11,+6%,D,+6%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,250 ml,['Bouteille'],,2,['Fruits à coque'],Huile vierge de noisette,,,,,,,
19,Spaghetti Carbonara - 88g,5028738001071,['France'],[],[],?,518,2167 kj(518 kcal),"27,8","12,5",48,"3,2","17,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88 g,,,,,,,,,,,,
20,Biothelema Acerola 960 Mg - 100 Comprimé,3760192000024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Escalope de dinde,0212700010825,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,"['FR 79.179.002 CE', 'Moncoutant (Deux-Sèvres, France)']",,,,,,
