,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,traceability_code,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,generic_name,allergens,brand_owner,additives,nova_score,markets,ingredients_origins,link,manufacturing,palm_ingredients
0,T'as Un Petit Pois Dans La Tête,3760153930438,['France'],[],[],?,365,1527 kj(365 kcal),"9,3","4,4",49,11,14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Recovery shake chocolate flavour,5060075670916,['France'],[],[],?,61,255 kj(61 kcal),"0,2","0,1","10,8","10,5","3,7","0,1","0,04",['pet-bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Maxi knacks cuites,3445420021704,['France'],[],[],?,190,795 kj(190 kcal),15,"5,5","7,6","0,5",7,"2,1","0,84",,"['FR 76.400.001 CE', 'Luneray (Seine-Maritime, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mekta,2205630004710,['France'],[],[],?,432,1807 kj(432 kcal),39,"16,2","2,8","0,6","17,5","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Browning - Sarson's,5060336500532,['France'],[],[],?,189,791 kj(189 kcal),"0,5","0,5","2,4","2,4","17,3","15,9","6,36",['glass-bottle'],,"[""Sarson's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sisunni white chocolate,5202474081010,['France'],[],[],?,607,2540 kj(607 kcal),44,27,46,31,"6,8","0,06","0,024",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Réserve des chartrons sélect médoc 2015,3423290196029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Baguette maïs,,['France'],[],[],?,244,1021 kj(244 kcal),"3,3","0,9",44,"1,1","9,5","1,3","0,52",,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",3.3 g,en quantité modérée,0.9 g,en faible quantité,1.1 g,en faible quantité,1.3 g,en quantité modérée,,-5%,-5%,+41%,+100%,-10%,-51%,+15%,+7%,+7%,3,-2%,C,-2%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,
8,Bradford mountain,0083187444713,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Confiture de framboises épépinées,2438730444555,['France'],[],[],?,240,1004 kj(240 kcal),0,0,57,57,"0,7","0,04","0,016",,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0.04 g,en faible quantité,,+7%,+7%,-100%,-100%,+7%,+11%,+4%,+88%,+88%,11,+24%,D,+24%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,
10,Brioche sucre,3602826500855,['France'],[],[],?,?,,?,,?,,?,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Parmigiana di Melanzane - Rana,8001665707107,['France'],[],['Sans huile de palme'],?,121,506 kj(121 kcal),"6,7","3,7","5,4","2,9","8,3","0,76","0,304",,,['Rana'],"['Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Super food brot - Blatter GmbH - 1pcs,4002809057014,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,196,820 kj(196 kcal),"7,8","1,3","6,6","1,7",21,"0,68","0,272",,,['Blatter GmbH'],"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1pcs,,,,,,,,,,
13,Beignets glacés -,0059749944632,['France'],[],[],?,380,1590 kj(380 kcal),22,12,40,20,4,"1,5","0,6",,,,,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets sucrés']",22 g,en quantité élevée,12 g,en quantité élevée,20 g,en quantité élevée,1.5 g,en quantité modérée,,+7%,+7%,+39%,+246%,-12%,+23%,-37%,+104%,+104%,24,+100%,E,+100%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,
14,Pain  bucheron,0204908009848,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Monin Agave Syrup,3052911182587,['France'],[],[],?,319,1335 kj(319 kcal),"0,05","0,05",84,84,"0,01","0,01","0,004",,,['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,St RIEUL Bière Blanche sur Lie,3760054630055,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Семечки,4600528353648,['France'],[],[],?,650,2720 kj(650 kcal),61,"7,2","4,5","2,1",21,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Les hauts de joyan,3760056651799,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tomme pur brebis,2488009030835,['France'],[],[],?,400,1674 kj(400 kcal),34,25,"1,5","0,5",22,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sorbet Chocolat,3760029969234,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ben & Jerry Hooked in you - 431g,8714100378410,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431 g,,,,,,,,,,
