,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
0,Green curry chicken,8858984821195,['France'],[],[],?,169,707 kj(169 kcal),"4,1","1,3","24,4","12,8","7,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Petit pavé héritage,3291810079509,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pain au comté - Cora,3021990081906,['France'],[],[],?,?,,?,,?,,?,,,['Cora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sugo Mediterraneo di Melanzane - Cucina Antica,8002960100259,['France'],[],[],?,53,222 kj(53 kcal),"2,9","0,5","4,6","3,5","1,1","0,92","0,368",['Cucina Antica'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Poulet saumure cuit et fumé,0276382039031,['France'],[],[],?,157,657 kj(157 kcal),7,7,"0,6","0,5",22,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ZUNDER MENTHOL,7620184540036,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Confiture de noel,3297771800138,['France'],[],[],?,250,1046 kj(250 kcal),"0,8","0,01","58,7","48,3","2,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Filet de poulet roti,0211791025527,['France'],[],[],?,151,632 kj(151 kcal),"5,7","1,7","0,7","0,7","24,1","1,37","0,548",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",5.7 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.37 g,en quantité modérée,,+4%,+4%,+6%,+25%,+21%,+62%,+2%,+2%,+2%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
8,Cuisse de poulet noir surgelées,3238990518039,['France'],[],[],?,218,912 kj(218 kcal),16,"4,6","0,5","0,5",18,"0,2","0,08",,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",16 g,en quantité modérée,4.6 g,en quantité modérée,0.5 g,en faible quantité,0.2 g,en faible quantité,,+14%,+14%,+29%,+37%,+57%,+223%,-2%,-74%,-74%,1,-72%,B,-72%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
9,Olive verte entière Picholine du Maroc,3473650500164,['France'],[],[],?,139,582 kj(139 kcal),"12,6","1,2","7,9","0,1","0,7","4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
10,Mélange de fruits rouges,2868711019555,['France'],[],[],?,32,134 kj(32 kcal),"0,25","0,04","6,32","5,21","0,72","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
11,Crème de Châtaigne - Giffard,3180290031049,['France'],[],[],?,?,,?,,?,,?,,,['Giffard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fourme d'Ambert aop,2444590017914,['France'],[],[],?,340,1423 kj(340 kcal),28,19,2,"0,5",20,"2,5",1,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,-1%,-0%,-1%,-4%,+103%,+44%,-1%,+13%,+13%,19,+6%,E,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
13,Comté Bio jura flore,2285475026375,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",['Jura Flore'],C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,
14,Chocolat waffeln,7610073957700,['France'],[],[],?,550,2301 kj(550 kcal),36,23,52,42,6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vodka,7312040551804,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Noix de jambon au poivre -,2806021115581,['France'],[],[],?,?,,?,,?,,?,,,,,['Noix de jambons secs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
17,zweigelt - 75cl blle verre,9120020321389,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,75cl blle verre,,,,,,,,,,,,
18,Sachet cone paques - 110g,3760052694066,['France'],[],[],?,542,2268 kj(542 kcal),36,"19,7","44,6","38,8","7,15","0,078","0,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 g,,,,,,,,,,,,
19,Saucisse de Lyon,3760050060290,['France'],[],[],?,263,1100 kj(263 kcal),24,"8,8","0,7","0,7",11,"2,3","0,92",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Lyon']",24 g,en quantité élevée,8.8 g,en quantité élevée,0.7 g,en faible quantité,2.3 g,en quantité élevée,,-1%,-2%,+9%,+5%,-44%,-5%,-29%,+15%,+15%,21,+14%,E,+14%,,,,,,,,,,"['FR 68.040.001 CE', 'Bitschwiller-lès-Thann (Haut-Rhin, France)']",,,,,,,,,,,
20,Rillettes d'oie,3700557600339,['France'],[],[],?,459,1920 kj(459 kcal),"45,4",13,0,0,"12,7","1,48","0,592",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', ""Rillettes d'oie""]",45.4 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,1.48 g,en quantité modérée,,+14%,+15%,+23%,+9%,-100%,-100%,-20%,+14%,+14%,21,+8%,E,+8%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
21,Coquilles st jacques - eismann - 4x 110g,405197906747,['France'],"['Coquilles Saint-Jacques* à la Bretonne', ' Produit surgelé', ' Préparation de noix de St-Jacques* à la bretonne ', 'coquille naturelle', ' Produit à base de noix de St-Jacques*', 'cuit', 'en sauce', ' Ingrédients Noix de Saint-Jacques* ', '60%', ' ', '*Zygochlamys patagonica', 'Origine: Argentine ', 'A', 'USA ', 'B', 'Uruguay ', 'C', ' ou Chlamys opercularis', 'Origine : Iles Féroé ', 'D', 'Royaume-Uni ', 'E', 'France ', 'F', ' ou Argopecten purpuratus', 'Origine Chili ', 'G', 'Pérou ', 'H', ' ou Placopecten magellanicus Origine : Canada ', '1', ' ou Chlamys islandica', 'Origine : Groenland ', 'J', 'Islande ', 'K', 'Russie ', 'L', 'Chlamys albidus', 'Origine Russie ', 'M', 'eau', 'champignons ', 'champignons', 'eau', 'sel', 'acidifiant acide citrique', ' antioxydant acide ascorbique', 'oignons', 'poud re de lait écrémé', 'vin blanc', 'crème fraîche', 'margarine graisse végétale ', 'palme', 'colza', 'huile végétale ', 'palme', 'colza', 'eau', ""émulsifiant mono - et di-glycérides d'acides gras"", ' acidifiant acide citrique', 'farine de blé', 'beurre ', 'colorant caroténoïdes', 'amidon modifié', 'sel', 'cognac modifié', 'ail', 'persil', 'poivre', ' chapelure ', 'avec gluten', ' Mal atin']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,108,452 kj(108 kcal),"4,2","2,4","6,1","1,2","11,3","0,7","0,28",['Eismann'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'en:produced-in-bretagne']",4 x 110g,,['Sachet'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes', 'E14XX - Amidons modifiés']",['Huile de palme'],"['Gluten', 'Lait', 'Mollusques']",4,,,,,,
22,Ail semoule fine - 600g,3550703029541,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Ail et dérivés', 'Ail', 'Légumes séchés moulus', 'Ail sec broyé']",,,,,,,,,,,,,,,,,,,,,,,25.9%,0.0%,39.7%,11.5%,22.9%,0.0%,95,,600 g,,,,,,,,,,,,
23,Pormoniers de Savoie,2309643004382,['France'],[],[],?,252,1054 kj(252 kcal),23,"9,7",0,0,12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Saucisse fine brasse,3547448745218,['France'],[],[],?,204,854 kj(204 kcal),"14,3","5,8","2,3","0,4","16,6","1,87","0,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sucette en chocolat au lait décorée,3664382109064,['France'],[],[],?,542,2268 kj(542 kcal),"31,1","18,8","59,1","57,8","5,6","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Emincés de filet de poulet roti,3435660732027,['France'],[],[],?,113,473 kj(113 kcal),"2,8","0,6","1,7","1,7","20,2","2,3","0,92",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",2.8 g,en faible quantité,0.6 g,en faible quantité,1.7 g,en faible quantité,2.3 g,en quantité élevée,,-22%,-22%,-48%,-56%,+195%,+293%,-14%,+72%,+72%,11,+330%,D,+330%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['en:gluten-free'],,"['FR 22.321.008 CE', ""Saint-Nicolas-du-Pélem (Côtes-d'Armor, France)""]",,,,,,,,,,,
27,Saint Ursin,3760205423390,['France'],[],[],?,306,1280 kj(306 kcal),24,18,"0,5","0,5",22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Purée Poivron rouge,3700073116055,['France'],[],[],?,34,142 kj(34 kcal),0,0,"5,6","4,3","1,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cantal AOP - Monoprix Gourmet,2200901024664,['France'],[],[],?,368,1540 kj(368 kcal),30,19,"0,5",0,25,"2,1","0,84",['Monoprix Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 63113', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,,,,
30,Tomate Bio Allongée,3700344609286,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,
