,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,brand_owner,additives,allergens,nova_score,generic_name,ingredients_origins,manufacturing,link
0,Domaćica,3850102314218,['France'],[],[],?,475,1987 kj(475 kcal),22,11,57,24,"7,5","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mushroom Cream Soup,8690804312250,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tropic acid - Auchan - 175g,3596710459827,['France'],[],[],?,326,1364 kj(326 kcal),"0,5","0,1",71,39,5,"0,01","0,004",E,175 g,['Auchan'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']","['Sans colorants', 'Nutriscore', 'Nutriscore C']",['Auchan'],0.5 g,en faible quantité,0.1 g,en faible quantité,39 g,en quantité élevée,0.01 g,en faible quantité,,-6%,-6%,+3%,-58%,-12%,-35%,+53%,-95%,-95%,12,-17%,D,-17%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,
3,Thé,4030582405128,['France'],[],[],?,395,1653 kj(395 kcal),0,0,"98,3","96,1","0,2","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Flora Plus Multi-Gyn,8714207452501,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,
5,Yogurt Panizzi ai mirtilli,8032774181274,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Guiot professionnel,3265262100166,['France'],[],[],?,323,1351 kj(323 kcal),0,0,"79,7","73,3","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Confiture ananas, mangue, passion, coco - Maison Perrotte",3701090800545,['France'],[],[],?,192,803 kj(192 kcal),"0,6","0,6",46,45,"0,6","0,125","0,05",,,['Maison Perrotte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Thé noir,3664788000750,['France'],[],[],?,1,4 kj(1 kcal),"0,5","0,1","0,1","0,02","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tapenade d'olives noires,3760171280164,['France'],[],[],?,?,,?,,?,,?,,,C,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,,,,,,,,,,,,,,,,,,,,,,,,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,
10,Chardonnay 2017 Cépage de Loire - Guy Saget,3289850063350,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sauce Dessert Au Caramel - Ancel - 1kg,3506170012838,['France'],[],[],?,?,,?,,?,,?,,,,1 kg,['Ancel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Prana Chai Agave Blend,0680569424242,['France'],[],[],?,183,766 kj(183 kcal),"3,3",0,"32,6","29,3",2,"0,413","0,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Slim Body Shake (saveur tarte citron) - Women's Best,9010128011179,['France'],[],[],?,405,1695 kj(405 kcal),11,"2,2","32,1","3,2","41,2","2,4","0,96",,,"[""Women's Best""]",,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Iso tonic - BiotechUSA - 10x 40g,5999076221660,['France'],[],[],?,365,1527 kj(365 kcal),0,0,89,53,0,"1,6","0,64",,10 x 40 g,['BiotechUSA'],"['Boissons', 'Boissons avec sucre ajouté']",,,0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,1.6 g,en quantité élevée,,+329%,+313%,-100%,-100%,+349%,+190%,-100%,+4178%,+4178%,27,+127%,E,+127%,,,,,,,,,,,,,,,,,
15,Chiffonade saucisson,2871723010236,['France'],[],[],?,302,1264 kj(302 kcal),20,"7,1","1,4","1,1",29,"4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 12063', 'Cavalerie (Aveyron, France)']",,,,,,,,
16,Confiture rhubarbe - Les Confitures du Clocher,3770001333052,['France'],[],[],?,220,920 kj(220 kcal),0,0,54,53,0,0,0,D,,['Les Confitures du Clocher'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",,,0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,,-0%,-1%,-100%,-100%,-0%,+1%,-100%,-100%,-100%,11,+18%,D,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
