,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,generic_name,packaging,ingredients_origins,nova_score,manufacturing,additives,allergens,brand_owner,link,palm_ingredients
0,Granfiocco cotto al miele,2293501005959,['France'],[],[],?,268,1121 kj(268 kcal),"18,8","6,9","0,1","0,1","22,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Merguez volaille,2344023002541,['France'],[],[],?,130,544 kj(130 kcal),"5,6","1,5","0,1","0,1","18,8","2,09","0,836",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bnane bio,0209842024537,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pâté de campagne au Floc de Gascogne,3760113830334,['France'],[],[],?,377,1577 kj(377 kcal),35,14,"2,1","0,8",14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Moutarde cèpes et ail - Reine de Dijon,3563490016878,['France'],[],[],?,170,711 kj(170 kcal),"11,1","0,8","3,6","2,5","8,1","5,3","2,12",,B,['Reine de Dijon'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",11.1 g,en quantité modérée,0.8 g,en faible quantité,2.5 g,en faible quantité,5.3 g,en quantité élevée,,0%,+0%,+3%,-2%,-48%,-35%,+23%,+13%,+13%,12,+3%,D,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,
5,Assortiment de chocolats belges,5411901461053,['France'],[],[],?,555,2322 kj(555 kcal),35,19,54,51,"6,1","0,29","0,116",['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Douceur chocolat,3770013312182,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chicken piri piri - Tesco,03280942,['France'],[],[],?,352,1473 kj(352 kcal),"9,2",3,"49,3","8,4","15,9","1,7","0,68",,,['Tesco'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",9.2 g,en quantité modérée,3 g,en quantité modérée,8.4 g,en quantité modérée,1.7 g,en quantité élevée,,+120%,+123%,+24%,+19%,+370%,+435%,+68%,+80%,+80%,14,+317%,D,+317%,,,,,,,,,,,,,,,,,,,,
8,Brie aux Truffes,0205871020663,['France'],[],[],?,277,1159 kj(277 kcal),23,16,0,0,17,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Limoncello Golfondoro,8009710006106,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pailletés De Chocolat Fin,3073417500590,['France'],[],[],?,501,2096 kj(501 kcal),26,16,58,56,5,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
