,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
0,Bonbon eucalyptus - La Confiserie Bressaude,3389681000255,E,['La Confiserie Bressaude'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,77 g,en quantité élevée,0 g,en faible quantité,?,,400,+12%,1674 kj(400 kcal),+12%,0,-100%,0,-100%,98,+18%,77,+33%,0,-100%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
1,Tea apple mix - 100g,8682109360302,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,100 g,,,,,,,,,,,,,
2,Fromage blanc 0% MG -,71066363,C,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,0.11 g,en faible quantité,?,,46,-44%,192 kj(46 kcal),-44%,0,-100%,0,-100%,4,-4%,4,+3%,"7,5",+9%,"0,11",+7%,"0,044",+7%,-4,,A,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,,,
3,Escalope de Dinde - Maître Coq,0215510025256,D,['Maître Coq'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,?,,105,-13%,439 kj(105 kcal),-13%,1,-24%,"0,3",-26%,0,-100%,0,-100%,24,+5%,"0,18",-68%,"0,072",-68%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,"['Nutriscore', 'Nutriscore A']","['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,,,,
4,Les gaufres,3760099533656,,,,['France'],[],[],,,,,,,,,?,,441,,1845 kj(441 kcal),,23,,15,,50,,32,,"7,6",,"0,8",,"0,32",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
5,Soupe de langoustines - Groix & Nature - 480g,3760056414424,E,['Groix & Nature'],"['Plats préparés', 'Soupes', 'Soupes de crustacés', 'Soupes de langoustines']",['France'],"['Eau', 'langoustine ', '16', '9%', 'poissons** vin blanc ', 'sulfites', 'tomates pelées concassées ', 'tomates', 'jus de tomates', 'sel', 'acidifiant : acide citrique', 'échalote', 'carotte', ""huile d'olive"", 'armagnac', 'sel', 'ail', 'poivre', ""piment d'Espelette"", ' *Nephrops norvegicus', 'pêché en Atlantique Nord Est', ' **Pêchés en Atlantique Nord Est']","['Non végétalien', 'Non végétarien']",0.9 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,143,-34%,34,-40%,143 kj(34 kcal),-40%,"0,9",-54%,"0,2",-67%,1,-83%,0,-100%,"4,8",+118%,"1,2",+39%,"0,48",+39%,3,+83%,C,+83%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,480 g,,,"['Bouteille', 'Verre']",['E330 - Acide citrique'],"['Crustacés', 'Poisson', 'Anhydride sulfureux et sulfites']",3,,,,,,,
6,Aiguillettes de poulet aux trois fromages - 1000g,3356067666657,D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],7 g,en quantité modérée,4.5 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,?,,135,+7%,565 kj(135 kcal),+8%,7,+278%,"4,5",+845%,3,+232%,"0,9",+201%,15,-34%,1,+129%,"0,4",+129%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1000 g,['Fabriqué en France'],"['FR 62.865.007 CE', 'Vitry-en-Artois (Pas-de-Calais, France)']",,,,,,,,,,,
7,Tendre & plus langue de boeuf,2498786041061,E,['Tendre & Plus'],"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Langues de bœuf']",['France'],[],[],10 g,en quantité modérée,3.6 g,en quantité modérée,1.7 g,en faible quantité,1 g,en quantité modérée,?,,153,-1%,640 kj(153 kcal),-0%,10,-3%,"3,6",-13%,"3,8",-6%,"1,7",+16%,12,+11%,1,+2%,"0,4",+2%,3,-38%,C,-38%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
8,Windsor levures,0067031000201,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
9,Crackers Tomate-Cajou,3770006003363,,,,['France'],[],[],,,,,,,,,?,,377,,1577 kj(377 kcal),,"17,4",,"2,6",,"37,8",,"6,3",,"14,4",,"0,77",,"0,308",,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,
