,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,traceability_code,markets,quantity,additives,allergens,nova_score,palm_ingredients,ingredients_origins,manufacturing,generic_name,link,brand_owner
0,Reblochon de Savoie au lait cru,2204677002635,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",['France'],[],[],27.6 g,en quantité élevée,16.9 g,en quantité élevée,0.1 g,en faible quantité,1.19 g,en quantité modérée,?,,332,+2%,1389 kj(332 kcal),+3%,"27,6",+3%,"16,9",-10%,"0,1",-73%,"0,1",-56%,"20,8",+4%,"1,19",-11%,"0,476",-11%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
1,Café soluble instantané,5901583409929,E,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,,,,,,,,
2,Hühnerfilet,2826343009542,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,,,,,,
3,Italien spaghetti thon bolognaise - Prozis,5600499536537,,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,"2,3",,"0,8",,11,,"1,5",,"5,8",,"0,23",,"0,092",,,,,,,,,,,,,,['Prozis'],['Sans conservateurs'],,,,,,,,,,,,
4,Lebeekäse pikant,4099200042961,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Réghalal Dinde,2667271023169,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
6,Gigot d'agneau à rotir avec os,2258940012357,,"['Viandes', ""Viandes d'agneau"", ""Gigot d'agneau""]",['France'],[],[],5.1 g,en quantité modérée,1.9 g,en quantité modérée,0 g,en faible quantité,0.12 g,en faible quantité,?,,128,-15%,536 kj(128 kcal),-14%,"5,1",-28%,"1,9",-30%,"0,5",-62%,0,-100%,20,+6%,"0,12",-88%,"0,048",-88%,-3,-207%,A,-207%,,,,,,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,,,,,,
7,Les milanaises,2431641021389,,,['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,"1,3",,"0,4",,"6,6",,0,,22,,"0,86",,"0,344",,,,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,,,
8,Farine d'avoine vanillé naturel - Prozis,5600499579794,,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,6,,1,,64,,1,,12,,,,,,,,,,,,,,,,,,['Prozis'],,,,,,,,,,,,,
9,Frankfurter,4099200220901,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Stück', 'Stück', 'Stück', 'Stück']",,,,,,,,,,,,,,
