,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,eco_score,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,ingredients_origins,link
0,Terrine de chevreuil les Garibotes is,3340950203074,['Les Garibotes'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],28 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,319,+3%,1335 kj(319 kcal),+3%,28,+7%,11,+14%,"0,8",-46%,"0,5",+22%,16,+10%,"1,7",+10%,"0,68",+10%,20,+9%,E,+9%,,,,,,,,,,,,,,,,,,,,
1,Terrine Sanglier 180G Les Garibotes - 180g,3340950203081,['Les Garibotes'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],26 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,306,-1%,1280 kj(306 kcal),-1%,26,-3%,10,+1%,17,+721%,"0,5",-19%,16,+14%,"1,6",+1%,"0,64",+1%,19,+5%,E,+5%,180 g,"['FR 12.056.001 CE', 'Baraqueville (Aveyron, France)']",,,,,,,,,,,,,,,,,,
2,Terrine Canard 180G Les Garibotes - U - 180g,3340950203098,['U'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']","['Sans colorants', 'Sans conservateurs']",['France'],"['Gorge de porc* foie de porc* ', 'viande de canard* 20%', 'sel', ""arôme naturel d'ail poivre"", 'épices assaisonnement moutarde poudre', 'dextrose poudre de lus e citron', 'arôme naturel', ' *Origine France', ' SANS CONSERVATEUR - SANS COLORANT SERVIR FRAIS CE']","['Non végétalien', 'Non végétarien']",28 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,319,+4%,1335 kj(319 kcal),+4%,28,+6%,10,+5%,"0,5",-71%,"0,5",-19%,16,+13%,"1,7",+11%,"0,68",+11%,19,+6%,E,+6%,180 g,,E,4,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,
3,Terrine au Roquefort - Les Garibotes,3340950203142,['Les Garibotes'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines au Roquefort']",,['France'],[],[],28 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,325,-16%,1360 kj(325 kcal),-17%,28,-22%,11,-15%,"0,5",-55%,"0,5",+39%,18,+25%,"1,6",-6%,"0,64",-6%,21,-1%,E,-1%,,,,,,,,,,,,,,,,,,,,
4,"Tripous PROGRE, 4 pièces",3340950701211,,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,6,,3,,"0,5",,"0,2",,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
5,8 Tripoux Tradition 800g - Produits blancs - 800g,3340950701228,['Produits blancs'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au mouton', 'Tripoux']",['Sans colorants'],['France'],[],[],6 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,1.3 g,en quantité modérée,?,,120,+3%,502 kj(120 kcal),+2%,6,+39%,3,+159%,"0,5",-21%,"0,2",+12%,16,+5%,"1,3",+25%,"0,52",+25%,3,+161%,C,+161%,800 g,,,,,,,,,,,,,,,,,,,
6,Gésiers de canard confits émincés,3340950706261,,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],7 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.8 g,en quantité élevée,?,,185,-1%,774 kj(185 kcal),-0%,7,+13%,2,-2%,"0,5",+97%,"0,3",+71%,30,+4%,"1,8",+24%,"0,72",+24%,5,-19%,C,-19%,,"['FR 12.056.001 CE', 'Baraqueville (Aveyron, France)']",,,,,,,,,,,,,,,,,,
7,Choucroute - choucroute du Rhin - 1kg,3340994501556,['choucroute du Rhin'],"['Plats préparés', 'Choucroutes']",,['France'],"['choucroute', 'jus de cuisson', 'saindoux', 'riesling', 'arômes ', 'lait', 'Arôme de fumé', 'oignons frits ', 'oignons', 'matière grasse végétale ', 'palme', 'farine de blé', 'sel', 'E300']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,1 kg,"['EMB 67338', 'Obenheim (Bas-Rhin, France)']",C,4,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,choucroute,['Plastique'],['Boucheries André'],['E300 - Acide ascorbique'],"['Gluten', 'Lait']",,,,
8,8 beignets de crevette - Varenne Gastronomie,3341181020195,['Varenne Gastronomie'],"['Snacks', 'Snacks salés', 'Beignets salés']",,['France'],[],[],21.7 g,en quantité élevée,1.97 g,en quantité modérée,0.4 g,en faible quantité,0.8 g,en quantité modérée,?,,302,+32%,1264 kj(302 kcal),+34%,"21,7",+134%,"1,97",+58%,"14,9",-41%,"0,4",-89%,"11,3",+66%,"0,8",-46%,"0,32",-46%,2,-71%,B,-71%,,,,,,,,,,,,,,,,,,,,
9,Pastillas,3341181021338,,,,['France'],[],[],,,,,,,,,?,,202,,845 kj(202 kcal),,"9,6",,"4,4",,"16,7",,"2,7",,"10,8",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,
10,Œufs Plein air - Les fermiers de marin - 6,3341400002018,['Les fermiers de marin'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air', 'Œufs frais']","['Haute-savoie', 'Oeufs-code-1', 'Poules-elevees-en-plein-air']",['France'],"['Œufs frais de poules élevées en plein air', 'classe A']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6,"['FR 74.166.001 CE', 'Marin (Haute-Savoie, France)']",C,1,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,['boite œufs carton'],,,,,,,
11,Rochebaron 30 %,3341501000128,"['Rochebaron', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français']",,['France'],[],[],30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,342,-4%,1431 kj(342 kcal),-4%,30,-2%,21,-1%,"0,5",-33%,"0,5",+146%,18,-8%,"1,9",-34%,"0,76",-34%,17,-8%,D,-8%,,,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
12,Doux réveil 10 Croissants - 400grammes,3341520052108,['doux reveil'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",,['France'],"['Farine de blé', 'matières grasses végétales ', 'palme', 'colza', 'eau', 'sucre', 'levure', 'sel', 'fructose', 'émulsifiants ', 'E471', 'E472e', 'arôme naturel ', 'contient alcool', 'protéines de lait', 'levure désactivée', 'conservateur ', 'propionate de calcium', 'épaississant ', 'E466', 'arôme', 'colorant ', 'E160a']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",16 g,en quantité modérée,7.9 g,en quantité élevée,9.8 g,en quantité modérée,1.1 g,en quantité modérée,?,,367,-5%,1536 kj(367 kcal),-5%,16,-26%,"7,9",-41%,49,+16%,"9,8",+24%,"7,5",+1%,"1,1",+15%,"0,44",+15%,17,-9%,D,-9%,400grammes,,B,4,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,['Sachet'],,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E282 - Propionate de calcium', 'E466 - Carboxyméthylcellulose', 'E160a - Carotènes mélangés']","['Gluten', 'Lait']",,,,
