,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,origin_detail,producer_info,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,link,brand_owner
0,Pains au chocolat - Carrefour - 720g,3560070748570,D,16 pains au chocolat.,720 g,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']","['Huile de palme durable', 'Fabriqué en France', 'Nutriscore', 'Nutriscore D', 'RSPO']",Ces pains au chocolat sont fabriqués en France avec de la farine de blé française et du chocolat de diverses origines.,Fabriqué en France pour Interdis. La lettre inscrite en fin de numéro de lot sur le coté du sachet identifie le lieu de fabrication C : EMB 22389 ou D = EMB 89206A,['Montagne-sur-Sèvre (85)'],"['EMB 85151B', 'Mortagne-sur-Sèvre (Vendée, France)', 'EMB 21054D', ""Beaune (Côte-d'Or, France)"", 'EMB 22389', ""Yffiniac (Côtes-d'Armor, France)"", 'EMB 89206A', 'Joigny (Yonne, France)']",['Carrefour'],['France'],"['Farine de blé 40%', 'huile de palme* 14%', 'chocolat 13% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille', 'eau', 'levain ', 'eau', 'farine de blé 3,8%', 'ferments lactiques', 'farine de seigle', 'farine de blé malté', 'sucre', 'œufs entiers frais 2,6%', 'beurre concentré', 'levure', 'poudre de lait écrémé', 'sel', ""émulsifiants : mono - et diglycérides d'acides gras et stéaroyl-2-lactylate de sodium"", 'arôme naturel ', 'contient alcool', 'gluten de blé', 'farine de germes de caroube', 'antioxydant : acide ascorbique', 'épaississant : farine de graines de caroube', 'colorant : caroténoïdes', 'Peut contenir des traces de soja et de graines de sésame']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E410 - Gomme de caroube', 'E160 - Caroténoïdes']",['Huile de palme'],"['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,22 g,en quantité élevée,12 g,en quantité élevée,13 g,en quantité élevée,0.82 g,en quantité modérée,1744,+4%,417,+5%,1744 kj(417 kcal),+5%,22,+0%,12,-10%,46,+9%,13,+8%,"7,4",+3%,"0,82",-9%,"0,328",-9%,18,-9%,D,-9%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,
1,Yaourt nature 0% - Carrefour - 500g e (4 * 125g),3560070847945,B,Yaourt Nature 0%,500 g e (4 * 125 g),['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Réfrigérés', 'Yaourts', 'Yaourts nature']","['Peu ou pas de matière grasse', 'Point Vert', 'Fabriqué en France', 'Sans matière grasse']",,,['France'],"['EMB 89209', 'Jouy (Yonne, France)']",['Carrefour'],"['France', 'Monaco']","['lait écrémé', 'lactose et protéines de lait', 'ferments lactiques']",,,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en faible quantité,0.13 g,en faible quantité,?,,38,-47%,159 kj(38 kcal),-47%,0,-100%,0,-100%,"4,5",-8%,"4,5",+1%,"4,5",+9%,"0,13",+8%,"0,052",+8%,-2,-453%,A,-453%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,"['Pot', 'Frais', 'Plastique']",,,
2,Sauce algérienne - Carrefour - 355g,3560070918560,,Sauce condimentaire,355 g,['Carrefour'],"['Epicerie', 'Sauces']",['Fabriqué en Belgique'],,,['Belgique'],['EMB B-01341'],"['Casino', 'Carrefour']","['France', 'Maroc']","['Huile de colza', 'eau', 'sirop de glucose-fructose', 'oignons', 'purée de tomates', ""jaune d'oeuf"", ""vinaigre d'alcool"", 'sel', 'acidifiants : glucono-delta-lactone', 'acide citrique', 'acide lactique', 'amidon modifié', ""jus d'oignons concentré"", ""poudre d'oignons"", 'amidon', ""extrait d'épice"", 'poivron', 'conservateur : sorbate de potassium', 'épices', 'épaississant : farine de graines de caroube', 'arôme naturel de capsicum', 'colorant : extrait de paprika']","['E575 - Glucono-delta-lactone', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E160c - Extrait de paprika']",,['Œufs'],['Non végétalien'],4,41 g,en quantité élevée,3.3 g,en quantité modérée,12 g,en quantité modérée,1.6 g,en quantité élevée,?,,440,+85%,1841 kj(440 kcal),+87%,41,+127%,"3,3",+53%,15,+51%,12,+86%,"1,3",-52%,"1,6",-34%,"0,64",-34%,17,+47%,D,+47%,,,,,,,,"['Flacon', 'Plastique', 'Opercule']",,,
3,Yaourt au lait entier vanille - Carrefour - 125g,3560070936847,,"Yaourt ferme au lait entier sucré à la vanille, issu de l'agriculture biologique.",125 g,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille', 'Yaourts entiers']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'en:Lait-francais-french-milk']","Ce yaourt à la vanille Carrefour bio est fabriqué en France à partir de lait origine France , de sucre de canne provenant de Thaïlande et d'arôme naturel de vanille de diverses origines.",Fabriqué par EMB 31555 pour Interdis - TSA 91431 - 91343 MASSY Cedex - France.,['France'],"['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)', 'EMB 31555', 'Toulouse (Haute-Garonne, France)']",['Carrefour'],['France'],"['Lait entier bio 89,7%', 'sucre de canne bio 8,5%', 'poudre de lait écrémé bio', 'arôme naturel de vanille 0,7%', 'ferments lactiques']",,,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,3.3 g,en quantité modérée,2.2 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,367,-2%,87,-10%,367 kj(87 kcal),-9%,"3,3",-6%,"2,2",-2%,11,-8%,11,-1%,"3,1",-19%,"0,1",-7%,"0,04",-7%,4,+49%,C,+49%,,,,,,,,"['Pot', 'Plastique']","['France', 'Thaïlande', 'Divers']",,
4,Purée Pommes - Carrefour Bio - 4 * 90g (360g),3560070967209,A,,4 * 90 g (360 g),"['Carrefour Bio', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']","['Peu ou pas de sucre', 'Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-10', 'Fabriqué en France', 'Sans sucre ajouté', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,"['France', 'MATERNE']","['EMB 02103', 'Boué (Aisne, France)', 'EMB 26006', 'Allex (Drôme, France)']",['Carrefour'],['France'],"['Purée de pommes bio 99,9%', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.6 g,en faible quantité,0.2 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,?,,56,-12%,234 kj(56 kcal),-12%,"0,6",+103%,"0,2",+192%,11,-23%,10,-25%,0,-100%,0,-100%,0,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['Carton'],['Union européenne'],,
5,Confiture d'orange de Corse et clementines - Reflets de France - 325g,3560070986927,D,Confiture d'orange ... et de clémentines ...,325 g,['Reflets de France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'agrumes mélangés""]",,,,,,['Carrefour'],['France'],"['Sucre de canne', 'orange 21 g', 'clémentines 21 g', 'gélifiant : pectines', 'acidifiant : acide citrique']","['E440 - Pectines', 'E330 - Acide citrique']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,?,,244,+7%,1021 kj(244 kcal),+8%,0,-100%,0,-100%,60,+9%,60,+15%,0,-100%,0,-100%,0,-100%,8,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Pot', 'Verre', 'Métal']",['Corse'],https://www.refletsdefrance.fr/produits/epicerie-sucree-et-terroir/confitures/confiture-d-oranges-de-corse-et-de-clementines-cuite,
6,Jus d'orange Bio 100% pur fruit pressé - Carrefour Bio - 20cl,3560071080112,C,Jus d'orange.,20 cl,"['Carrefour Bio', 'Carrefour']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Riche en vitamine C']",,,['France'],,['Carrefour'],['France'],"['100% pur fruit pressé', 'vitamine C']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,?,,39,-9%,163 kj(39 kcal),-10%,0,-100%,0,-100%,9,-7%,9,-2%,0,-100%,0,-100%,0,-100%,2,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Brique'],,,
7,MACARONI de POIS CHICHES 100% légumineuse - Carrefour veggie - 250g,3560071081348,B,Spécialité de farine de pois chiches.,250 g,"['Carrefour veggie', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['Carrefour-veggie'],"Ces pâtes sont fabriquées en Italie à partir de pois chiches cultivés en Union Européenne, Turquie, Canada, États-Unis et Argentine.",Fabriqué en Italie pour EMB 91377B pour Interdis.,['Italie'],"['L-3847', 'EMB 91377B', 'Massy (Essonne, France)']",['Carrefour'],"['France', 'Espagne']",['Farine de pois chiches 100%'],,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,5.7 g,en quantité modérée,0.9 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,1531,+1%,363,+2%,1531 kj(363 kcal),+2%,"5,7",+185%,"0,9",+103%,55,-21%,"2,5",-20%,19,+52%,0,-100%,0,-100%,-6,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Boite en carton'],"['Canada', 'Union européenne', 'Turquie', 'Etats-unis argentine']",,
8,Miel liquide de France - Carrefour - 375g,3560071082345,B,,375 g,['Carrefour'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels liquides']",,,,,,['Carrefour'],['France'],['100% miel de France'],,,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['France'],,
9,"Mélange Quinoa Courgettes, Carottes - Carrefour bio - 250gr",3560071117207,B,,250gr,"['Carrefour bio', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,['France'],['59606B'],['Carrefour'],['France'],"['Eau', 'quinoa blond* 28%', 'courgette* 14%', 'carotte* 11%', 'purée de tomate double concentrée*', 'oignon*', ""huile d'olive vierge extra* "", 'ail* ', 'sel marin non rafiné', 'persil*', 'cumin en poudre*', 'poivre noir*', "" * Ingrédients issus de l'agriculture biologique""]",,,,[],3,4 g,en quantité modérée,0.7 g,en faible quantité,2 g,en faible quantité,0.7 g,en quantité modérée,?,,120,-64%,502 kj(120 kcal),-64%,4,-26%,"0,7",+7%,15,-73%,2,-21%,"3,5",-70%,"0,7",+329%,"0,28",+329%,-3,,A,,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,['250gr'],,,
