,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,labels,origin_detail,ingredients_origins,producer_info,allergens,link,palm_ingredients,brand_owner
0,Confiture Pêche - Carrefour - 370g,3560070224524,A,370 g,"['Pot', 'Verre']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches', 'Pâtés végétaux']",['France'],"['EMB 19121', 'Lubersac (Corrèze, France)', 'EMB 10121', 'Dampierre (Aube, France)']",['Carrefour'],['France'],"['Sucre', 'pulpe de pêche', 'purée de pêches', 'sucre de canne', 'gélifiant : pectine de fruits', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,1055,+12%,249,+16%,1055 kj(249 kcal),+17%,~ 0,-100%,~ 0,-100%,60,+15%,58,+15%,~ 0,-100%,~ 0,-100%,0,-100%,11,+19%,D,+19%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,
1,Miel de la Cordillère des Andes - Chili - Carrefour - 500g,3560070254903,B,500 g,"['Bocal', 'Verre', 'couvercle métallique']","['Carrefour', 'Agir Carrefour']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,"['EMB 39439', 'Port-Lesney (Jura, France)']",['Carrefour'],['France'],['Miel de montagne du Chili'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0 g,en faible quantité,?,,304,+21%,1272 kj(304 kcal),+18%,0,-100%,0,-100%,82,+9%,82,+24%,"0,3",-22%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,Miel de montagne du Chili issu du commerce équitable certifié Fairtrade/Max Havelaar (100% du poids total).,"['Commerce équitable', 'Max Havelaar', 'FLO-cert']",Origine : Chili,['Chili'],Conditionné par EMB 39439 pour INTERDIS - TSA 91431 - 91343 MASSY Cedex - France.,,,,
2,Noix de macadamia grillées salées - Carrefour - 100g,3560070261086,D,100 g,"['Sachet', 'Plastique']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits à coques et dérivés', 'Produits déshydratés', 'Fruits à coques', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de Macadamia']",['France'],,['Carrefour'],['France'],"['Noix de Macadamia 96%', 'huile de tournesol 3%', 'sel 1%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,74 g,en quantité élevée,11 g,en quantité élevée,5.5 g,en quantité modérée,1 g,en quantité modérée,3096,,750,+3%,3096 kj(750 kcal),+2%,74,+2%,11,-3%,12,+46%,"5,5",+18%,"8,2",-1%,1,+192%,"0,4",+192%,11,-28%,D,-28%,93.0%,1.3%,2.5%,1.5%,1.7%,0.0%,37,Noix de Macadamia grillées à l'huile et salées,"['Labels de distributeurs', 'Qualité Carrefour']",,,,['Fruits à coque'],,,
3,Fruits du verger - Carrefour - 280g égoutté,3560070279104,,280 g égoutté,"['Carton', 'Coupelles', 'Plastique', 'Pot']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Cocktail de fruits au sirop']",['Espagne'],,"['Carrefour', 'Carrefour market']",['France'],"['Fruits 58 % ', 'pêches', 'poires', 'jus de raisin à base de concentré', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,222,-20%,63,-5%,222 kj(63 kcal),-20%,0,-100%,0,-100%,14,-8%,14,+4%,0,-100%,0,-100%,0,-100%,1,,B,,,,,,,,,Morceaux de pêches et poires au jus de raisin à base de concentré sans sucres ajoutés,"['Fabriqué en Espagne', 'Sans sucre ajouté']",,,,,https://www.carrefour.fr/p/fruits-au-sirop-s-sucres-ajoutes-carrefour-3560070279104,,
4,Miel d'Acacia - Carrefour - 500g,3560070279227,B,500 g,,['Carrefour'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,"['EMB 39439', 'Port-Lesney (Jura, France)', 'SANS']",['Carrefour'],['France'],"[""Mélanges de miels d'Acacia originaires et non originaires de l'Union Européenne""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,?,,316,+9%,1322 kj(316 kcal),+9%,0,-100%,0,-100%,50,-35%,50,-29%,"0,5",+44%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,Miel d'Acacia,,Origine : Ce miel a été conditionné en France à partir de miel récolté en Hongrie et Moldavie.,"['Hongrie', 'Moldavie']",Conditionné par EMB 39439 pour INTERDIS,,,,
5,Carottes extra-fines - Carrefour - 400g,3560070303076,B,400 g,['Conserve'],['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Carottes', 'Carottes en conserve']",,,['Carrefour'],['France'],[],,[],,0.5 g,en faible quantité,0 g,en faible quantité,3.1 g,en faible quantité,0.5 g,en quantité modérée,?,,31,-16%,130 kj(31 kcal),-15%,"0,5",+29%,0,-100%,5,-11%,"3,1",-5%,"0,8",-37%,"0,5",-13%,"0,2",-13%,-5,,A,,23.7%,34.6%,15.8%,8.2%,11.2%,6.5%,87,,,,,,,,,
6,"Orange Jus à base de concentré - Carrefour Discount - 1,5l",3560070333127,D,"1,5 l","['Brique', 'Carton', 'Bouchon', 'Plastique', 'Tetra Pak', 'Tetra Brik Aseptic']","['Carrefour Discount', 'Carrefour']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]","[""Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon"", 'Indre', 'Centre-Val de Loire', 'France']","['EMB 36229', 'Varennes-sur-Fouzon (Indre, France)', 'EMB 59481', 'Quesnoy (Nord, France)', 'EMB 74224F', 'Roche-sur-Foron (Haute-Savoie, France)']","['Carrefour', 'Carrefour market', 'Carrefour express']","['France', 'Pologne', 'Roumanie', 'Espagne']","[""Jus d'orange à base de concentré"", 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.1 g,en faible quantité,196,+8%,46,+7%,196 kj(46 kcal),+8%,0,-100%,0,-100%,11,+14%,11,+21%,"0,5",-20%,"0,1",+1109%,"0,04",+1109%,5,+67%,C,+67%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Jus d'orange à base de concentré,"['en:FSC', 'FSC Mix']",,,Fabriqué en France par EMB 59481 pour Interdis.,,,,
7,Sorbet Mangue - Carrefour - 1l,3560070335541,B,1 l,,['Carrefour'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Sorbets', 'Glace en bac', 'Sorbets à la mangue']",,"['EMB 61006C', 'Argentan (Orne, France)']",['Carrefour'],['France'],"['Sorbet à la mangue 95,2 % :Eau', 'purée de mangue 33,3%', 'sirop de glucose-fructose', 'sucre', 'dextrose', 'stabilisants : gomme guar - farine de graines de caroube - pectines', 'jus de citron concentré', 'arôme naturel', 'protéines de pois hydrolysées', 'colorants : caroténoïdes et curcumine', 'Morceaux de mangue semi-confits 4,8 % : Mangue 4%', 'sucre', 'jus de citron concentré', "" Pourcentages exprimés sur l'ensemble du produit"", ' Peut contenir des traces de fruits à coque et de lait']","['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E440 - Pectines', 'E160 - Caroténoïdes', 'E100 - Curcumine']",[],4,0.5 g,en faible quantité,0 g,en faible quantité,28 g,en quantité élevée,0.03 g,en faible quantité,526,,124,-33%,526 kj(124 kcal),-33%,"0,5",-92%,0,-100%,30,+3%,28,+10%,"0,5",-80%,"0,03",-83%,"0,012",-83%,7,-36%,C,-36%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"Sorbet à la mangue, aromatisé, avec des morceaux de mangue semi-confits","['Arômes naturels', 'Nutriscore', 'Nutriscore C']",,,Fabriqué en France par EMB 61006C pour Interdis.,,,,
8,Gorgonzola - carrefour - 150g,3560070338832,C,150 g,"['Barquette', 'Plastique', 'Frais']",['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages italiens', 'Fromages pasteurisés', 'Gorgonzolas', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']",['Italie'],,['Carrefour'],['France'],"['lait de vache entier pasteurisé', 'ferments lactiques', 'sel', 'présure animale', 'penicillium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,1349,+3%,325,-1%,1349 kj(325 kcal),-2%,27,-3%,19,-1%,"0,6",+3%,0,-100%,19,+5%,2,+33%,"0,8",+33%,17,+17%,D,+17%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,"Fromage italien AOP, à pâte persillée, au lait de vache pasteurisé","['Point Vert', 'Fabriqué en Italie', 'Nutriscore', 'Nutriscore D', 'AOP', 'Eco-Emballages', 'Gorgonzola']",,['Italie'],,['Lait'],,,
9,Olives noir - Carrefour Discount,3560070340194,B,,,['Carrefour Discount'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives entières', 'Olives noires entières']",,,['Carrefour'],['France'],[],,[],,16 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,2.1 g,en quantité élevée,?,,152,-46%,636 kj(152 kcal),-47%,16,-43%,"2,6",-34%,0,-100%,0,-100%,0,-100%,"2,1",-58%,"0,84",-58%,9,-34%,C,-34%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,
