,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,labels,markets,link,generic_name,palm_ingredients,producer_info,brand_owner
0,Cervelas - Nos Recettes Privilège,3266110600869,E,['Nos Recettes Privilège'],"['Viandes', 'Charcuteries', 'Saucisses', 'Cervelas']","['FR 22.364.008 CE', ""Trélivan (Côtes-d'Armor, France)""]",['France'],"['recette/ Privilège Cervelas sauce vinaigrette Cervelas 61% ', 'viande de porc 37%', 'eau', 'gras de porc', 'sel', 'lactose', 'protéines de lait', 'arômes', 'sirop de glucose', 'plasma de porc', 'dextrose', 'émulsifiants E450-E451 ', 'plantes aromatiques', 'acidifiants : E262-E575', 'exhausteur de goût : E621 ', 'antioxydants : E300-E316', 'conservateurs : €250&326', 'colorants : El 20-EI 50a', 'bouillon ', 'eau', 'os et viande', 'gélatine de porc et ferment', 'boyau collagène ', 'collagène', 'glycérine', 'cellurose', 'colorantes', ' 20 - El huile de colza', 'oignons', 'eau', 'cornichons 5%', ""vinaigre d'alcool et de vin"", 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur : sulfite acide de sodium', 'persil', 'sel', 'conser - vateur bisulfite de sodium', 'poivre', 'épaississant : E415', ' Traces de gluten ', 'lèuf']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E428 - Gélatine', 'E422 - Glycérol', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Lait', 'Moutarde']","['Non végétalien', 'Non végétarien']",4,22 g,en quantité élevée,4.8 g,en quantité modérée,1.4 g,en faible quantité,2 g,en quantité élevée,?,,247,-9%,1033 kj(247 kcal),-9%,22,-8%,"4,8",-43%,"1,7",+34%,"1,4",+65%,"9,5",-24%,2,-5%,"0,8",-5%,15,-23%,D,-23%,84.8%,9.7%,1.8%,1.2%,0.7%,1.9%,15,,,,,,,,,,,
1,Salade piémontaise traditionnelle au jambon superieur - nos recettes privilége - 1kg,3266110601507,B,['nos recettes privilége'],"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']","['FR 22.364.008 CE', ""Trélivan (Côtes-d'Armor, France)""]",['France'],"['Pommes de terre 42%', 'jambon cuit supérieur 15% ', 'jambon de porc ', 'origine France', 'sel', 'dextrose', 'arômes', 'bouillon ', 'eau', 'os et viande de porc', 'antioxydant : E316', 'conservateur: E250', 'gélatine de porc', 'mayonnaise ', 'huile de colza', 'eau', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur: sulfite acide de sodium', ""jaune d'oeuf"", 'vinaigre', 'sel', 'épaississants: gomme guar - gomme xanthane', 'tomates fraîches 11,5%', 'oeuf 11,5%', 'cornichons 3%', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur: sulfite acide de sodium', 'sel', 'vinaigre', 'poivre', 'acidifiants : E260-E330', 'affermissant : chlorure de calcium', 'conservateur : métabisulfite de potassium', ' Traces de lait', 'gluten et fruits à coque']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E260 - Acide acétique', 'E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,1.1 g,en faible quantité,0.7 g,en faible quantité,0.82 g,en quantité modérée,?,,156,+4%,653 kj(156 kcal),+5%,11,+3%,"1,1",+7%,"7,4",-11%,"0,7",-3%,"6,4",+57%,"0,82",-18%,"0,328",-18%,1,-70%,B,-70%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,1 kg,['barquette plastique'],['France'],['22230 Le mené'],,,,,,,
2,Galettes Fines Maïs et Riz Chocolat Saveur Caramel - La Vie Claire - 90g,3266191002217,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées']",,['France'],[],,,[],,25.8 g,en quantité élevée,16.1 g,en quantité élevée,29.3 g,en quantité élevée,0.4 g,en quantité modérée,?,,499,+19%,2088 kj(499 kcal),+18%,"25,8",+164%,"16,1",+229%,"60,6",-17%,"29,3",+201%,"5,6",-26%,"0,4",+55%,"0,16",+55%,23,+255%,E,+255%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,90 g,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'BE-BIO-02', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['La Vie Claire'],,,,,
3,La bio est dans ma nature - Fraises confiture extra - La Vie Claire - 350g,3266191151052,C,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['France'],"['Fraises*', 'sucre de canne non raffiné*', 'jus concentré de citron*', 'gélifiant : pectine de fruits', "" *Ingrédients agricoles issus de l'Agriculture Biologique"", ' Confiture préparée avec 60g de fruits pour 100g', ' Teneur totale en sucres : 61 g pour 100g']",['E440 - Pectines'],,[],4,0.34 g,en faible quantité,0.34 g,en faible quantité,60 g,en quantité élevée,0.1 g,en faible quantité,?,,246,+13%,1029 kj(246 kcal),+13%,"0,34",+41%,"0,34",+654%,"60,2",+13%,60,+18%,"0,4",-10%,"0,1",+341%,"0,04",+341%,12,+37%,D,+37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,350 g,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],,,,,
4,Ratatouille à la provençale - Alain Martin - 780g,3267615005883,B,['Alain Martin'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles', 'Ratatouille en conserve']","['FR 33.090.007 CE', 'Canéjan (Gironde, France)']",['France'],"['Tomates', 'oignons', 'courgettes', 'poivrons', 'aubergines', ""huile d'olive"", 'sucre', 'sel', 'arômes', 'herbes de Provence']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,2 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,0.41 g,en quantité modérée,?,,43,-37%,180 kj(43 kcal),-35%,2,-47%,"0,3",-44%,"4,3",-16%,"3,7",-5%,"1,3",+10%,"0,41",-42%,"0,164",-42%,1,+2%,B,+2%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,780 g,['Bocal'],,['France'],['Fabriqué en France'],['Leclerc'],,,,,
5,Rosette de Lyon Merle 8 tranches - Les extra fines du forez,3268750004014,D,['Les extra fines du forez'],"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['FR 42.165.006 CE', 'Panissières (Loire, France)']",['France'],"['Ingrédienb : Viande de ', 'rigine UE', ' ', ' lectse ', ' el ', ' ', ' et pkìfltes aromatiques ', ' sacchaŒe ', ' : de kìCtqxs de 160g de viande mis en pour 100g']",,,"['Non végétalien', 'Non végétarien']",,25.9 g,en quantité élevée,9.1 g,en quantité élevée,2.4 g,en faible quantité,4.67 g,en quantité élevée,?,,351,-4%,1469 kj(351 kcal),-4%,"25,9",-9%,"9,1",-20%,"2,4",+24%,"2,4",+66%,"27,1",+6%,"4,67",+4%,"1,868",+4%,23,-2%,E,-2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
6,"Cuisses de Poulet - Picard - 1,5kg e",3270160007271,C,['Picard'],"['Viandes', 'Surgelés', 'Volailles', 'Poulets', 'Cuisses de poulet']","['FR 89.069.001 CE', 'Chailley (Yonne, France)']",['France'],"['Cuisses de poulet ', 'France']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,14 g,en quantité modérée,4.2 g,en quantité modérée,0.5 g,en faible quantité,0.21 g,en faible quantité,830,+2%,200,+5%,830 kj(200 kcal),+4%,14,+13%,"4,2",+25%,"0,5",+57%,"0,5",+223%,"0,21",-99%,"0,21",-72%,"0,084",-72%,6,+70%,C,+70%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"1,5 kg e","['Sachet', 'Plastique']",['France'],['France'],['Point Vert'],['Picard'],https://www.picard.fr/produits/cuisses-de-poulet-000000000000000727.html,,,,
7,Sorbet Abricot-Nougat - Picard - 430g,3270160738212,,['Picard'],,,['France'],[],,,[],,,,,,,,,,?,,238,,996 kj(238 kcal),,"9,1",,"6,4",,34,,20,,"3,2",,"0,08",,"0,032",,,,,,,,,,,,,430 g,,,,,['Picard'],,,,,
8,"10 Boulettes Courgette, Avoine, Emmental - Picard - 200g",3270160875788,,['Picard'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",,['France'],"['Courgette : 32,7 %', ""préparation à base d'œufs "", 'Blanc d’œuf issu de poule élevée en plein air ', 'liquide', 'pasteurisé', ' sel', ' 20,4 %', 'flocon d’avoine ', 'gluten', ' 27,4 %', 'emmental ', 'lait', 'origine : Autriche', ' 8,9 %', 'protéine de lait', 'basilic', 'oignon', 'graine de tournesol 2,3 %', 'fibre de carotte', 'sel', 'poivre']",,"['Œufs', 'Gluten', 'Lait', 'Avoine']",['Non végétalien'],4,11 g,en quantité modérée,2.8 g,en quantité modérée,1.1 g,en faible quantité,0.4 g,en quantité modérée,?,,211,+42%,883 kj(211 kcal),+41%,11,+57%,"2,8",+8%,12,-8%,"1,1",-47%,14,+107%,"0,4",-48%,"0,16",-48%,-3,-224%,A,-224%,,,,,,,,200 g,"['Carton', 'boîte', 'surgelé']","['Autriche', 'Union européenne', 'Hors Union Européenne']",['Suède'],"['Lacto-végétarien', 'Bio', 'Ovo-végétarien', 'Bio européen', 'Ovo-lacto-végétarien', 'Agriculture UE/Non UE', 'Riche en protéines', 'SE-EKO-01']",['Picard'],,,,,
9,Bohemienne 360GR - Jean martin - 360g,3271510000225,B,['Jean martin'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles', 'Bohémienne']",,['France'],"['tomates', 'aubergines ', '30%', 'poivrons rouges ', '14%', 'huile de tournesol', 'persil', ""huile d'olive vierge extra"", 'sel', 'ail', 'sucre', 'paprika fumé', 'poivre']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,9.8 g,en quantité modérée,1.3 g,en faible quantité,2.9 g,en faible quantité,0.52 g,en quantité modérée,?,,113,+66%,473 kj(113 kcal),+70%,"9,8",+161%,"1,3",+141%,"3,7",-28%,"2,9",-25%,"1,2",+2%,"0,52",-27%,"0,208",-27%,1,+2%,B,+2%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,360g,['pot conserve'],,['maussane les alpilles'],"['Sans colorants', 'Sans conservateurs']",['Carrefour'],,,,,
