,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
0,"Persica - Haribo - 1,34kg",3103220028810,E,Confiserie gélifiée fantaisie,"1,34 kg","['Barquette', 'Plastique']",['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['Colorants naturels'],http://www.laboutiqueharibo.fr/gamme-bonbons-haribo/bonbons-haribo-croco-schtroumpfs-gelifies/haribo-persica/persica-210-bonbons.html,['France'],"['sucre', 'sirop de glucose', 'gélatine', 'acidifiant: acide citrique', ' arôme', ' colorants: carmins', 'lutéine']","['E428 - Gélatine', 'E330 - Acide citrique', 'E120 - Acide carminique', 'E161b - Lutéine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,?,,?,,?,,?,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Brandade de nîmes - Raymond Geoffroy,3106520001309,,,,,['Raymond Geoffroy'],,,,['France'],"['Huile de colza', 'morue ', '32%', 'eau', 'protéines de lait', 'sel', 'épaississant : carraghénanes ', ""extrait d'algues marines""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,455,,47,,"1,5",,"5,7",,,,,,,,,"['Poisson', 'Lait']",1904 kj(455 kcal),4,"0,1","0,975","0,39",,,,,,,,,,,,,,,,,,,,,,,,,
2,Revillon Pap GD Praline,3110845262345,E,,,,['Révillon'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons', 'Papillotes en chocolat']",,,['France'],"['chocolat au lait ', 'sucre', 'beurre de cacao', 'en poudre', 'de cacao', 'lactose*', 'lactosérum* en poudre', 'émulsifiant : lécithine de soja', 'praliné 38% ', 'sucre', 'noisettes romaines 7%', 'amandes valencia 7%', 'noisettes Piémont torréfiées 4%', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'chocolat noir ', 'pâte de cacao', 'sucre', 'matière grasse laitière anhydre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'émulsifiant ', ' lécithine de soja', 'arôme naturel de vanille avec autres arômes naturels', ' on i nt lait*', 'soja', 'amande', 'noisette', "" Présence possible d'arachide"", 'noix', 'noix de cajou', 'noix de pécan', 'pistache', ""g n et œuf Pour plus d'informations"", 'rendez-vous sur : www', 'revillonchocolat? r', 'fr']",['E322i - Lécithine'],['Non végétalien'],4,?,,481,-10%,29,-12%,46,-11%,"5,9",-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Lait', 'Fruits à coque', 'Soja']",2013 kj(481 kcal),15,44,"0,1","0,04",29 g,en quantité élevée,15 g,en quantité élevée,44 g,en quantité élevée,0.1 g,en faible quantité,-10%,-10%,-10%,+1%,+1%,25,+0%,E,+0%,,,,,,,,
3,Oeufs cacao et praliné Revillon - 190g,3110845303482,E,Chocolats fourrés,190 g,['Sachet cartonné'],['REVILLON'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Oeufs-chocolat']",['Point Vert'],http://www.revillonchocolatier.fr,['France'],"['Chocolat noir ', 'pâte de cacao', 'sucre', 'matière grasse latlère anhydre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'sucre', 'pâte de cacao', 'praliné 12% ', 'sucre', 'amandes', 'nolsettes', 'graisses végétales ', 'palme et palmiste', 'cacao maigre en poudre ', '5%', 'lalt entier en poudre', 'chocolat au lat ', 'sucre', 'beurre de cacao', 'lalt entier en poudre', 'pâte de cacao', 'lactose*', 'lactosérum* en poudre', 'émulsifiant : lécithine de soja', 'éclats de biscuits ', 'sucre', 'farine de blé', 'cacao maigre en poudre', ""farine d'amande douce"", 'amidon de blé', 'huile de tournesol', ""blanc d'ceuf en poudre"", 'poudre à lever : EŠO0', 'sel', 'éclats de fèves de cacao torréfiées', 'matière grasse latiere anhydre', 'beurre de cacao', 'lait écrémé en poudre', 'sirop de glucose', ""malt d'orge"", 'émulsifiants : lécithine de soja', 'monostéarate de glycérol', 'arôme naturel de vanille avec autres arômes naturels,']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Huile de palme', 'Non végétalien']",4,2257,+46%,539,+51%,38,+1943%,40,-52%,"6,9",+225%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Gluten', 'Lait', 'Fruits à coque']",2257 kj(539 kcal),20,37,"0,02","0,008",38 g,en quantité élevée,20 g,en quantité élevée,37 g,en quantité élevée,0.02 g,en faible quantité,+50%,+1787%,-36%,-83%,-83%,24,+67%,E,+67%,['42120 LE COTEAU'],['Auchan'],,,,,,
4,4 / 4 Pois T-fins Carottes - Maingourd - 800g,3112940150107,,,800 g,,['Maingourd'],,,,['France'],"[""à l'étuvée""]",,[],,?,,0,,"0,6",,"8,8",,"3,4",,,,,,,,,,0 kj(0 kcal),"0,2","3,7","0,57","0,228",,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
5,Delacre sprits chocolat lait lot 3x200g ( - 600g,3116430210333,C,Biscuits sables au chocolat au lait,600 g,"['Wrapper', 'Film']","['Delacre', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sprits']",,,['France'],"['Farine de ble ', '44%', ' - graisse végétale ', 'palme', 'colza', ' - sucre - chocolat au lait ', '15%', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lait écrémé en poudre', 'beurre pâtissier', 'lactose', 'émulsifiants : lecithine de soja', 'arôme', ' - beurre pâtissier - écorce de citron sucrée ', 'sucre', 'citron', 'acide citrique', 'amidon de pomme de terre modifié', 'sel', ' - lactose et protéines de lait - sel ', '0', '4%', ' - poudres à lever : carbonates de sodium', 'diphosphate disodique', ' peut contenir des traces de fruits a coque', 'sesame et oeufs']","['E322i - Lécithine', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E450i - Pyrophosphate de sodium acide']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2241,+1%,536,+2%,30,+2%,"61,5",+4%,"4,7",-12%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Gluten', 'Lait', 'Soja']",2241 kj(536 kcal),"15,4","28,8","0,6","0,24",30 g,en quantité élevée,15.4 g,en quantité élevée,28.8 g,en quantité élevée,0.6 g,en quantité modérée,+2%,-8%,+18%,+23%,+23%,24,+11%,E,+11%,,,['Huile de palme'],,,,,
6,Surffizz - Lutti - 100g,3116740032427,D,Confiserie gélifiée aromatisée,100 g,['Film en plastique'],['Lutti'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']",,,['France'],"['Sucre', 'Sirop de glucose-fructose', 'Amidon modifié', 'Acidifiants ', ' Acide lactique', 'Acide malique', 'Acide citriqie', 'Gélatine', ""Correcteur d'acidité "", ' Malates de sodium', 'Arômes', 'Colorants ', ' Anthocyanes', ' Curcumine,Extrait de Paprika', ' Denrées alimentaires colorantes ', ' Concentré de Carthame ', 'Spiruline']","['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E296 - Acide malique', 'E428 - Gélatine', 'E350 - Malates de sodium', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E160c - Extrait de paprika']","['Non végétalien', 'Non végétarien']",4,1521,+5%,358,+4%,0,-100%,"84,7",+5%,"3,4",+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,1521 kj(358 kcal),0,"58,2","0,62","0,248",0 g,en faible quantité,0 g,en faible quantité,58.2 g,en quantité élevée,0.62 g,en quantité modérée,+5%,-100%,-3%,+225%,+225%,16,+10%,D,+10%,,,,,,,,
7,Welcome emmental - 200g,3123930920075,,,200 g,['Frais'],['Welcome'],,,,['France'],"['IT - Ingredienti: emmental ', '20% minimo delle materie prime utilizzate', ' e altri formaggi', 'acqua', 'burro', 'latte in polvere scremato', 'sali di fusione ', 'E331', 'E339', 'E341', 'E450', 'E452', 'proteinnatte', 'sale da cucina', ' ÉS - Ingredientes: emmental ', '20% mínimo de las materias utilizadas', ' y otro esos', 'agua', 'mantequilla', 'leche desnatada en polvo', 'sales de fundido ', 'E331', 'E339', 'E341 AS2', 'proteinas de la leche', 'sal de cocina', ' DE - Zutaten: Käse ', 'mindestens 20% Emmentaleasser', 'Butter', 'Magermilchpulver', 'Schmelzsalze ', 'E331', 'E339', 'E341', 'E450', 'E452', 'Milcheiwechsalz', ' NL - Ingrediënten: Kaas ', 'min 20% emmental kaas', 'water', 'boter', 'mager m eder', 'smeltzouten ', 'E331', 'E339', 'E341', 'E450', 'E452', 'melkproteiïnen', 'keukenzout']","['E331 - Citrates de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",['Non végétalien'],4,?,,265,,21,,4,,15,,,,,,,,,['Lait'],1109 kj(265 kcal),14,3,3,"1,2",,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
8,Graine De Chia - Eric Bur,3144550007687,D,,,['Sachet'],['Eric Bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,['France'],[],,[],,?,,520,+16%,"12,08",-61%,"55,28",+361%,"20,49",+2%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,2176 kj(520 kcal),"0,01","0,01","0,25","0,1",12.1 g,en quantité modérée,0.01 g,en faible quantité,0.01 g,en faible quantité,0.25 g,en faible quantité,+16%,-100%,-98%,+946%,+946%,2,+122%,B,+122%,,,,,,,,
9,Beurre demi sel noisette bridel - Noisetlait - 250g,3155250004272,E,,250 g,,['Noisetlait'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,,['France'],[],,[],,?,,727,+1%,55,-31%,6,+706%,"0,7",+3%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,['Lait'],3042 kj(727 kcal),1,1,"0,602","0,241",55 g,en quantité élevée,1 g,en faible quantité,1 g,en faible quantité,0.602 g,en quantité modérée,+1%,-98%,+62%,-71%,-71%,11,-58%,D,-58%,,,,,,,,
