,name,bar_code,eco_score,quantity,brand,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,labels,ingredients_origins,manufacturing,nova_score,additives,palm_ingredients,allergens,generic_name,link,producer_info,origin_detail,brand_owner
0,Parmesan - Parmareggio - 200g,8010721988336,D,200 g,['Parmareggio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['IT 0876 CE'],"['Belgique', 'France']",[],[],30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+22%,1682 kj(402 kcal),+23%,30,+13%,20,+12%,0,-100%,0,-100%,32,+57%,"1,6",+23%,"0,64",+23%,17,+24%,D,+24%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1,Gratins de pâtes à la méditerranéenne - Carrefour,3560071192303,,,"['Carrefour', '4x100g']",,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"4,4",,"2,6",,22,,"4,5",,"4,6",,"0,68",,"0,272",,,,,,,,,,,,,['Plastique et carton'],['Carrefour'],,,,,,,,,,,,
2,Dairy Fine Hollow Milk Chocolate Santa,4088600038162,,,,,,['France'],[],[],,,,,,,,,?,,533,,2230 kj(533 kcal),,30,,19,,57,,56,,"6,9",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carottes 1kg - Gadirzan,8424252000014,B,,['Gadirzan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Carottes', 'Légumes frais', 'Carottes fraîches']",,"['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,,,,
4,Cerises Montmorency à l'eau-de-vie,3245390232670,,,,,,['France'],[],[],,,,,,,,,?,,174,,728 kj(174 kcal),,0,,0,,20,,18,,0,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,
5,Galette gourmande,,D,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,['France'],[],[],,,,,,,0.55 g,en quantité modérée,?,,?,,,,?,,,,?,,,,?,,"0,55",-21%,"0,22",-21%,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,
6,Lentilles Vertes Cuisinées - Franprix - 410g,3263851867414,A,410g,['Franprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes']",,['France'],"['eau - lentilles vertes de France trempées et blanchies 40% - carottes* de France 8% - Oignons* de France 3% - sel de Noirmoutier - thym* 0,02% - Laurier 0,01%']",[],0.5 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en faible quantité,0.6 g,en quantité modérée,?,,64,-78%,268 kj(64 kcal),-78%,"0,5",-63%,"0,5",+131%,"8,5",-78%,"0,6",-55%,"5,2",-76%,"0,6",+311%,"0,24",+311%,-4,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,['bocal en verre'],['Franprix'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-09']",['France'],['France'],3,,,,,,,,
7,Vinaigre Balsamique de Modène - Ducros,3275920069605,B,,['Ducros'],"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,['IGP'],['Italie'],,,,,,,,,,
8,Pomme de terre,3560035026927,,,,,,['France'],[],[],,,,,,,,,?,,75,,314 kj(75 kcal),,0,,0,,"15,8",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Crevettes ail et persil - Carrefour,3560071172114,,,['Carrefour'],,"['EMB 14630A', 'Saint-Martin-des-Entrées (Calvados, France)']",['France'],[],[],,,,,,,,,?,,341,,1427 kj(341 kcal),,"3,1",,"0,6",,"0,7",,"0,5",,13,,"0,21",,"0,084",,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,
