,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,markets,allergens,nova_score,brand_owner,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,additives,link,ingredients_origins,palm_ingredients,origin_detail,producer_info
0,"Haferkekse , Klassik -",4030011790153,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2017 de la Société Allemande d'Agriculture""]",['France'],[],[],?,442,1849 kj(442 kcal),"14,5","3,9","69,8","36,2","6,1","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Snacks DIABLOS goût jambon fromage - U - 75g,3256227463532,['Transformé en France'],"['France', 'La Réunion']","['Flocons de pomme de terre ', 'dont sulfites', ' 30%', 'amidon de pomme de terre ', 'dont sulfites', 'huile de tournesol', 'farine de riz', 'arôme ', 'dont lait', 'sel', 'curcuma déshydraté', 'arômes de fumée', "" traces éventuelles d'arachides"", 'de céréales contenant du gluten et de crustacés']","['Sans huile de palme', 'Non végétalien']",2008,480,2008 kj(480 kcal),24,"2,1",61,"1,2",4,"3,3","1,32",75 g,['U'],['Magasins U'],"['Lait', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Parismonade,3770013801037,,['France'],[],[],?,36,151 kj(36 kcal),0,0,"8,7",0,0,"0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sangría lolailo,8437001603176,,['France'],[],[],?,?,,?,,?,,?,,,,['Lolailo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RXBAR,0857777004928,,"['France', 'États-Unis']","['Dates', 'egg whites', 'almonds', 'cashews', 'chocolate', 'natural flavors', 'sea salt']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,210,879 kj(210 kcal),8,"1,5",23,18,12,"0,525","0,21",,,,"['Œufs', 'Fruits à coque']",4,Chicago Bar Company,['Snacks'],8 g,en quantité modérée,1.5 g,en quantité modérée,18 g,en quantité élevée,0.525 g,en quantité modérée,,-53%,-53%,-62%,-83%,-59%,-40%,+91%,-0%,-0%,-2,-111%,A,-111%,,,,,,,,,,,,,,,,,,
5,Limonade,3760262770291,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lot soupe de poisson/rouille/croutons,3760241200054,,['France'],[],[],?,167,699 kj(167 kcal),"1,3","0,3","3,2","0,5","4,5","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 34.108.532 CE', 'Frontignan (Hérault, France)']",,,,,,,,,,,,,,,,,
7,Canela de saigón tostada y molida - Ducros,3166296203307,,['France'],[],[],?,?,,?,,?,,?,,,,['Ducros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Escalopes de dinde,2614156016600,"['Nutriscore', 'Nutriscore A']",['France'],[],[],?,108,452 kj(108 kcal),"1,3","0,4",0,0,24,"0,15","0,06",,,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-11%,-10%,-2%,-1%,-100%,-100%,+5%,-73%,-73%,-4,,A,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
9,Caffeine free strawberry soda,0078000013696,,['France'],[],[],?,170,711 kj(170 kcal),0,0,46,46,0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Protein Powder 350 g Cappuccino,5425002404819,,['France'],[],[],?,379,1586 kj(379 kcal),"4,6","2,7","11,9","9,1","70,5","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Non fat yogurt,0078800112957,,['France'],[],[],?,90,377 kj(90 kcal),0,0,19,14,3,"0,05","0,02",,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0.05 g,en faible quantité,,-2%,-2%,-100%,-100%,+73%,+39%,-20%,-57%,-57%,3,-2%,C,-2%,,,,,,,,,,,,,,,,,,
12,Choco chips,8436547642861,,['France'],[],[],?,475,1987 kj(475 kcal),20,4,66,25,"6,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Salteado Bulgur y quinoa - Carrefour,3560071092177,,"['France', 'Espagne']",[],[],?,93,389 kj(93 kcal),2,"0,4",15,"2,8","2,6","0,14","0,056",,['Carrefour'],['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Datte sucrée,3379140102057,,['France'],[],[],?,277,1159 kj(277 kcal),"1,5",0,"74,97","66,47","1,81",,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",1.5 g,en faible quantité,0 g,en faible quantité,66.5 g,en quantité élevée,,,,-7%,-7%,+430%,-100%,+9%,+13%,-16%,,,,,,,,C,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,
15,Feuilletés Framboise,3338880000870,,['France'],[],[],?,45,188 kj(45 kcal),16,"9,5",46,15,"7,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Radis équeutés,2868380008997,['Sans conservateurs'],['France'],[],[],?,10,42 kj(10 kcal),"0,5","0,01","1,1","1,1","0,7","0,028","0,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Terrine aux 3 poissons - En Cuisine - 1kg,3184830037591,,['France'],[],[],?,218,912 kj(218 kcal),19,"3,4","3,2","2,2","8,8","1,2","0,48",1 kg,['En Cuisine'],,,,,"['Terrines', 'Terrines de poisson']",19 g,en quantité modérée,3.4 g,en quantité modérée,2.2 g,en faible quantité,1.2 g,en quantité modérée,,+8%,+8%,+27%,-14%,-19%,+67%,-23%,+3%,+3%,5,-33%,C,-33%,,,,,,,,,,,,,,,,,,
18,Comptoir du Sandwich Jbn Supérieur,3323790302763,,['France'],[],[],?,254,1063 kj(254 kcal),12,"5,2",26,"3,5","9,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Crème de noix de coco - Aroy-D - 1L,0016229909819,"['Végétarien', 'Sans gluten', 'Végétalien', 'Halal']","['France', 'Allemagne', 'Espagne']","['EXTRAIT DE NOIX DE COCO 85%', 'EAU', 'EMULSIFIANT ', 'E435']","['Végétalien', 'Végétarien']",886,215,886 kj(215 kcal),21,19,"4,8","1,9","1,6","0,03","0,012",1 L,['Aroy-D'],['supermarché asiatique indépendant'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner', 'Crèmes végétales à base de coco pour cuisiner']",21 g,en quantité élevée,19 g,en quantité élevée,1.9 g,en faible quantité,0.03 g,en faible quantité,+28%,-14%,-8%,-3%,+2%,+17%,-2%,-31%,-55%,-55%,12,+23%,D,+23%,['FSC-C020428'],,,,,,,,,crème de noix de coco,['Brique TetraPak'],['Indonésie'],,,,,,
20,Lindt Mini Joghurt Pralinés 165G,4000539317705,,['France'],[],[],?,553,2314 kj(553 kcal),35,20,51,45,"7,2","0,2","0,08",,['Lindt'],,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",35 g,en quantité élevée,20 g,en quantité élevée,45 g,en quantité élevée,0.2 g,en faible quantité,,+2%,+2%,+4%,+14%,-1%,-4%,+19%,+39%,+39%,25,0%,E,0%,,,,,,,,,,,,,,,,,,
