,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,packaging,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,generic_name,additives,origin_detail,link,palm_ingredients,brand_owner
0,4254381203581,4254381203581,['FSC-C153003'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L’OEUF PRALINE,3120470192351,,['France'],[],[],?,553,34,56,5,2314 kj(553 kcal),16,55,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tartelette praline,2030000024247,,['France'],[],[],?,385,20,48,"3,2",1611 kj(385 kcal),11,48,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pur Jus Orange pulpé,3248340059150,,['France'],[],[],?,38.7,"0,5","8,7","0,7",162 kj(38 kcal),"0,1","8,7",20,8,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",0.5 g,en faible quantité,0.1 g,en faible quantité,8.7 g,en quantité élevée,20 g,en quantité élevée,,-10%,-11%,+184%,+289%,-10%,-5%,+11%,+224872%,+224872%,12,+303%,E,+303%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
4,Cock mint,6948782655831,,['France'],[],[],?,102,"0,1","23,2",12,427 kj(102 kcal),"0,1","22,8",18,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mini frites artisanales,3701411000661,,['France'],[],[],?,546,"33,6","54,7","6,1",2284 kj(546 kcal),"2,9","0,2","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TURRIGA,8010544520751,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cremio Box jambon,2007336012330,,['France'],[],[],?,491,"7,2",18,"8,5",2054 kj(491 kcal),"4,4","0,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Bio mix grillé, non salé",4008258316009,,['France'],[],[],?,1,51,15,"0,01",4 kj(1 kcal),"8,3","5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Coulis de cerises,3760271061236,,['France'],[],[],?,1.37,"0,2","27,4","1,2",6 kj(1 kcal),0,"27,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
