,name,bar_code,quantity,packaging,brand,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,allergens,palm_ingredients,link,markets,origin_detail,brand_owner
0,"Classic - Teusser - 0,7L",4000432000018,"0,7L",['glass bottle'],['Teusser'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux gazeuses']",['Allemagne'],['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chèvre rapé - Paturage,3110392110182,,,['Paturage'],,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Essentiels vegan,3770012966270,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Drop Shot,3760332490159,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Amandes décortiquées,3760274772344,,,,,,['France'],[],[],,?,,645,,53,,"5,7",,24,,2699 kj(645 kcal),"4,5","5,6",,,"['EMB 13089A', 'Saint-Andiol (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nuance 1 inspiration bistrot,3760331830093,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Barista 25,3760332490111,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nuance 1 Inspiration Bistrot,3760331830109,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Y.C.H,3760332490432,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mermelada naranja,4026701006512,,,,,,['France'],[],[],,?,,252,,"0,1",,62,,"0,4",,1054 kj(252 kcal),0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Nuance 1 Inspiration Bistrot,3760331830086,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Trio Verde,3760332490470,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5/10,3760332490517,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nuance 69 Inspiration Barista,3760331830260,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Salvador Ayutepeque,3760332490555,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Nuance 69 Inspiration Barista,3760331830277,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ouganda Mont Rwenzori,3760332490593,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Garganelli alla Luciana, surgelati",3270160866618,,,,,,['France'],[],[],,?,,159,,"3,3",,24,,"8,2",,665 kj(159 kcal),"0,5","1,5","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mix grill mexicaine,2462988051104,,,,,,['France'],[],[],,?,,291,,"24,5",,"3,5",,"14,2",,1218 kj(291 kcal),"9,8","1,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nuance 69 Inspiration Barista,3760331830246,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Honduras Montecillos,3760332490319,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Colombie Tolima,3760332490197,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gorgonzola Dop Bio,2629480026706,,,,,,['France'],[],[],,?,,319,,27,,16,,19,,1335 kj(319 kcal),16,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Inde Malabar,3760332490272,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ethiopie Guji,3760332490357,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Nuance 69 Inspiration Barista,3760331830253,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Poitrine fumée en vrac,2497301031167,,,,,,['France'],[],[],,?,,312,,"27,3",,"0,6",,"16,3",,1305 kj(312 kcal),"8,3","0,6","3,5","1,4","['FR 07.338.002 CE', 'Vernoux-en-Vivarais (Ardèche, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Figues,3000404000740,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Colombie Tolima,3760332490234,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thé Glacé maté citron,3770015265417,,,,,,['France'],[],[],,?,,24,,0,,"2,5",,0,,100 kj(24 kcal),0,"2,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Domaine,3245390250223,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Levure bio,3266191095370,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
