,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
0,Fuet des Pyrénées,3701411000425,['France'],[],[],?,457,1912 kj(457 kcal),38,14,"2,8","2,8",26,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cuisse de poulet,0226996052025,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5400265001470,5400265001470,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chips de Yam,0019962888250,['France'],[],[],?,473.7,1982 kj(473 kcal),"47,4","36,8","10,5",0,0,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cachir ben’s,3760307451130,['France'],[],[],?,187,782 kj(187 kcal),15,"4,5","1,1","0,8",12,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Läkerol Läkerol Special 25G,7310350118571,['France'],[],[],?,198,828 kj(198 kcal),"0,3","0,3",53,52,"1,1","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2 escalopes fines de dinde fermier - Loué,0217714022048,['France'],[],[],?,137,573 kj(137 kcal),"5,9","1,4",0,0,20,"0,19","0,076",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,+13%,+347%,-100%,-13%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Loué'],5.9 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.19 g,en faible quantité,+14%,+247%,-100%,-66%,-66%,-3,,A,,,,,,,,,,,,,,,
7,4260024451103,4260024451103,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Vegetarian meat with pickled soup,6952395705029,['France'],[],[],?,227.8,953 kj(227 kcal),"7,3",0,26,10,14,"4,11","1,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Alpenschinken, Italienische Art",8004225040843,['France'],[],[],?,266,1113 kj(266 kcal),16,"6,2","0,5","0,5",30,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bolero Drinks Raspberry 12er,3800048225987,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tartelettes à la framboise - Carrefour Bio,3560071266684,['France'],"['Farine de blé* 36,7%', 'sucre de canne*', 'sucre mi-blanc de canne*', 'purée de framboises 9,8%', 'beurre concentré* 8,7%', 'eufs*', 'huile de colza*', 'purée de pommes*', 'acidifiant : acide citrique', 'arôme naturel de framboise', 'gélifiant : pectines de fruits', ""correcteur d'acidité : carbonates de potassium"", 'jus de sureau concentré*', 'sel', ' ""bio', ' Peut contenir des traces de soja et de fruits à coque', ' Conservation :']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,413,1728 kj(413 kcal),12,"5,3",73,44,"3,8","0,35","0,14",C,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la framboise']",,+16%,-8%,+33%,-3%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,['Carrefour Bio'],12 g,en quantité modérée,5.3 g,en quantité élevée,44 g,en quantité élevée,0.35 g,en quantité modérée,+14%,-23%,+49%,+53%,+53%,20,+27%,E,+27%,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Carrefour'],"['E330 - Acide citrique', 'E440 - Pectines', 'E501 - Carbonates de potassium']","['Gluten', 'Lait']",4,,,,,,,,,
12,Kansas City classic,0032458972981,['France'],[],[],?,60,251 kj(60 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Saucisse de Strasbourg fumé supérieure,0245855023815,['France'],[],[],?,291,1218 kj(291 kcal),"25,9",10,"10,9","1,06","12,4","2,21","0,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Brochettes terre & mer aux poivres.,2416893034448,['France'],[],[],?,158,661 kj(158 kcal),"9,5","2,6",0,0,18,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2 Filet Poulet,0217247045132,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jus de fruits,12047,['France'],[],[],?,32,134 kj(32 kcal),"0,1",0,"7,4","7,1","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Beignet,0231053019354,['France'],[],[],?,323.1,1352 kj(323 kcal),"6,2","3,6",56,"6,7","9,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chou chantilly,0204278015029,['France'],[],[],?,366,1531 kj(366 kcal),32,14,18,"8,5","2,6","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ma ruche bio,3760115099036,['France'],[],[],?,304,1272 kj(304 kcal),0,0,"82,4","82,12","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Foie gras de canard entier du Sud Ouest délicat - Labeyrie - 10parts,3033610030799,['France'],[],[],?,?,,?,,?,,?,,,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Labeyrie'],,,,,,,,,,,,,,,,,,"['Viande Française', 'Canard Français', 'IGP']",,,,,10 parts,['Torchon'],['France'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,
21,Fisch Snack - Octopus - 36g,4251727401618,['France'],[],[],1178,278,1178 kj(278 kcal),"3,2","1,9","10,5","4,4","51,8","11,5","4,6",,['Poisson séché'],,,,,,,,,,,,,['Octopus'],3.2 g,en quantité modérée,1.9 g,en quantité modérée,4.4 g,en faible quantité,11.5 g,en quantité élevée,,,,,,14,,D,,['en:Seafood'],,,,,36 g,['Plstique'],,,['Viêt Nam'],,,,
