,name,bar_code,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,generic_name,eco_score,packaging,labels,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,link,producer_info,palm_ingredients,brand_owner,origin_detail
0,Pan de pasas tostado - Carrefour,8431876145168,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['Carrefour'],"['France', 'Espagne']","['Harina de trigo', 'agua', 'pasas ', '20%', 'levadura', 'azúcar', 'mantequilla ', 'mantequilla y colorante: caroteno', 'sal', 'emulgente: ésteres mono y diacetiltartáricos de los mono y diglicéridos de ácidos grasos', 'antioxidante: ácido ascórbico y enzimas']",['E160 - Caroténoïdes'],"['Gluten', 'Lait', 'Soja']",['Non végétalien'],4,3 g,en quantité modérée,1.2 g,en faible quantité,20 g,en quantité élevée,1.1 g,en quantité modérée,1524,+12%,360,+10%,1524 kj(360 kcal),+10%,3,-51%,"1,2",+3%,72,+31%,20,+410%,"8,6",-10%,"1,1",-14%,"0,44",-14%,9,+76%,C,+76%,,,,,,,,,,,,,,,,,,,,
1,Tortas de aceite - Carrefour - 180g,8431876226898,['Carrefour'],"['Biscuits et gâteaux', 'Pâtisseries', 'es:Torta sevillana']",['Carrefour'],"['France', 'Espagne']",[],,"['Gluten', 'Graines de sésame']",[],,21 g,en quantité élevée,3.2 g,en quantité modérée,21 g,en quantité élevée,0.18 g,en faible quantité,2024,,483,-4%,2024 kj(483 kcal),-4%,21,-18%,"3,2",-24%,64,+7%,21,+53%,"8,1",+20%,"0,18",-68%,"0,072",-68%,11,-16%,D,-16%,180 g,,,,,,,,,,,,,,,,,,,
2,Impact Whey Isolate Chocolate Karamell - myprotein - 1kg,5055534355985,['Myprotein'],,,['France'],[],,,[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,"0,5",,0,,"3,4",,"3,2",,88,,"0,5",,"0,2",,,,,,1kg,,,,,,,,,,,,,,,,,,,
3,Lonely god,6905734301482,,,,['France'],[],,,[],,,,,,,,,,?,,357.54998779297,,1496 kj(357 kcal),,"19,1",,0,,"42,9",,19,,"2,5",,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,
4,Corail d'oursin - Comtesse du Barry - 50g,3660806507300,['Comtesse du Barry'],,,['France'],[],,,[],,,,,,,,,,?,,108,,452 kj(108 kcal),,"6,2",,0,,0,,0,,13,,"1,1",,"0,44",,,,,,50 g,"['FR 78.439.004 CE', 'Mulcent (Yvelines, France)']",,,,,,,,,,,,,,,,,,
5,Farfalles multicolores - Casino - 200g,3222477000261,['Casino'],,['Casino'],['France'],"['Semoule de blé dur de qualité supérieure 93% - jus de betterave rouge concentré 2% - épinard en poudre 1,5% - paprika en poudre 1,5% - curcuma 1% - encre de seiche ', 'mollusques', ' 0,4% - sel', 'traces de poisson et crustacés']",,"['Gluten', 'Mollusques']","['Non végétalien', 'Non végétarien']",,,,,,,,,,1520,,359,,1520 kj(359 kcal),,"1,6",,"0,3",,72,,"2,2",,12,,"0,02",,"0,008",,,,,,200 g,,"""Pâtes alimentaires aromatisées aux jus de betterave concentré, épinard et paprika en poudre, curcuma et encre de seiche.""",,,,,,,,,,,,,,,,,
6,Comté AOP au lait cru affiné 14 mois minimum dans le massif du Jura 35% de matière grasse Saveurs - U - 250g,3368952495426,['U'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['Magasins U'],['France'],"['LAIT cru de vache', 'sel', 'ferments ', 'dont LAIT', 'présure']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.76 g,en quantité modérée,1771,+18%,427,+8%,1771 kj(427 kcal),+7%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,"0,76",-22%,"0,304",-22%,13,-3%,D,-3%,250 g,,,D,['Frais'],['AOP'],82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
7,Stracchino - Granarolo,8002670003062,['Granarolo'],,,['France'],[],,,[],,,,,,,,,,?,,18,,75 kj(18 kcal),,12,,8,,"2,7",,"1,4",,16,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
8,Pain d'épices,3760019912646,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,['France'],[],,,[],,4.3 g,en quantité modérée,2.4 g,en quantité modérée,28.4 g,en quantité élevée,0.6 g,en quantité modérée,?,,340,+1%,1423 kj(340 kcal),+0%,"4,3",+23%,"2,4",+94%,"67,5",-5%,"28,4",-30%,"5,2",+20%,"0,6",+38%,"0,24",+38%,14,-1%,D,-1%,,,,B,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,
9,Piment doux moulu - SPIGOL - 45g,3102870044201,['SPIGOL'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments']",,['France'],['Piment doux moulu'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,235,,84,,,,"4,05",,,,"7,26",,,,"3,04",,,,,,,,,,45 g,,Piment doux,B,['Verre'],,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,,,,,,,
10,pain complet - Leclerc - 410g,3461181370936,['Leclerc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",['Leclerc'],['France'],"['Farine ', 'BLÉ,BLÉ malté', ',eau,son de_blé_,levure', 'GLUTEN DE_BLÉ_', 'sel', 'sucre', 'émulsifiant ', 'E472e', ' enzymes', 'agent de traitement de la farine ', ' acide ascorbique,', 'levure désactivée', ' \rTraces éventuelles de lait', ' fruits à coque et graines de sésame']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,1.6 g,en faible quantité,0.4 g,en faible quantité,2 g,en faible quantité,1.1 g,en quantité modérée,932,-10%,221,-12%,932 kj(221 kcal),-11%,"1,6",-53%,"0,4",-26%,40,-6%,2,-45%,"8,5",-3%,"1,1",-6%,"0,44",-6%,1,+51%,B,+51%,410g,,,,,,,,,,,,,,,,,,,
11,Vinaigre balsamique arôme truffe - Le jardin des gourmets - 25cl,,['Le jardin des gourmets'],,,['France'],[],,,[],,,,,,,,,,?,,129.30000305176,,541 kj(129 kcal),,"0,1",,"0,1",,27,,"23,3",,1,,"0,1",,"0,04",,,,,,25 cl,,,,,,,,,,,,,,,,,,,
12,Fromage frais a la creme ciboulette,20292201,,,,['France'],[],,,[],,,,,,,,,,?,,272,,1138 kj(272 kcal),,26,,16,,5,,"0,5",,"0,81",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gateau breton ( à la framboise),3561773000002,,,,['France'],[],,,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,25,,"13,9",,"53,5",,"30,01",,"5,5",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,,,,,,
