,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
0,Gressins au romarin,3760190640390,['France'],[],[],?,397,1661 kj(397 kcal),10,4,64,"3,5",9,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hell jam fraise tequila et mangalore - 220g,3372330307799,['France'],[],[],?,?,,?,,?,,?,,,D,220g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pineapple,5050372119003,['France'],[],[],?,0,0 kj(0 kcal),?,,?,"10,1",?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Coquille saint jacques - Tipiak,3282740370217,['France'],[],[],?,98,410 kj(98 kcal),"5,1","3,6","6,8","1,2","5,7","0,66","0,264",,,,,,,,,,,,,,,,['Tipiak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thon au japaleno - 130g,3760048332262,['France'],[],[],?,64,268 kj(64 kcal),34,"7,15","1,33","1,25","19,83","0,5","0,2",D,130 g,"['Produits de la mer', 'Poissons', 'Thons']",,-65%,+242%,+56%,-8%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,34 g,en quantité élevée,7.15 g,en quantité élevée,1.25 g,en faible quantité,0.5 g,en quantité modérée,-65%,+306%,+196%,-51%,-51%,4,+30%,C,+30%,,,,,,,,,,,,
5,Petit Brie - 500g,11411417,['France'],['lait de vache pasteurisé'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,360,1506 kj(360 kcal),32,23,2,2,16,,,C,500g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']",,+15%,+23%,+82%,-14%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Petit Brie'],32 g,en quantité élevée,23 g,en quantité élevée,2 g,en faible quantité,,,+15%,+29%,+163%,,,,,,,['Papier'],['Lait de vache pasteurisé origine UE'],['France'],"['FR 44.003.001 CE', 'Ancenis (Loire-Atlantique, France)', '44 003.001 EC']",3,,,,,,,
6,Kristal,8690819260553,['France'],[],[],?,900,3766 kj(900 kcal),100,75,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mochis glacés - 210g,3364699129457,['France'],[],[],?,206,862 kj(206 kcal),"2,3","1,5",45,27,"1,2",,,,210 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,petit chinois - 300g,2606488008200,['France'],[],[],?,282,1180 kj(282 kcal),"8,6","3,5",44,15,0,"0,7","0,28",,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,
9,Choco buttons - 6x 30g,8710998447184,['France'],[],[],?,495,2071 kj(495 kcal),"21,6","21,1","73,8",62,"1,4","0,3","0,12",,6 x 30 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
