,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
0,Lion 5 White - Brasserie Lion - 330ml,5430000213035,C,Bière belge blanche,330 ml,"['Bouteille', 'Capsule', 'métal']",['Brasserie Lion'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières belges', 'Bières artisanales', 'Bières blanches']","['Bio', 'Bio européen', 'BE-BIO-02']","['Belgique', 'Waterloo']",https://www.brasserielion.com/fr/les-bieres-brasserie-lion/lion-5-biere-blanche,['Carrefour Market'],['France'],"[""MALT D'ORGE* & BLÉ*"", 'HOUBLON*', 'EPICES*', 'LEVURE\r* Agriculture biologique']",['Gluten'],[],3,?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Café royal,7617014188001,,,,,['Café Royal'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Creme glacée  ""Caramel au beurre salé"" - Metro Chef",3439496404622,,,,['Surgele'],['Metro Chef'],"['Desserts', 'Surgelés', 'Desserts glacés']",['Fabriqué en France'],,,['Metro'],['France'],[],,[],,?,,184,-9%,"8,3",-2%,25,-11%,"1,4",-42%,,,,,,,,"['EMB 29181', 'Plouédern (Finistère, France)', 'FR 29.181.090 CE', 'Plouédern (Finistère, France)']",8.3 g,en quantité modérée,6.2 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en quantité modérée,770 kj(184 kcal),-9%,"6,2",+13%,22,-7%,"0,5",+317%,"0,2",+317%,14,+24%,D,+24%,,,,,,
3,Samosas au boeuf,5999885801015,E,,,,,"['Plats préparés', 'Samoussas']",,,,,['France'],[],,[],,?,,212,0%,"5,6",-42%,"33,3",+44%,"7,1",-3%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,5.6 g,en quantité modérée,2.4 g,en quantité modérée,6 g,en quantité modérée,1 g,en quantité modérée,887 kj(212 kcal),-0%,"2,4",+24%,6,+63%,1,-7%,"0,4",-7%,5,-2%,C,-2%,,,,,,
4,Saucisses de Strasbourg x20,3211330061754,E,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,,,,['France'],[],,[],,?,,289,+5%,"26,4",+9%,"1,9",+33%,11,-13%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",26.4 g,en quantité élevée,10.1 g,en quantité élevée,1.9 g,en faible quantité,2.01 g,en quantité élevée,1209 kj(289 kcal),+5%,"10,1",+10%,"1,9",+68%,"2,01",+4%,"0,804",+4%,21,+10%,E,+10%,,,,,,
5,Hookie Noodles,8850643066978,,,,,,,,,,,['France'],[],,[],,?,,158,,"4,7",,24,,"4,9",,,,,,,,,,,,,,,,,,661 kj(158 kcal),,"0,9",,"2,9",,"0,94",,"0,376",,,,,,,,,,,
6,Pâtes demi complètes spirale bio - Castagno,8013885020010,B,,,,['Castagno'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']","['Bio', 'Bio européen', 'IT-BIO-007']",,,,['France'],[],,[],,?,,348,-2%,"1,8",-10%,69,-1%,12,-4%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,1.8 g,en faible quantité,1.4 g,en faible quantité,3.8 g,en faible quantité,0 g,en faible quantité,1456 kj(348 kcal),-3%,"1,4",+216%,"3,8",+22%,0,-100%,0,-100%,0,,B,,,,,,,
7,Mango,5281034012497,,,,,,,,,,,['France'],[],,[],,?,,59,,0,,15,,0,,,,,,,,,,,,,,,,,,247 kj(59 kcal),,0,,15,,0,,0,,,,,,,,,,,
8,Beignet parfum chocolat noisette,2012400005071,,,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['en:palm-oil-free'],,,,['France'],[],,['Sans huile de palme'],,?,,385,+8%,18,+14%,47,+4%,"6,5",+3%,,,,,,,,,18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,1611 kj(385 kcal),+8%,2,-42%,19,+17%,"0,7",-5%,"0,28",-5%,12,0%,D,0%,,,,,,
9,Cocer sabor manzana - Wild Panther,8480000665614,D,,,,['Wild Panther'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,"['France', 'Espagne']","['Agua carbonatada', 'mosto de manzana ', 'agua', 'jarabe de glucosa', 'zumo de manzana a partir de concentrado', 'azúcar', 'acidulante: ácido cítrico', ' azúcar caramelizado', 'aroma', 'conservador: sorbato potásico', ' antioxidante: ácido ascórbico']",,[],4,?,,47,+62%,"0,11",-87%,"11,68",+150%,"0,06",+45%,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,197 kj(47 kcal),+59%,"0,019",-83%,"10,9",+234%,"0,003",-8%,"0,001",-8%,,,,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,,,,
