,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,allergens,generic_name,packaging,categories,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,traceability_code,palm_ingredients,brand_owner
0,Acini di Pepe - De Cecco,8001250120786,['De Cecco'],['France'],[],[],?,352,1473 kj(352 kcal),"1,5","0,3","69,2","3,4",14,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Farfalline No 95 500G - De Cecco,8001250120953,['De Cecco'],['France'],[],[],?,352,1473 kj(352 kcal),"1,5","0,3","69,2","3,4",14,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Maccheroni De Decco 500G - De cecco,8001250121141,['De cecco'],['France'],"['Bif 11 l', ' : st} Pi R IOR CRI FSM l', ""l'AS' AV""]",[],?,357,1494 kj(357 kcal),"1,5","0,35","70,2","3,4",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rigatoni Napoletani 500GR - De Cecco - 500g,8001250121240,['De Cecco'],['France'],['Rigatoni NaFOletani \\ SPECIALliix o PASTA Dl SEMOLA Dl GRANO DURO /ODURUM SEMOIINA opÂTES ALIMENTAIRES DE SEMOULE DE BLÉ DUR DE OIEIGWAREN AUS HARTWEIZENGRIEB 10 DE DE SÉMOLA DE TRIGO DURO /0 DE DEEGWAREN VAN GRIESMEEL VAN HARDE AF DURUMHVEDE /OPASTA AV ALIMENTAIRES DE SEMOULE DE BLÉ DUR It:/lllNDESTENS HALTBAR BIS: / CONSUMIR Itl:/CONSUMlR DE PREFERÊNCIA ANTES DE:/TEN MINSTE HOUDBAAR Exp: 07 03 20 13:32 L8/81 C PESO Lotto 00211066'],[],?,352,1473 kj(352 kcal),"1,5","0,3","69,2","3,4",14,"0,01","0,004",500 g,['Fabriqué en Italie'],['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cannelloni All?uovo 100 [pâtes Haute Qualité] [boîte De 250G] - De Cecco - 250g,8001250201003,['De Cecco'],['France'],[],[],?,365,1527 kj(365 kcal),"3,9","1,2",66,"2,9",15,"0,12","0,048",250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,De Cecco Egg Fettucine - DeCecco,8001250201034,['DeCecco'],['France'],"[""semoule de blé dur' DA CONSUMARSI PREFERIBIIMENTE ENTRO IL: / BEST BEFORE I USE BY "", 'FOR A PREFERENCE AVANT BIS:/CONSUMIR TEN MINSTE HOUDBAAR TOT: / BEDST / BAST ', 'E/ H/']",[],?,379,1586 kj(379 kcal),"4,7","1,4",67,2,"15,8","0,14","0,056",,['Entrepreneurs + Engagés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,De Cecco Sugo Arrabiata (400g Glas) - 400g,8001250219145,['De cecco'],"['France', 'Pays-Bas']","['Pulpe de tomates 59%', ""purée de tomates 31% d'olive vierge extra 3%"", 'oignons', 'sucre', 'sel', 'ail', 'persil 0', '22%', 'piment rouge piquant 0,16%', 'ciboulette', ' SANS CONSERVATEURS']",[],?,60,251 kj(60 kcal),"2,8","0,4","6,4","5,6","1,6","0,86","0,344",400 g,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sugo alla Napoletana - De Cecco - 400g,8001250219169,['De Cecco'],"['France', 'Suisse']",[],[],?,60,251 kj(60 kcal),"3,1","0,5","5,9","4,4","1,2","0,97","0,388",400 g,"['Fabriqué en Italie', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fettuccine all'uovo n° 303 - De Cecco - 250g,8001250243034,['De Cecco'],['France'],"['Semoule de blé dur de qualité supérieure', 'œufs ', '23,87 %']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1562,?,1562 kj(373 kcal),"4,2","1,3","66,2","2,4","15,2","0,13","0,052",250 g,"['Point Vert', 'Fabriqué en Italie', 'Eco-Emballages']","['Œufs', 'Gluten']",Pâtes alimentaires aux œufs frais,['Sachet plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes aux œufs']","[""F. Lli De Cecco Di Filippo Fara San Martino SpA - Strada Statale 538 km. 6.500 - Caldari d'Ortona"", '(CH : Chieti)', 'Abruzzes', 'Italie']",http://www.dececco.it/FR/Pates-aux-oeufs/Nids/fettuccine-all-uovo-303/?Prodotto=145,['Monoprix'],1,4.2 g,en quantité modérée,1.3 g,en faible quantité,2.4 g,en faible quantité,0.13 g,en faible quantité,+10%,,+11%,+2%,+15%,+11%,-6%,+16%,-46%,-46%,-2,,A,,,,,,,,,,,,,,
9,De Cecco Extra Virgin Olive Oil Pregiato 500Ml - 500mL,8001250260024,['De Cecco'],['France'],[],[],?,824,3448 kj(824 kcal),"91,6",14,0,0,0,,,500 mL,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,91.6 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,-4%,-4%,-4%,0%,,,,,,,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,
10,"Chianti Barone Ricasoli, Barone Ricasoli",8001291057515,,['France'],[],[],?,0,0 kj(0 kcal),5,1,5,2,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pesto - Despar,8001300223146,['Despar'],['France'],[],[],?,593,2481 kj(593 kcal),60,"8,4","5,7",0,"6,5","3,3","1,32",,['en:gluten-free'],,,,"['Epicerie', 'Sauces', 'Sauces Pesto']",,,,,60 g,en quantité élevée,8.4 g,en quantité élevée,0 g,en faible quantité,3.3 g,en quantité élevée,,+40%,+41%,+46%,+40%,-14%,-100%,+46%,+42%,+42%,25,+37%,E,+37%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,
12,Multigrain di riso e frumento integrale - Despar,8001300800033,['Despar'],"['France', 'Italie']",[],[],?,393,1644 kj(393 kcal),"4,3","0,9",79,"15,5","7,5","0,3","0,12",,,,,,,,,['Despar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Muesli croccante - Despar,8001300802600,['Despar'],"['France', 'Italie']",[],[],?,444,1858 kj(444 kcal),14,"3,6",66,24,"9,5","0,11","0,044",,,,,,,,,['Despar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
