,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,labels,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,link,allergens,nova_score,markets,generic_name,packaging,additives,brand_owner,palm_ingredients
0,test,3276000386698,"['Non alimentaire', 'en:Tests']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0.30000001192093,-100%,1 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,"0,07",-99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20 Chipolatas,3348580061682,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,E,['Sans colorants'],"['EMB 56010B', 'Baud (Morbihan, France)']",86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,
2,Jack Links Beef Jerky 35g Teriyaki (12) J7391 - Jack Link's,0017082007391,,['France'],[],[],,,,,,,?,,285.71428571429,,1195 kj(285 kcal),,"4,286",,"0,571",,20,,20,,40,,,,,,,,,,,,"[""Jack Link's""]","4,214","1,686",,,,,,,,,,,,,,,,,,,,
3,Crevette Black Tiger,3261082343523,,['France'],[],[],,,,,,,?,,49,,205 kj(49 kcal),,"0,5",,"0,2",,0,,0,,11,,,,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,
4,Pizza royale les nicois,4862136985412,,['France'],[],[],,,,,,,?,,143,,598 kj(143 kcal),,"4,2",,"1,7",,"19,7",,4,,"5,8",,,,,,,,,,,,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,
5,Chips de bananes,2600128008995,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Energy bars - 12x 15g,0745125040011,,['France'],[],[],,,,,,,?,,1280,,5356 kj(1280 kcal),,"10,6",,"2,3",,"46,8",,"32,3",,"6,4",,,,,,,,,,,,,,,12 x 15 g,,,,,,,,,,,,,,,,,,,
7,Pissaladiere les nicois,3656263578412,,['France'],[],[],,,,,,,?,,132,,552 kj(132 kcal),,"5,8",,"0,7",,"17,1",,"1,6",,"2,4",,,,,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,
8,Olives noires à la grecpue dénoyautées,3466402800551,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",['France'],[],[],32.2 g,en quantité élevée,2.6 g,en quantité modérée,1 g,en faible quantité,?,,359,+66%,1502 kj(359 kcal),+67%,"32,2",+53%,"2,6",-7%,"15,6",+537%,1,+232%,"1,7",+36%,B,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,6,"2,4",,6 g,en quantité élevée,+67%,+67%,16,+31%,D,+31%,,,,,,,,,,,
9,Fleur de sel du Bassin d’Arcachon,3770011498451,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,11,"4,4",,,,,,,,,,,,,,,,,,,,
10,Celestial Seasoning Peppermint Tea Bags 4 Pieces,0070734100031,,['France'],[],[],,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
11,Galettes bretonnes - 180g,2006050001491,,['France'],[],[],,,,,,,?,,478,,2000 kj(478 kcal),,19,,12,,69,,26,,"7,2",,,,,,,,,,,,,"0,91","0,364",180 g,,,,,,,,,,,,,,,,,,,
12,honey vanilla chamomile,0070734517150,,['France'],[],[],,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
13,sleepytime herbal tea - Celestial Seasonings,0070734101168,,['France'],[],[],,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,,,,,,,,,,,['Celestial Seasonings'],0,0,,,,,,,,,,,,,,,,,,,,
14,Pizza legumes du soleil les Nicois,1258965489657,,['France'],[],[],,,,,,,?,,193,,808 kj(193 kcal),,"6,7",,"1,8",,"26,1",,"6,1",,"6,2",,,,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,
15,bière d’été - Leffe - 82x 25cl,5410228258292,,['France'],[],[],,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,"4,3",,"0,5",,"0,3",,,,,,,,,,,,['Leffe'],"0,1","0,04",82 x 25 cl,,,,,,,,,,,,,,,,,,,
16,Saite de porc aux pruneaux,3508100170076,,['France'],[],[],,,,,,,?,,109,,456 kj(109 kcal),,"3,3",,"1,3",,12,,"6,3",,"6,5",,,['Sans arômes artificiels'],,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,
17,Neocate,5016533654899,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Banane chips,2600128018109,,['France'],[],[],,,,,,,?,,498,,2084 kj(498 kcal),,24,,22,,70,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pêches - Del Monte,0060000717117,,['France'],[],[],,,,,,,?,,68,,285 kj(68 kcal),,0,,0,,"16,316",,"15,263",,"0,526",,,,,,,,,,,,['Del Monte'],,,,,,,,,,,,,,,,,,,,,,
20,Cristaux Pour Boissons (limonade Rose),0068100068429,,['France'],[],[],,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,"0,2",,0,,"0,02",,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
21,Fromage Fil D'or,3700257100108,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5022019310319,5022019310319,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Les p’tits quatres quarts,3260260094158,,['France'],[],[],,,,,,,?,,461,,1929 kj(461 kcal),,26,,12,,52,,29,,"6,2",,,,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,
24,Baguette,3289666162704,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4 gaufres de Bruxelle - 280g,0207454016070,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,0,0,280 g,,,,,,,,,,,,,,,,,,,
26,Bigger glace vanille-chocolat,20257057,,['France'],[],[],,,,,,,?,,322,,1347 kj(322 kcal),,20,,"14,4",,"32,3",,"30,3",,"3,2",,,,,,,,,,,,,"0,26","0,104",,,,,,,,,,,,,,,,,,,,
27,Whey Hydro Isolate - Prozis,5600499561966,,['France'],[],[],,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,
28,Mozzarella souple - Transgourmet - 1kg,3554983004946,,['France'],[],[],,,,,,,?,,296,,1238 kj(296 kcal),,22,,14,,"1,5",,"1,5",,23,,,,['DE BY-40408 EG'],,,,,,,,['Transgourmet'],0,0,1 kg,,,,,,,,,,,,,,,,,,,
29,Finest tea blends,8712231500304,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sorbet - 4x 70g,3770006482083,,['France'],[],[],,,,,,,?,,113,,473 kj(113 kcal),,"0,5",,"0,1",,24,,24,,"0,8",,,"['Bio', 'Bio européen', 'Sans arômes artificiels', 'FR-BIO-16', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,,,,,,,,,,,4 x 70 g,,,,,,,,,,,,,,,,,,,
31,Olive cassesaux herbes de provence,2609828016798,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bcca glutamine x press - 300g,5999100008168,,['France'],[],[],,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,,,,,,
33,azeite virgem extra,5606458856050,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],91.6 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,?,,831,-3%,3477 kj(831 kcal),-3%,"91,6",-4%,13,-7%,0,,0,,0,,D,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,0,0,,0 g,en faible quantité,-100%,-100%,6,-2%,C,-2%,,,,,,,,,,,
34,Cordon bleu,2616039019357,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,D,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,,,,,,,,,,,,,
35,Vin Gaillac Tradution,3770001286525,,['France'],[],[],,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Myrtille Noisette Bourgeon de Sapin - baouw - 25g,3760267400919,['Barres nutritionnelles'],['France'],"['Dattes*', 'myrtilles sauvages* 25%', 'noisettes* 14%', 'pâte de pommes*', 'farine de quinoa*', 'protéine de tournesol*', ""fibre d'acacia*"", ""huile d'olive*"", 'bourgeons de sapin* 0,2%', ' *']","['Sans huile de palme', 'Végétalien', 'Végétarien']",13 g,en quantité modérée,1.8 g,en quantité modérée,39.5 g,en quantité élevée,1566,+7%,373,+4%,1566 kj(373 kcal),+7%,13,+2%,"1,8",-15%,54,+18%,"39,5",+1%,"7,3",-18%,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'en:palm-oil-free']",,,,,,,,,['Baouw'],"0,02","0,008",25g,0.02 g,en faible quantité,-97%,-97%,6,-40%,C,-40%,['France'],['France'],https://www.baouw-organic-nutrition.com/,['Fruits à coque'],3,,,,,,
37,Bière artisanale BIO,3700888914426,,['France'],[],[],,,,,,,?,,?,,,,?,,0,,?,,,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Elimin instant,5420024612754,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Filet Mignon fumé,0285425055105,,['France'],[],[],,,,,,,?,,257,,1075 kj(257 kcal),,?,,"3,4",,"2,5",,"0,1",,46,,,,,,,,,,,,,"6,7","2,68",,,,,,,,,,,,,,,,,,,,
40,Petit épeautre,3227290000634,,['France'],[],[],,,,,,,?,,167,,699 kj(167 kcal),,"3,8",,"0,3",,24,,"0,5",,"6,4",,,"['Bio', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,"0,48","0,192",,,,,,,,,,,,,,,,,,,,
41,Tablette lait 45% amandes torrefiees raisins - Grain de Sail,3760226261193,,['France'],[],[],,,,,,,?,,537,,2247 kj(537 kcal),,36,,20,,43,,42,,9,,,,,,,,,,,,['Grain de Sail'],"0,34","0,136",,,,,,,,,,,,,,,,,,,,
42,Champignons,3760120710018,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0206975051164,0206975051164,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['FR 24.547.003 CE', 'Terrasson-Lavilledieu (Dordogne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,
44,Noix de cajou et cranberries,20675400,,['France'],[],[],,,,,,,?,,469,,1962 kj(469 kcal),,"24,1",,"4,7",,"50,6",,"39,1",,"9,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Madeleine,03269133,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['France'],[],[],24 g,en quantité élevée,12 g,en quantité élevée,24 g,en quantité élevée,?,,436,-1%,1824 kj(436 kcal),-1%,24,+5%,12,+73%,51,-3%,24,-13%,"4,6",-19%,B,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,"0,87","0,348",,0.87 g,en quantité modérée,+7%,+7%,23,+25%,E,+25%,,,,,,,,,,,
46,Jus de pomme,3423182112014,,['France'],[],[],,,,,,,?,,4.5,,19 kj(4 kcal),,0,,0,,"19,8",,18,,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
