,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,brand_owner,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,producer_info
0,Helios Mermelada Naranja Con Chocolate Negro,8410095002896,['Helios'],['France'],[],[],?,249,1042 kj(249 kcal),"1,6",1,58,"57,6","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Campiello Frollini Gocce Cioccol. gr. 700,8000590107303,,['France'],[],['Sans huile de palme'],?,489,2046 kj(489 kcal),22,"3,9",65,22,"6,2","0,5","0,2","['Agriculture durable', 'en:palm-oil-free', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Noix de coco -  - 250g,3700758501411,,['France'],[],[],?,?,,?,,?,,?,,,"['Sans conservateurs', 'Sans additifs']",D,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Noix de coco']",,,,,,70.3%,0.0%,8.0%,9.7%,8.6%,3.4%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Piment de Cayenne - Ducros,3166296211357,['Ducros'],['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Vita coco,0898999011073,['Vita Coco'],['France'],[],[],?,24,100 kj(24 kcal),"0,6","0,5","4,7","4,2","0,09","0,09","0,036",,,,,,,,,,,,,,,,,['composite-carton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3760280006556,3760280006556,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Barilla,8430624651227,['Barilla'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8437016456118,8437016456118,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5 chipolatas aux herbes - Bio Village - 275g,3661112801120,['Bio Village'],['France'],"['IN Viande de porc* 93% ', 'origine France', 'sel', 'acidifiant: E325', 'arômes naturels', 'herbes de Provence* 0,25 %', 'SUcre de cannet', 'dextrose""', 'épicest et plantes aromatiques*', 'antioxydant: E300', ' Boyau naturel de mouton', "" Contient naturellement de l'acide acétique et des polyphénols"", ' Traces de lait', 'gluten', 'soja et céleri', "" * Ingrédients issus de l'agriculture biologique""]",[],?,238,996 kj(238 kcal),19,"6,7","0,8","0,6",16,2,"0,8","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore D']",C,275 g,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,-0%,+1%,-32%,+4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Plastique'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],"['E325 - Lactate de sodium', 'E300 - Acide ascorbique']",4,19 g,en quantité modérée,6.7 g,en quantité élevée,0.6 g,en faible quantité,2 g,en quantité élevée,-0%,-7%,-5%,+11%,+11%,16,-4%,D,-4%,,,,,,,,
9,Salsa Santamaria Hot Pepper - Santa María - 85ml,7311310388027,['Santa María'],"['France', 'Espagne']","['Vinagre', 'pimiento chile ', '32%', 'sal', 'azúcar', 'espesante ', 'E415']",[],?,18,75 kj(18 kcal),"0,5","0,3","2,5","1,7","0,6",10,4,,,85 ml,"['Epicerie', 'Sauces', 'Sauces chili']",,-79%,-45%,-83%,-38%,,,,,,,,,,,['E415 - Gomme xanthane'],4,0.5 g,en faible quantité,0.3 g,en faible quantité,1.7 g,en faible quantité,10 g,en quantité élevée,-79%,+81%,-83%,+153%,+153%,10,-5%,C,-5%,,,,,,,,
10,Zilia Eau Minérale Naturelle Corse Aromatisée,3513921100508,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,la boulangère,0764409791166,['la boulangère'],['France'],"['Farine de blé', 'eau', 'farine de seigle', 'sucre', 'levure', ""fibres d'avoine"", 'gluten de blé', 'huile de colza', 'sel', 'levain de seigle dévitalisé']",['Sans huile de palme'],?,288,1205 kj(288 kcal),2,"0,4","55,7","10,1","9,2",1,"0,4",['Sans conservateurs'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux']",,-1%,-61%,+14%,-1%,,,,,,,,,,,,4,2 g,en faible quantité,0.4 g,en faible quantité,10.1 g,en quantité modérée,1 g,en quantité modérée,-1%,-55%,+128%,-18%,-18%,-1,-127%,A,-127%,['Gluten'],,,,,,,
