,name,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,allergens,link,traceability_code,palm_ingredients,bar_code,brand_owner
0,Ylanté - Sagy - 2g,A,Thé noir pur Ceylan,2 g,['Sachet'],['Sagy'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés de ceylan']",['Point Vert'],['Ceylan'],['http://www.episaveurs.fr/produit/epicerie/produit_0004596.html'],"['RCIR', 'Armée de Terre']",['France'],['100% thé noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,"0,01",-51%,"0,01",+118%,"0,5",+155%,"0,5",+225%,"0,5",+156%,"0,01",+1189%,"0,004",+1189%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,
1,i-Twist 2hot4u - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Krunchy sauce burger - KFC,,,,,['KFC'],"['Epicerie', 'Sauces']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twister® Poulet cuit au four - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The B.O.S.S® Bacon - KFC,,,,,['KFC'],"['Sandwichs', 'Hamburgers']",,,,,['France'],[],[],,?,,259,+4%,13,+4%,4,-15%,19,-7%,2,-37%,15,+15%,2,+71%,"0,8",+71%,,,,,,,,13 g,en quantité modérée,4 g,en quantité modérée,2 g,en faible quantité,2 g,en quantité élevée,1084 kj(259 kcal),+3%,11,+10%,D,+10%,,,,,,,
5,Tower® Zinger - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Boxmaster® Fish - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Double Stacker Zinger - KFC,,,,,['KFC'],"['Sandwichs', 'Hamburgers']",,,,,['France'],[],[],,1070,+2%,?,,"12,8",+2%,"2,75",-41%,"19,6",-4%,"3,67",+17%,"14,4",+10%,"1,53",+31%,"0,612",+31%,,,,,,,,12.8 g,en quantité modérée,2.75 g,en quantité modérée,3.67 g,en faible quantité,1.53 g,en quantité élevée,1070 kj(256 kcal),+2%,9,-10%,C,-10%,,,,,,,
8,Duo Mix* + Pièces Hot (Pièces et Wings Hot) - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Big Mix * - KFC,,,,,['KFC'],['Fast food'],,,,,['France'],[],[],,1040,,?,,"14,1",,"3,14",,"12,9",,0,,"17,1",,"1,57",,"0,627",,,,,,,,,14.1 g,en quantité modérée,3.14 g,en quantité modérée,0 g,en faible quantité,1.57 g,en quantité élevée,1040 kj(249 kcal),,12,,D,,,,,,,,
