,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,labels,allergens,nova_score,manufacturing,traceability_code,markets,additives,ingredients_origins,link,palm_ingredients,brand_owner
0,Sucre gelifiant - Diamant,4001726378004,B,['Diamant'],"['Édulcorants', 'Sucres', 'Sucres gélifiant']",['France'],[],[],0.2 g,en faible quantité,0.2 g,en faible quantité,98 g,en quantité élevée,0.02 g,en faible quantité,?,,398,+2%,1665 kj(398 kcal),+2%,"0,2",+125%,"0,2",+822%,98,+0%,98,+4%,0,-100%,"0,02",-37%,"0,008",-37%,14,-1%,D,-1%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,,,
1,Cream of mushroom soup - Maggi,7610100300059,,['Maggi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Soupes', 'Veloutés', 'Veloutés de champignons']","['France', 'Émirats arabes unis']",[],[],1.9 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en faible quantité,0.65 g,en quantité modérée,?,,65,+62%,272 kj(65 kcal),+57%,"1,9",-5%,"0,5",-49%,"10,3",+137%,"0,8",+5%,"1,8",+75%,"0,65",-8%,"0,26",-8%,-4,,A,,,,,,,,,,,,,,,,,,,,,,
2,Thé vert boo Mangue Abricot - Pagès,3398984505299,,['Pagès'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,galettes Froment chocolat noir - GAYELOTD HAUSER,07267244,,['GAYELOTD HAUSER'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Crunchy Natural Almond Butter - Nature Nuts - 500g,0682264600112,,['Nature Nuts'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",['France'],['Amandes rôties à sec'],[],57 g,en quantité élevée,4 g,en quantité modérée,7 g,en quantité modérée,0 g,en faible quantité,?,,714,+13%,2987 kj(714 kcal),+13%,57,+6%,4,-11%,21,+147%,7,+42%,21,-4%,0,-100%,0,-100%,2,-48%,B,-48%,,,,,,,,Beurre d'Amandes Croquant - Crunchy Natural Almond Butter,500 g,"['Bocal', 'Verre', 'métal']",['Sans OGM'],['Fruits à coque'],,,,,,,,,
5,Vieux Lille rousse,3572860002205,,['Vieux Lille'],['Bière simple'],['France'],"[""Contient du malt d'orge""]",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bouteille'],,['Gluten'],1,,,,,,,,
6,Bisque de Homard - La Cancalaise,3760023262041,,['La Cancalaise'],"['Conserves', 'Produits de la mer', 'Plats préparés', 'Soupes', 'Plats préparés en conserve', 'Soupes en conserve', 'Bisques de homard']",['France'],[],[],3.6 g,en quantité modérée,1.4 g,en faible quantité,1.28 g,en faible quantité,1.28 g,en quantité modérée,?,,70,+27%,293 kj(70 kcal),+26%,"3,6",+36%,"1,4",+65%,"3,9",+9%,"1,28",+27%,"4,9",+60%,"1,28",+14%,"0,512",+14%,3,-13%,C,-13%,,,,,,,,Bisque de Homard,,"['Bocal', 'Verre', 'métal']",['en:produced-in-bretagne'],"['Céleri', 'Crustacés', 'Poisson', 'Gluten', 'Lait']",,"['Bretagne', 'France']",,,,,,,
7,Teriyaki Sauce China - Miyata - 150mL,6933362463722,,['Miyata'],"['Epicerie', 'Sauces', 'Sauces Teriyaki']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,29 g,en quantité élevée,12.8 g,en quantité élevée,?,,128,-25%,536 kj(128 kcal),-24%,"0,5",+20%,"0,1",+66%,29,+2%,29,+20%,"2,6",-24%,"12,8",+107%,"5,12",+107%,17,+1%,D,+1%,,,,,,,,,150 mL,,,,,,,,,,,,
8,Atun claro en escabeche - campos - 266,8410967640003,D,['Campos'],"['Produits de la mer', 'Poissons', 'Thons']",['France'],[],[],11 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,0.49 g,en quantité modérée,?,,171,-7%,715 kj(171 kcal),-6%,11,+11%,"1,5",-15%,0,-100%,0,-100%,18,-16%,"0,49",-52%,"0,196",-52%,0,-100%,B,-100%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,266,['boîte'],,,,,,,,,,,
9,Mousse chocolate,5602477815177,D,,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",['France'],[],[],3 g,en quantité modérée,2.4 g,en quantité modérée,26 g,en quantité élevée,0.34 g,en quantité modérée,?,,168,-39%,703 kj(168 kcal),-38%,3,-82%,"2,4",-76%,30,+36%,26,+31%,"3,9",-34%,"0,34",+55%,"0,136",+55%,8,-39%,C,-39%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,,,,,,,,
10,MIEL ACACIA 375G - Maison Vergnon,3760143560287,B,['Maison Vergnon'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,375g,,,,2,,,,,,,,
11,Terrine de pintade au macvin,3329260205213,,,,['France'],[],[],,,,,,,,,?,,282,,1180 kj(282 kcal),,25,,"8,8",,"0,3",,"0,3",,"13,9",,"1,6",,"0,64",,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,"['FR 58.199.001 CE', 'Onlay (Nièvre, France)']",,,,,,
12,Tomme noir pyren.IGP. pas.20%,2823344015817,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,alsa levure chimique - 11gr,20114572,C,['Alsa'],"['Additifs alimentaires', 'Levure chimique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,35.2%,53.8%,4.4%,2.6%,3.9%,0.0%,59,,11gr,['Sachet'],,,,,,,,,,,
14,6194004612520,6194004612520,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,La Juliette Des Sables,3592349740008,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6 Flaschen Reserva Carmenere Ventisquero,7808725400166,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,tradition francaise - 1kg,3289664450407,,,,['France'],"['farine de ble', 'eau', 'sel', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,1 kg,,,['Gluten'],,,,,,,,,
