,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
0,Kägi Classic,7610046000266,['Kägi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées']",['France'],"['Sucre', 'graisse de palme', 'farine de froment', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'cacao en poudre', 'noisettes', 'fibres de blé moulues', ""jaune d'oeuf en poudre"", 'émulsifiant: lécithine de soja', 'sel de cuisine', 'poudre à lever: bicarbonate de sodium', 'extrait de vanille']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",['Huile de palme'],"['Gluten', 'Fruits à coque']","['Huile de palme', 'Non végétalien', 'Végétarien']",4,35 g,en quantité élevée,25 g,en quantité élevée,38 g,en quantité élevée,0.24 g,en faible quantité,?,,559,+10%,2339 kj(559 kcal),+9%,35,+23%,25,+60%,57,+1%,38,-13%,"6,4",-7%,"0,24",-12%,"0,096",-12%,25,+2%,E,+2%,,,,,,,,,,,,,,,,,,,,
1,Saucisse cocktail,3017800198544,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses cocktail']",['France'],[],,,,[],,19 g,en quantité modérée,6.5 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,898,+262%,3757 kj(898 kcal),+261%,19,-12%,"6,5",-19%,"0,5",-70%,"0,5",-32%,12,+2%,"1,6",-16%,"0,64",-16%,23,+30%,E,+30%,E,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,,,,,,
2,"Craquines Sésame, lin, chia",3389090022367,,,['France'],[],,,,[],,,,,,,,,,?,,433,,1812 kj(433 kcal),,15,,"5,7",,60,,"5,5",,12,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
3,Miel,3539710000019,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Porc,8421395300230,,,['France'],[],,,,[],,,,,,,,,,?,,447,,1870 kj(447 kcal),,"35,2",,"13,2",,"7,1",,"1,6",,"25,3",,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,
5,Pain au chocolat,0260206013123,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,
6,3% Greek Style Frozen Yogurt Vanilla -,00334594,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Surgelés', 'Desserts glacés', 'Yaourts', 'Yaourts glacés', 'Yaourts à la grecque']",['France'],[],,,,[],,2.8 g,en faible quantité,1.8 g,en quantité modérée,0.5 g,en faible quantité,0.018 g,en faible quantité,?,,141,-17%,590 kj(141 kcal),-16%,"2,8",-54%,"1,8",-55%,"22,8",-7%,"0,5",-98%,"6,1",+79%,"0,018",-86%,"0,007",-86%,-1,-113%,A,-113%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,
7,Vinaigre balsamique,3350033317321,,"['Vinaigres', 'Vinaigres balsamiques']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,18 g,en quantité élevée,0.01 g,en faible quantité,?,,84,-43%,351 kj(84 kcal),-42%,0,-100%,0,-100%,20,-35%,18,-35%,"1,1",+73%,"0,01",-88%,"0,004",-88%,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,
8,Fromage à tartiner,3272770098113,,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",['France'],[],,,,[],,17.8 g,en quantité modérée,13.2 g,en quantité élevée,3 g,en faible quantité,1.3 g,en quantité modérée,?,,205,-12%,858 kj(205 kcal),-13%,"17,8",-15%,"13,2",-6%,3,-11%,3,+1%,"8,3",-1%,"1,3",+11%,"0,52",+11%,12,0%,D,0%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
9,Oat cookies,6291104288041,,,['France'],[],,,,[],,,,,,,,,,?,,504,,2109 kj(504 kcal),,26,,12,,59,,33,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
