,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,nova_score,additives,allergens,palm_ingredients,generic_name,origin_detail,producer_info,link,brand_owner
0,Fromage blanc - Grand Jury - 1kg,3245391686830,B,1 kg,"['Pot', 'Plastique']",['Grand Jury'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages pasteurisés', 'Fromages blancs', 'Fromages à la crème']",['France'],"['Proxi', '8 à Huit']",['France'],[],[],3 g,en quantité modérée,1.9 g,en quantité modérée,3.3 g,en faible quantité,0.15 g,en faible quantité,?,,70,-23%,293 kj(70 kcal),-22%,3,-26%,"1,9",-27%,"3,3",-49%,"3,3",-45%,"7,5",+16%,"0,15",+40%,"0,06",+40%,-3,-1145%,A,-1145%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,
1,Bte 4 / 4 Ratatouille Fin Gourmet Grand Jury - 750g (850ml),3245391712744,B,750 g (850 ml),['Conserve'],['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Plats préparés', ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Plats préparés en conserve', 'Ratatouilles']",,"['Proxi', '8 à Huit']",['France'],[],[],1.3 g,en faible quantité,0.5 g,en faible quantité,4.7 g,en faible quantité,0.9 g,en quantité modérée,?,,46,-32%,192 kj(46 kcal),-31%,"1,3",-65%,"0,5",-7%,"6,3",+23%,"4,7",+21%,"1,4",+19%,"0,9",+26%,"0,36",+26%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,['Fabriqué en France'],['France'],"['EMB 13108A', 'Tarascon (Bouches-du-Rhône, France)']",,,,,,,,,
2,Saucisses aux Lentilles - Grand Jury,3245391969674,C,,['Conserve'],['Grand Jury'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés en conserve', 'Plats à base de lentilles', 'Saucisses aux lentilles']",,"['Proxi', '8 à Huit']",['France'],[],[],5 g,en quantité modérée,1.8 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en quantité modérée,?,,108,-22%,452 kj(108 kcal),-21%,5,-24%,"1,8",-27%,"7,6",-5%,"1,1",+36%,"6,9",-14%,"1,1",+17%,"0,44",+17%,0,-100%,B,-100%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,,
3,Lait demi-écrémé UHT - Grand Jury - 1L,3245392130301,C,1 L,"['Brique', 'Carton']",['Grand Jury'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,"['Proxi', '8 à Huit']",['France'],['Lait demi-écrémé stérilisé UHT'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,6",-5%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,1",-10%,"0,04",-10%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,1,,,,,,,,
4,Petits suisses - Grand Jury - 6 * 60g,3245392428460,B,6 * 60 g,"['Pot', 'Plastique']",['Grand Jury'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Petits suisses']",['France'],"['Proxi', '8 à Huit']",['France'],[],[],10.4 g,en quantité modérée,6.9 g,en quantité élevée,3.5 g,en faible quantité,0.1 g,en faible quantité,?,,141,+29%,590 kj(141 kcal),+31%,"10,4",+97%,"6,9",+99%,"3,5",-45%,"3,5",-41%,"8,3",+5%,"0,1",+2%,"0,04",+2%,2,+531%,B,+531%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Fabriqué en France'],['France'],"['EMB 89263', 'Monéteau (Yonne, France)', 'FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,,,,,,,,
5,Crème fraîche épaisse (30% mat. gr.) - Grand Jury - 20cl,3245393059397,B,20 cl,"['Plastique', 'Pot']",['Grand Jury'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",['France'],"['Proxi', '8 à Huit']",['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,2.9 g,en faible quantité,0.08 g,en faible quantité,?,,291,-0%,1218 kj(291 kcal),+2%,30,+1%,20,+1%,"2,9",-11%,"2,9",+1%,"2,3",-3%,"0,08",-5%,"0,032",-5%,13,0%,D,0%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['France'],"['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,,,,,,,,
6,Galettes bretonnes pur beurre - Grand Jury - 125g,3245393092936,C,125 g,,['Grand Jury'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,"['Proxi', '8 à Huit']",['France'],"['Farine de blé', 'sucre', 'beurre 23%', 'œufs frais 3%', 'sel', ""poudre à lever carbonates d'ammonium - carbonates de sodium - diphosphates""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",20 g,en quantité modérée,13 g,en quantité élevée,27 g,en quantité élevée,0.9 g,en quantité modérée,?,,486,-1%,2033 kj(486 kcal),-1%,20,-14%,13,-6%,69,+10%,27,+6%,"6,5",+5%,"0,9",+32%,"0,36",+32%,22,+0%,E,+0%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,4,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",,,,,,
7,Haricots Verts Extra Fins - Grand Jury,3245393114485,B,,['Conserve'],['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",,"['Proxi', '8 à Huit']",['France'],"['Haricots verts extra-fins', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.63 g,en quantité modérée,?,,25,+4%,105 kj(25 kcal),+6%,0,-100%,0,-100%,"2,8",+5%,"0,5",-35%,"1,6",+8%,"0,63",-6%,"0,252",-6%,-6,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,,,3,,,,,,,,
8,Beurre moulé de Bretagne Doux (82 % MG) - Grand Jury - 500g,3245393340259,E,500 g,"['Plastique', 'Frais']",['Grand Jury'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres moulés', 'Beurres de crème douce']",,"['Aux Délices Amplepuisiens', 'Proxi', '8 à Huit']",['France'],"['Beurre ', 'crème de lait pasteurisée', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",82 g,en quantité élevée,60 g,en quantité élevée,0.6 g,en faible quantité,0.05 g,en faible quantité,3058,+1%,?,,3058 kj(731 kcal),-0%,82,+1%,60,+6%,"0,6",-12%,"0,6",-2%,"0,8",+13%,"0,05",-95%,"0,02",-95%,19,-17%,E,-17%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,"['Bretagne', 'France']","['FR 29.156.090 CE', 'Pencran (Finistère, France)', 'EMB 29103A', 'Landerneau (Finistère, France)']",2,,['Lait'],,,,,,
9,Biscottes - Grand Jury - 300g (34tranches),3245393405279,B,300 g (34 tranches),"['boîte', 'Carton', 'Plastique']",['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,"['Proxi', '8 à Huit']",['France'],"['Farine de blé 86 %', 'sucre', 'huile végétale de colza', 'levure', 'sel', 'gluten de blé', 'agent de traitement de la farine : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",5 g,en quantité modérée,0.7 g,en faible quantité,6.5 g,en quantité modérée,1.1 g,en quantité modérée,?,,391,-1%,1636 kj(391 kcal),-1%,5,-25%,"0,7",-62%,74,+8%,"6,5",+11%,11,-7%,"1,1",-5%,"0,44",-5%,0,-100%,B,-100%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,['Point Vert'],,,4,['E300 - Acide ascorbique'],['Gluten'],,,,,,
