,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,allergens,nova_score,ingredients_origins,manufacturing,markets,additives,traceability_code,palm_ingredients,link
0,Méli-Mélo - Tipiak,3600900061872,['Tipiak'],['France'],[],[],?,359,1502 kj(359 kcal),"3,5","0,5",71,"9,3",15,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2 bagettes aux légume pour lapin,3601020389082,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chataignes du Limousin,3601500000001,,['France'],[],[],?,166,695 kj(166 kcal),1,"0,18","32,9","9,3","2,8",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pain chocolat par 4 beurre charrette Poitou,3601644059378,,['France'],[],[],?,371,1552 kj(371 kcal),18,11,45,11,"6,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tomate,3601682007966,,['France'],[],[],?,147,615 kj(147 kcal),1,1,15,11,12,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Basilic,3601770013053,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Saumon frais - Fumage artisanal du sichon - 0,080",3602202047356,['Fumage artisanal du sichon'],['France'],[],[],?,?,,?,,?,,?,,,,"0,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quatre-Quart Breton - Jours Heureux,3602800129942,['Jours Heureux'],['France'],[],[],?,470,1966 kj(470 kcal),28,16,49,28,6,"1,1","0,44",,,D,"['Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']",28 g,en quantité élevée,16 g,en quantité élevée,28 g,en quantité élevée,1.1 g,en quantité modérée,,+11%,+10%,+23%,+31%,+0%,-1%,+4%,+8%,+8%,25,+10%,E,+10%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,,,,,,,,,,
8,Les Niniches de Quiberon - Jours Heureux,3602800324132,['Jours Heureux'],['France'],"['Sucre', 'glucose', 'lait concentré', 'beurre frais breton salé au sel de Guérande']",['Non végétalien'],?,437,1828 kj(437 kcal),"10,3","6,3","84,7","63,9","1,5","0,6","0,24",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Sucettes']",10.3 g,en quantité modérée,6.3 g,en quantité élevée,63.9 g,en quantité élevée,0.6 g,en quantité modérée,,+16%,+15%,+939%,+1082%,-5%,-11%,+58%,+488%,+488%,23,+56%,E,+56%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,Les Niniches de Quiberon,"['Carton', 'boîte', 'Plastique']",['Lait'],4,,,,,,,
9,tisane - bio nuit paisible - 50g,3602800877553,['bio nuit paisible'],['France'],"['orangers feuille 30%', 'marjolaine 20%', 'camomilles matricaire 20%', 'oranger bouton 10%', 'aspérule 10%', 'rose 10%']",[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",50 g,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,tisane de nuit,['boite carton'],,,['France'],['France'],['Biomonde'],,,,
10,Le gâteau aux chataignes - Jours Heureux,3602800927043,['Jours Heureux'],['France'],[],[],?,375,1569 kj(375 kcal),"20,5",11,"39,7","33,5","6,1","0,07","0,028",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Les sarments à l'orange - Jours Heureux,3602800930807,['Jours Heureux'],['France'],[],[],?,439,1837 kj(439 kcal),"17,55","10,7",64,"61,2","3,65","0,009","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Les Spéculoos - Jours Heureux - 175g e,3602801155025,['Jours Heureux'],['France'],[],[],?,480,2008 kj(480 kcal),"18,3",8,"71,1",36,"6,5","0,1","0,04","['Point Vert', 'Fabriqué en France']",175 g e,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Spéculoos']",18.3 g,en quantité modérée,8 g,en quantité élevée,36 g,en quantité élevée,0.1 g,en faible quantité,,+1%,+1%,-3%,-11%,+3%,+7%,+15%,-86%,-86%,19,-16%,E,-16%,83.0%,9.8%,3.2%,2.0%,1.9%,0.0%,53,Les Spéculoos,"['Carton', 'boîte', 'Plastique']",,,,['France'],,,,,
13,Confiture de myrtilles,3602801980016,,['France'],[],[],?,251,1050 kj(251 kcal),"0,2","0,2",62,48,"0,4","0,001",0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",0.2 g,en faible quantité,0.2 g,en faible quantité,48 g,en quantité élevée,0.0006 g,en faible quantité,,+15%,+14%,-23%,+351%,+16%,-6%,+3%,-96%,-96%,8,-13%,C,-13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
14,Les tuilettes de Nemours - Jours Heureux,3602801980054,['Jours Heureux'],['France'],"['Chocolat noir 70% de cacao minimum et 58% de cacao minimum ', ' pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', ' arôme : vanille naturelle', 'chocolat au lait 33% de cacao minimum ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'masse de cacao', 'émulsifiant : lécithine de soja', 'arôme : vanille naturelle', 'chocolat blanc 27% de cacao minimum ', ' sucre', 'beurre de cacao', 'poudre de lait entier', 'émulsifiant : lécithine de soja', 'arôme : vanille naturelle', 'amandes hachées grillées', 'noisettes hachées grillées', 'pistaches hachées grillées']",['Non végétalien'],?,584,2443 kj(584 kcal),"39,51",20,"49,1",38,"8,6","0,08","0,032",['Pur beurre de cacao'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']",4,,,,['E322i - Lécithine'],,,
15,Violettes givrées - Jours Heureux,3602801980078,['Jours Heureux'],['France'],[],[],?,391,1636 kj(391 kcal),2,0,97,67,1,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Les madeleines de commercy,3602801980085,,['France'],[],[],?,472,1975 kj(472 kcal),27,18,51,24,"5,6","0,48","0,192",,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",27 g,en quantité élevée,18 g,en quantité élevée,24 g,en quantité élevée,0.48 g,en quantité modérée,,+7%,+7%,+18%,+160%,-3%,-13%,-1%,-41%,-41%,22,+20%,E,+20%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,
