,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,brand,allergens,nova_score,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,markets,additives,brand_owner,link,ingredients_origins,palm_ingredients
0,Spremuta d'uva e mele bio,8032986531164,['Bio'],['France'],[],[],?,61,255 kj(61 kcal),"0,5",0,15,"14,8","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Filotea ""Le Matassine"" Egg Pappardelle Nests - 8.8 Oz",8032993000936,['Contient du gluten'],['France'],"['semoule de blé dur', 'log œufs ', '30%', 'farine de blé Contient des allergènes: oeuffs', 'gluten ZUTATEN: hartweizen', 'eier ', '30%', 'mehl Enthâlt allergen: eier', 'gluten']",[],?,374,1565 kj(374 kcal),"4,2","1,3","67,4","1,5","15,7",['Filotea'],['Gluten'],4,"0,375","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mozzarella di buffala a la campana - Fattoria dell'Alento - 250g égoutté (650g net),8032998662535,['AOP'],['France'],"['Lait de bufflonne', 'présure', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,278,1163 kj(278 kcal),23,"17,8","0,8","0,7","17,4","[""Fattoria dell'Alento""]",,3,"0,5","0,2",D,250 g égoutté (650 g net),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",['IT 15 532 CE'],23 g,en quantité élevée,17.8 g,en quantité élevée,0.7 g,en faible quantité,0.5 g,en quantité modérée,,+4%,+4%,-0%,+13%,+8%,+14%,+21%,-18%,-18%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
3,Hamburger buns with sesame,8032998900224,,['France'],[],[],?,276,1155 kj(276 kcal),"5,9","0,8",46,"8,3",8,,,,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pasticceria assortita - Bonoét - 200g,8032998901238,,"['France', 'Italie']","['Farine de froment', 'sucre', 'graisse végétale', 'masse de cacao', 'beurre de cacao', 'lait entier en poudre', 'cacao maigre en poudre', 'gras butyrique', 'serum de lait en poudre', 'arôme naturel', 'lait écrémé en poudre', 'sirop de sucre inverti', 'oeufs en poudre', 'lactose', 'amidon de froment', 'riz soufflé', ""flocon d'avoine"", 'sirop de glucose', ""poudre à lever : carbonate acide de sodium - carbonate acide d'ammonium"", 'colorant : bêta-carotène', ""blanc d'oeuf en poudre"", 'sel', 'dextrose', 'émulsifiant : lécithine de soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",2117,?,2117 kj(506 kcal),"26,7",,"60,6",,"5,8",['Bonoét'],"['Gluten', 'Lait']",4,,,D,200 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,26.7 g,en quantité élevée,,,,,,,+2%,,+3%,+14%,,-3%,,-12%,,,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Assortiment de biscuits avec chocolat fondant 9% et chocolat au lait 8%,['Plastique'],['Union Européenne'],['Oh Marché Malin'],"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E160ai - Bêta-carotène', 'E322i - Lécithine']",,,,
5,Paté di Oliva Verdi - Artemide - 180g,8033003310618,['Point Vert'],['France'],"['Pulpe d’olive verte', 'sel', ""huile d'olive""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,['Artemide'],,3,,,,180 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Pâtés végétaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pâté d'olives vertes,"['Verre', 'Bocal']",,"[""De l'Autre Côté de la Rue""]",,,,,
6,Fetuccini,8033011150039,,['France'],[],[],?,368,1540 kj(368 kcal),4,1,66,5,15,,,,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fettuccine al nero di seppia,8033011150176,,['France'],[],[],?,368,1540 kj(368 kcal),"4,4","1,5",1,1,"15,1",,,,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fettucine al rosmarino,8033011150244,,['France'],[],[],?,368,1540 kj(368 kcal),"4,4","0,36","66,2",2,"15,1",,,,"0,012","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Passi di Orma Bolgheri Doc Toscana 2016 -  - 750g,8033011220619,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,750 g,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
